rank,feature_idx,coefficient,abs_coefficient
1,526,1.0487696,1.0487696
2,762,1.029665,1.029665
3,1380,1.002119,1.002119
4,1450,0.95923996,0.95923996
5,227,0.94454455,0.94454455
6,361,0.9416469,0.9416469
7,564,0.9357255,0.9357255
8,1127,0.9334628,0.9334628
9,89,0.90051275,0.90051275
10,1318,0.8824992,0.8824992
11,1222,0.87747175,0.87747175
12,1333,0.87584877,0.87584877
13,1503,0.87231904,0.87231904
14,59,0.8457751,0.8457751
15,1018,0.84299546,0.84299546
16,429,0.83472586,0.83472586
17,1457,0.83164626,0.83164626
18,1467,0.82697916,0.82697916
19,1008,0.80256367,0.80256367
20,132,0.80042356,0.80042356
21,1072,0.7983114,0.7983114
22,1105,0.7934126,0.7934126
23,352,0.7791,0.7791
24,845,0.778301,0.778301
25,886,0.7758834,0.7758834
26,1350,0.7738965,0.7738965
27,234,0.7731932,0.7731932
28,1414,0.77109575,0.77109575
29,328,0.77101374,0.77101374
30,231,0.7658337,0.7658337
31,849,0.76103735,0.76103735
32,706,0.75773126,0.75773126
33,791,0.74910563,0.74910563
34,1009,0.7468032,0.7468032
35,67,0.74677587,0.74677587
36,34,0.7451604,0.7451604
37,491,0.74185437,0.74185437
38,56,0.7327571,0.7327571
39,1034,0.72900957,0.72900957
40,872,0.7234387,0.7234387
41,1038,0.72163314,0.72163314
42,1203,0.7209777,0.7209777
43,386,0.7175265,0.7175265
44,397,0.71234065,0.71234065
45,155,0.7082832,0.7082832
46,1085,0.7054134,0.7054134
47,1140,0.70357496,0.70357496
48,1314,0.6944914,0.6944914
49,868,0.6910238,0.6910238
50,283,0.68585366,0.68585366
51,675,0.68239075,0.68239075
52,1244,0.6776263,0.6776263
53,164,0.6720144,0.6720144
54,149,0.6708951,0.6708951
55,1277,0.6662717,0.6662717
56,1114,0.66627,0.66627
57,1097,0.6662697,0.6662697
58,1044,0.6662696,0.6662696
59,194,0.66626936,0.66626936
60,517,0.6662693,0.6662693
61,1480,0.6662693,0.6662693
62,1051,0.6662693,0.6662693
63,1254,0.66626453,0.66626453
64,1182,0.6662302,0.6662302
65,687,0.6621873,0.6621873
66,959,0.6543918,0.6543918
67,1320,0.65356857,0.65356857
68,404,0.6532838,0.6532838
69,68,0.64482707,0.64482707
70,126,0.64312965,0.64312965
71,19,0.63906246,0.63906246
72,1219,0.6378505,0.6378505
73,516,0.6314845,0.6314845
74,1401,0.62669367,0.62669367
75,561,0.6258752,0.6258752
76,1147,0.62399834,0.62399834
77,735,0.62219757,0.62219757
78,24,0.62193733,0.62193733
79,870,0.6186312,0.6186312
80,1524,0.6182478,0.6182478
81,1437,0.6145913,0.6145913
82,1172,0.6144302,0.6144302
83,1185,0.6088628,0.6088628
84,1119,0.60705525,0.60705525
85,589,0.60364646,0.60364646
86,1431,0.6025234,0.6025234
87,351,0.6019326,0.6019326
88,896,0.6014959,0.6014959
89,658,0.6006225,0.6006225
90,1493,0.5974042,0.5974042
91,16,0.5960664,0.5960664
92,332,0.59380704,0.59380704
93,1170,0.5911235,0.5911235
94,651,0.59033126,0.59033126
95,251,0.5897592,0.5897592
96,72,0.5886449,0.5886449
97,537,0.58809525,0.58809525
98,1115,0.5847927,0.5847927
99,1354,0.5844116,0.5844116
100,379,0.58339393,0.58339393
