rank,feature_idx,coefficient,abs_coefficient
1,85,3.9513779,3.9513779
2,20,3.5979145,3.5979145
3,55,3.3477814,3.3477814
4,28,3.3306072,3.3306072
5,13,3.2220707,3.2220707
6,71,3.0383966,3.0383966
7,73,2.975075,2.975075
8,114,2.8519733,2.8519733
9,465,2.8162227,2.8162227
10,66,2.6879196,2.6879196
11,50,2.6512482,2.6512482
12,599,2.4438121,2.4438121
13,39,2.4106328,2.4106328
14,121,2.3852863,2.3852863
15,99,2.3708203,2.3708203
16,113,2.3075233,2.3075233
17,454,2.303486,2.303486
18,94,2.2900345,2.2900345
19,69,2.255201,2.255201
20,153,2.2505822,2.2505822
21,378,2.2042367,2.2042367
22,72,2.1745908,2.1745908
23,398,2.131441,2.131441
24,884,2.119635,2.119635
25,337,2.0973341,2.0973341
26,38,1.9635247,1.9635247
27,81,1.9505316,1.9505316
28,34,1.9269114,1.9269114
29,979,1.8268921,1.8268921
30,7,1.8185331,1.8185331
31,1107,1.8035408,1.8035408
32,373,1.8006728,1.8006728
33,214,1.769841,1.769841
34,1267,1.7516288,1.7516288
35,241,1.7324979,1.7324979
36,314,1.6847986,1.6847986
37,76,1.6624728,1.6624728
38,296,1.6149113,1.6149113
39,112,1.6003044,1.6003044
40,9,1.5554163,1.5554163
41,2,1.5548273,1.5548273
42,26,1.553198,1.553198
43,263,1.5518435,1.5518435
44,155,1.5132167,1.5132167
45,303,1.5035483,1.5035483
46,93,1.498211,1.498211
47,116,1.4898959,1.4898959
48,640,1.4824439,1.4824439
49,1388,1.4788505,1.4788505
50,198,1.3823166,1.3823166
51,100,1.3753289,1.3753289
52,1925,1.3720919,1.3720919
53,1331,1.3463627,1.3463627
54,461,1.344303,1.344303
55,48,1.3303864,1.3303864
56,1547,1.3108791,1.3108791
57,61,1.3037033,1.3037033
58,1042,1.2958595,1.2958595
59,432,1.2861468,1.2861468
60,67,1.2764934,1.2764934
61,90,1.272909,1.272909
62,159,1.2653137,1.2653137
63,1375,1.2616197,1.2616197
64,315,1.2535387,1.2535387
65,1260,1.2489952,1.2489952
66,89,1.2411664,1.2411664
67,35,1.238834,1.238834
68,1862,1.2347968,1.2347968
69,535,1.2269303,1.2269303
70,384,1.2262526,1.2262526
71,987,1.2221681,1.2221681
72,324,1.213048,1.213048
73,1135,1.2119902,1.2119902
74,266,1.211561,1.211561
75,915,1.206895,1.206895
76,1649,1.2051477,1.2051477
77,323,1.2037023,1.2037023
78,78,1.1910824,1.1910824
79,479,1.1640499,1.1640499
80,133,1.1628532,1.1628532
81,406,1.1603626,1.1603626
82,598,1.1528118,1.1528118
83,1149,1.1430762,1.1430762
84,2196,1.1377006,1.1377006
85,200,1.1277597,1.1277597
86,217,1.1174562,1.1174562
87,1534,1.1038207,1.1038207
88,1253,1.1002997,1.1002997
89,291,1.08659,1.08659
90,1401,1.085365,1.085365
91,29,1.0796354,1.0796354
92,127,1.0735142,1.0735142
93,31,1.0720152,1.0720152
94,857,1.0604719,1.0604719
95,109,1.045027,1.045027
96,377,1.0400234,1.0400234
97,1919,1.0354965,1.0354965
98,493,1.0316193,1.0316193
99,1825,1.0282177,1.0282177
100,53,1.0270731,1.0270731
