rank,feature_idx,coefficient,abs_coefficient
1,69,5.2693863,5.2693863
2,116,5.2028975,5.2028975
3,61,4.733071,4.733071
4,76,3.8219624,3.8219624
5,72,3.7439778,3.7439778
6,50,3.1203105,3.1203105
7,7,3.1071064,3.1071064
8,254,2.76946,2.76946
9,20,2.751979,2.751979
10,47,2.5879357,2.5879357
11,429,2.250467,2.250467
12,99,2.2150192,2.2150192
13,470,2.1103442,2.1103442
14,987,1.9661931,1.9661931
15,114,1.9526647,1.9526647
16,109,1.8482949,1.8482949
17,1649,1.7958766,1.7958766
18,465,1.648877,1.648877
19,26,1.643159,1.643159
20,398,1.5541735,1.5541735
21,38,1.5288391,1.5288391
22,112,1.5099965,1.5099965
23,2794,1.4980129,1.4980129
24,28,1.4429864,1.4429864
25,89,1.4202057,1.4202057
26,66,1.3534044,1.3534044
27,73,1.333941,1.333941
28,119,1.2926892,1.2926892
29,9,1.2897534,1.2897534
30,660,1.222693,1.222693
31,127,1.2100161,1.2100161
32,31,1.1721659,1.1721659
33,901,1.1682752,1.1682752
34,214,1.1162708,1.1162708
35,292,1.0254081,1.0254081
36,487,1.0051341,1.0051341
37,324,0.98980194,0.98980194
38,1929,0.98313737,0.98313737
39,85,0.98012286,0.98012286
40,94,0.9642596,0.9642596
41,2,0.96233773,0.96233773
42,13,0.9471764,0.9471764
43,302,0.9471105,0.9471105
44,1764,0.93858737,0.93858737
45,1448,0.9199292,0.9199292
46,6811,0.9184913,0.9184913
47,1267,0.9014239,0.9014239
48,1633,0.87725806,0.87725806
49,227,0.8526976,0.8526976
50,1409,0.84327585,0.84327585
51,1735,0.83418924,0.83418924
52,121,0.8314054,0.8314054
53,93,0.82057005,0.82057005
54,5734,0.806072,0.806072
55,1845,0.79896086,0.79896086
56,1107,0.79191834,0.79191834
57,81,0.7838705,0.7838705
58,43,0.7822873,0.7822873
59,432,0.7806353,0.7806353
60,1539,0.7795357,0.7795357
61,3443,0.7661367,0.7661367
62,315,0.7440078,0.7440078
63,82,0.73927194,0.73927194
64,203,0.736417,0.736417
65,1547,0.68803793,0.68803793
66,595,0.6752035,0.6752035
67,222,0.67440176,0.67440176
68,48,0.623622,0.623622
69,1938,0.61634487,0.61634487
70,1065,0.60948604,0.60948604
71,283,0.6079553,0.6079553
72,422,0.60394305,0.60394305
73,308,0.6023805,0.6023805
74,474,0.5962901,0.5962901
75,35,0.5795961,0.5795961
76,461,0.5460172,0.5460172
77,1875,0.545971,0.545971
78,159,0.5443116,0.5443116
79,306,0.54278827,0.54278827
80,2196,0.5406947,0.5406947
81,683,0.5352255,0.5352255
82,323,0.53435963,0.53435963
83,249,0.52727497,0.52727497
84,1857,0.52055913,0.52055913
85,677,0.5074231,0.5074231
86,378,0.4984809,0.4984809
87,224,0.47829548,0.47829548
88,303,0.478019,0.478019
89,622,0.47391546,0.47391546
90,2809,0.47150162,0.47150162
91,175,0.45444405,0.45444405
92,71,0.43081132,0.43081132
93,454,0.42733467,0.42733467
94,5159,0.42389598,0.42389598
95,1312,0.42174014,0.42174014
96,537,0.41607615,0.41607615
97,428,0.39990902,0.39990902
98,7879,0.39433703,0.39433703
99,1381,0.39283133,0.39283133
100,2054,0.38418135,0.38418135
