rank,feature_idx,coefficient,abs_coefficient
1,37,5.826603,5.826603
2,51,4.7299256,4.7299256
3,140,4.1165295,4.1165295
4,95,3.7086105,3.7086105
5,117,3.2594438,3.2594438
6,1819,2.8959606,2.8959606
7,5004,2.4617462,2.4617462
8,102,2.196183,2.196183
9,77,2.1823044,2.1823044
10,490,2.1653733,2.1653733
11,1219,1.8187681,1.8187681
12,454,1.7361456,1.7361456
13,4907,1.362604,1.362604
14,3070,1.3489838,1.3489838
15,137,1.1765232,1.1765232
16,1580,1.1202395,1.1202395
17,483,1.0406498,1.0406498
18,1814,0.8540694,0.8540694
19,2577,0.75357676,0.75357676
20,28,0.27516982,0.27516982
21,373,0.14707923,0.14707923
22,2502,0.13178293,0.13178293
23,151,0.05437095,0.05437095
24,3593,0.008634052,0.008634052
25,2742,0.0,0.0
26,2732,0.0,0.0
27,2731,0.0,0.0
28,2734,0.0,0.0
29,2747,0.0,0.0
30,2748,0.0,0.0
31,2749,0.0,0.0
32,2730,0.0,0.0
33,2729,0.0,0.0
34,2728,0.0,0.0
35,2733,0.0,0.0
36,2736,0.0,0.0
37,2735,0.0,0.0
38,2743,0.0,0.0
39,2746,0.0,0.0
40,2745,0.0,0.0
41,2737,0.0,0.0
42,2738,0.0,0.0
43,2744,0.0,0.0
44,2739,0.0,0.0
45,2740,0.0,0.0
46,2741,0.0,0.0
47,2727,0.0,0.0
48,8191,0.0,0.0
49,2726,0.0,0.0
50,2725,0.0,0.0
51,2697,0.0,0.0
52,2698,0.0,0.0
53,2699,0.0,0.0
54,2700,0.0,0.0
55,2701,0.0,0.0
56,2702,0.0,0.0
57,2703,0.0,0.0
58,2704,0.0,0.0
59,2705,0.0,0.0
60,2706,0.0,0.0
61,2707,0.0,0.0
62,2708,0.0,0.0
63,2709,0.0,0.0
64,2710,0.0,0.0
65,2711,0.0,0.0
66,2712,0.0,0.0
67,2713,0.0,0.0
68,2714,0.0,0.0
69,2715,0.0,0.0
70,2716,0.0,0.0
71,2717,0.0,0.0
72,2718,0.0,0.0
73,2719,0.0,0.0
74,2720,0.0,0.0
75,2721,0.0,0.0
76,2751,0.0,0.0
77,2722,0.0,0.0
78,2723,0.0,0.0
79,2724,0.0,0.0
80,2750,0.0,0.0
81,2756,0.0,0.0
82,2752,0.0,0.0
83,2753,0.0,0.0
84,2786,0.0,0.0
85,2787,0.0,0.0
86,2788,0.0,0.0
87,2789,0.0,0.0
88,2790,0.0,0.0
89,2791,0.0,0.0
90,2792,0.0,0.0
91,2793,0.0,0.0
92,2794,0.0,0.0
93,2795,0.0,0.0
94,2796,0.0,0.0
95,2797,0.0,0.0
96,2798,0.0,0.0
97,2799,0.0,0.0
98,2800,0.0,0.0
99,2801,0.0,0.0
100,2802,0.0,0.0
