rank,feature_idx,coefficient,abs_coefficient
1,95,6.597833,6.597833
2,37,4.22188,4.22188
3,77,1.6103319,1.6103319
4,102,1.4455475,1.4455475
5,1819,1.3308837,1.3308837
6,454,1.1485431,1.1485431
7,140,1.0226393,1.0226393
8,490,0.8802575,0.8802575
9,117,0.7893874,0.7893874
10,5004,0.6228312,0.6228312
11,1580,0.59234256,0.59234256
12,3070,0.51564556,0.51564556
13,137,0.49810314,0.49810314
14,51,0.4518991,0.4518991
15,1219,0.25224224,0.25224224
16,4907,0.22338828,0.22338828
17,28,0.1742634,0.1742634
18,483,0.12184497,0.12184497
19,2577,0.053441364,0.053441364
20,1814,0.050395112,0.050395112
21,151,0.043815978,0.043815978
22,2502,0.03566804,0.03566804
23,373,0.03358022,0.03358022
24,3593,0.033153076,0.033153076
25,61,6.2983985e-05,6.2983985e-05
26,121,3.2334112e-05,3.2334112e-05
27,2749,0.0,0.0
28,2732,0.0,0.0
29,2734,0.0,0.0
30,2731,0.0,0.0
31,2750,0.0,0.0
32,2730,0.0,0.0
33,2729,0.0,0.0
34,2733,0.0,0.0
35,2748,0.0,0.0
36,2742,0.0,0.0
37,2737,0.0,0.0
38,2735,0.0,0.0
39,2736,0.0,0.0
40,2747,0.0,0.0
41,2741,0.0,0.0
42,2746,0.0,0.0
43,2745,0.0,0.0
44,2744,0.0,0.0
45,2728,0.0,0.0
46,2739,0.0,0.0
47,2740,0.0,0.0
48,2743,0.0,0.0
49,2738,0.0,0.0
50,8191,0.0,0.0
51,2727,0.0,0.0
52,2711,0.0,0.0
53,2698,0.0,0.0
54,2699,0.0,0.0
55,2700,0.0,0.0
56,2701,0.0,0.0
57,2702,0.0,0.0
58,2703,0.0,0.0
59,2704,0.0,0.0
60,2705,0.0,0.0
61,2706,0.0,0.0
62,2707,0.0,0.0
63,2708,0.0,0.0
64,2709,0.0,0.0
65,2710,0.0,0.0
66,2712,0.0,0.0
67,2726,0.0,0.0
68,2713,0.0,0.0
69,2714,0.0,0.0
70,2715,0.0,0.0
71,2716,0.0,0.0
72,2717,0.0,0.0
73,2718,0.0,0.0
74,2719,0.0,0.0
75,2720,0.0,0.0
76,2751,0.0,0.0
77,2722,0.0,0.0
78,2723,0.0,0.0
79,2724,0.0,0.0
80,2725,0.0,0.0
81,2721,0.0,0.0
82,2756,0.0,0.0
83,2752,0.0,0.0
84,2753,0.0,0.0
85,2786,0.0,0.0
86,2787,0.0,0.0
87,2788,0.0,0.0
88,2789,0.0,0.0
89,2790,0.0,0.0
90,2791,0.0,0.0
91,2792,0.0,0.0
92,2793,0.0,0.0
93,2794,0.0,0.0
94,2795,0.0,0.0
95,2796,0.0,0.0
96,2797,0.0,0.0
97,2798,0.0,0.0
98,2799,0.0,0.0
99,2800,0.0,0.0
100,2801,0.0,0.0
