rank,feature_idx,coefficient,abs_coefficient
1,37,86.99758,86.99758
2,95,44.12215,44.12215
3,117,41.430424,41.430424
4,77,35.92909,35.92909
5,102,30.281729,30.281729
6,1819,28.096794,28.096794
7,5004,22.888662,22.888662
8,51,20.23145,20.23145
9,483,18.095007,18.095007
10,490,17.520107,17.520107
11,140,14.666364,14.666364
12,1580,12.99292,12.99292
13,1814,8.2573,8.2573
14,1219,7.358743,7.358743
15,4907,6.7437234,6.7437234
16,137,4.9308434,4.9308434
17,3070,4.9191365,4.9191365
18,454,4.765927,4.765927
19,2577,3.1094875,3.1094875
20,28,1.1744705,1.1744705
21,373,0.75351995,0.75351995
22,2502,0.67606634,0.67606634
23,3593,0.15303619,0.15303619
24,151,0.14453755,0.14453755
25,2731,0.0,0.0
26,2735,0.0,0.0
27,2748,0.0,0.0
28,2732,0.0,0.0
29,2749,0.0,0.0
30,2730,0.0,0.0
31,2729,0.0,0.0
32,2728,0.0,0.0
33,2733,0.0,0.0
34,2734,0.0,0.0
35,2746,0.0,0.0
36,2736,0.0,0.0
37,2747,0.0,0.0
38,2737,0.0,0.0
39,2738,0.0,0.0
40,2739,0.0,0.0
41,2740,0.0,0.0
42,2741,0.0,0.0
43,2742,0.0,0.0
44,2743,0.0,0.0
45,2744,0.0,0.0
46,2745,0.0,0.0
47,2727,0.0,0.0
48,8191,0.0,0.0
49,2726,0.0,0.0
50,2725,0.0,0.0
51,2697,0.0,0.0
52,2698,0.0,0.0
53,2699,0.0,0.0
54,2700,0.0,0.0
55,2701,0.0,0.0
56,2702,0.0,0.0
57,2703,0.0,0.0
58,2704,0.0,0.0
59,2705,0.0,0.0
60,2706,0.0,0.0
61,2707,0.0,0.0
62,2708,0.0,0.0
63,2709,0.0,0.0
64,2710,0.0,0.0
65,2711,0.0,0.0
66,2712,0.0,0.0
67,2713,0.0,0.0
68,2714,0.0,0.0
69,2715,0.0,0.0
70,2716,0.0,0.0
71,2717,0.0,0.0
72,2718,0.0,0.0
73,2719,0.0,0.0
74,2720,0.0,0.0
75,2721,0.0,0.0
76,2751,0.0,0.0
77,2722,0.0,0.0
78,2723,0.0,0.0
79,2724,0.0,0.0
80,2750,0.0,0.0
81,2756,0.0,0.0
82,2752,0.0,0.0
83,2753,0.0,0.0
84,2786,0.0,0.0
85,2787,0.0,0.0
86,2788,0.0,0.0
87,2789,0.0,0.0
88,2790,0.0,0.0
89,2791,0.0,0.0
90,2792,0.0,0.0
91,2793,0.0,0.0
92,2794,0.0,0.0
93,2795,0.0,0.0
94,2796,0.0,0.0
95,2797,0.0,0.0
96,2798,0.0,0.0
97,2799,0.0,0.0
98,2800,0.0,0.0
99,2801,0.0,0.0
100,2802,0.0,0.0
