rank,feature_idx,coefficient,abs_coefficient
1,253,2.2515373,2.2515373
2,528,1.7976756,1.7976756
3,325,1.6198416,1.6198416
4,33,1.5541427,1.5541427
5,5,1.2490575,1.2490575
6,621,1.2225269,1.2225269
7,238,1.183044,1.183044
8,379,1.1580242,1.1580242
9,120,1.133878,1.133878
10,20,1.1273968,1.1273968
11,166,1.0777632,1.0777632
12,427,1.072503,1.072503
13,512,1.0684271,1.0684271
14,341,1.0677977,1.0677977
15,18,1.0654219,1.0654219
16,73,1.0367761,1.0367761
17,212,0.99802184,0.99802184
18,335,0.9784224,0.9784224
19,159,0.9574604,0.9574604
20,919,0.94238085,0.94238085
21,10,0.9410745,0.9410745
22,221,0.9058318,0.9058318
23,1012,0.9015218,0.9015218
24,220,0.8920562,0.8920562
25,136,0.88124806,0.88124806
26,301,0.8807324,0.8807324
27,742,0.8484996,0.8484996
28,172,0.84246004,0.84246004
29,759,0.80146027,0.80146027
30,132,0.7629851,0.7629851
31,286,0.74818915,0.74818915
32,459,0.74403495,0.74403495
33,204,0.737735,0.737735
34,996,0.7162691,0.7162691
35,4,0.6946424,0.6946424
36,6,0.68025035,0.68025035
37,756,0.6682571,0.6682571
38,104,0.6496672,0.6496672
39,417,0.6360368,0.6360368
40,947,0.6268382,0.6268382
41,30,0.59403986,0.59403986
42,192,0.57755816,0.57755816
43,156,0.57275426,0.57275426
44,1016,0.56521535,0.56521535
45,113,0.5405167,0.5405167
46,629,0.53931,0.53931
47,906,0.5328901,0.5328901
48,649,0.49530303,0.49530303
49,1022,0.4819823,0.4819823
50,11,0.4742623,0.4742623
51,193,0.4617734,0.4617734
52,387,0.44693363,0.44693363
53,374,0.44295135,0.44295135
54,203,0.42356426,0.42356426
55,8,0.42217085,0.42217085
56,43,0.41714728,0.41714728
57,364,0.40064147,0.40064147
58,929,0.38578898,0.38578898
59,188,0.37290406,0.37290406
60,452,0.36654687,0.36654687
61,152,0.36405504,0.36405504
62,2,0.35646704,0.35646704
63,603,0.3465616,0.3465616
64,623,0.3448252,0.3448252
65,93,0.30188346,0.30188346
66,287,0.2933138,0.2933138
67,803,0.28492856,0.28492856
68,50,0.28174356,0.28174356
69,757,0.27491996,0.27491996
70,3,0.2695404,0.2695404
71,25,0.26669493,0.26669493
72,905,0.2633535,0.2633535
73,764,0.26208958,0.26208958
74,14,0.25897288,0.25897288
75,802,0.25482383,0.25482383
76,312,0.24986875,0.24986875
77,956,0.2418799,0.2418799
78,430,0.23404112,0.23404112
79,579,0.23123574,0.23123574
80,139,0.23040314,0.23040314
81,457,0.22598208,0.22598208
82,753,0.21637306,0.21637306
83,29,0.2019055,0.2019055
84,254,0.1982533,0.1982533
85,146,0.19699812,0.19699812
86,639,0.19571011,0.19571011
87,23,0.1941465,0.1941465
88,236,0.19400054,0.19400054
89,761,0.19366008,0.19366008
90,514,0.18412745,0.18412745
91,880,0.18190219,0.18190219
92,937,0.18065672,0.18065672
93,746,0.17006192,0.17006192
94,723,0.16449282,0.16449282
95,694,0.16143398,0.16143398
96,798,0.15979365,0.15979365
97,351,0.1529243,0.1529243
98,31,0.14934763,0.14934763
99,124,0.14778349,0.14778349
100,465,0.14691447,0.14691447
