rank,feature_idx,coefficient,abs_coefficient
1,43,3.7591906,3.7591906
2,11,3.4946356,3.4946356
3,4,3.379348,3.379348
4,33,3.229644,3.229644
5,5,3.0065372,3.0065372
6,253,2.9313877,2.9313877
7,3,2.8142273,2.8142273
8,14,2.7214916,2.7214916
9,73,2.2963336,2.2963336
10,30,2.2395697,2.2395697
11,166,2.0412233,2.0412233
12,238,2.0090811,2.0090811
13,919,1.9975461,1.9975461
14,528,1.9778401,1.9778401
15,6,1.9415945,1.9415945
16,146,1.8941008,1.8941008
17,104,1.8222227,1.8222227
18,18,1.7969373,1.7969373
19,220,1.7653399,1.7653399
20,621,1.7006617,1.7006617
21,1012,1.6963905,1.6963905
22,69,1.6456722,1.6456722
23,10,1.5946392,1.5946392
24,62,1.577577,1.577577
25,649,1.5485195,1.5485195
26,629,1.4471722,1.4471722
27,221,1.3904451,1.3904451
28,906,1.2761087,1.2761087
29,93,1.2562857,1.2562857
30,98,1.1905493,1.1905493
31,603,1.0820782,1.0820782
32,427,1.0748569,1.0748569
33,623,1.0550741,1.0550741
34,374,1.040017,1.040017
35,25,1.0222205,1.0222205
36,23,1.0131515,1.0131515
37,457,0.98181266,0.98181266
38,1016,0.924174,0.924174
39,417,0.87352705,0.87352705
40,59,0.8675604,0.8675604
41,22,0.81343406,0.81343406
42,31,0.809931,0.809931
43,364,0.80887127,0.80887127
44,156,0.7898288,0.7898288
45,293,0.7197835,0.7197835
46,8,0.699327,0.699327
47,723,0.69543433,0.69543433
48,656,0.68766636,0.68766636
49,181,0.67946553,0.67946553
50,1,0.674036,0.674036
51,963,0.67060286,0.67060286
52,287,0.6643159,0.6643159
53,50,0.6381403,0.6381403
54,764,0.62540966,0.62540966
55,139,0.6216251,0.6216251
56,757,0.60669225,0.60669225
57,113,0.59966326,0.59966326
58,20,0.5973865,0.5973865
59,937,0.59064966,0.59064966
60,694,0.5825761,0.5825761
61,908,0.5786503,0.5786503
62,2,0.57702833,0.57702833
63,914,0.564691,0.564691
64,207,0.5122123,0.5122123
65,286,0.5054862,0.5054862
66,240,0.46195635,0.46195635
67,379,0.44878995,0.44878995
68,593,0.44682935,0.44682935
69,188,0.43481192,0.43481192
70,956,0.41929808,0.41929808
71,947,0.38175312,0.38175312
72,664,0.3814534,0.3814534
73,172,0.36910534,0.36910534
74,218,0.34765816,0.34765816
75,192,0.33254227,0.33254227
76,681,0.3305222,0.3305222
77,13,0.33031222,0.33031222
78,709,0.32941753,0.32941753
79,217,0.3111457,0.3111457
80,335,0.3100057,0.3100057
81,342,0.30896178,0.30896178
82,100,0.27681062,0.27681062
83,756,0.2752984,0.2752984
84,42,0.2714547,0.2714547
85,742,0.26971263,0.26971263
86,212,0.26679286,0.26679286
87,228,0.24998273,0.24998273
88,136,0.23302078,0.23302078
89,248,0.22639072,0.22639072
90,761,0.19636731,0.19636731
91,184,0.19597517,0.19597517
92,597,0.1907078,0.1907078
93,205,0.18955696,0.18955696
94,662,0.18630576,0.18630576
95,745,0.18337806,0.18337806
96,880,0.18182935,0.18182935
97,802,0.17613046,0.17613046
98,120,0.1697256,0.1697256
99,434,0.16049753,0.16049753
100,470,0.15982392,0.15982392
