rank,feature_idx,coefficient,abs_coefficient
1,126,3.2758014,3.2758014
2,19,3.1357472,3.1357472
3,573,3.085633,3.085633
4,387,3.0806942,3.0806942
5,13,2.9003656,2.9003656
6,54,2.8879075,2.8879075
7,12,2.84712,2.84712
8,225,2.4724343,2.4724343
9,411,2.4021792,2.4021792
10,220,2.294023,2.294023
11,153,2.247058,2.247058
12,229,2.1677754,2.1677754
13,7,2.1576905,2.1576905
14,349,2.1482472,2.1482472
15,1,2.0980513,2.0980513
16,894,2.0856628,2.0856628
17,15,2.0052264,2.0052264
18,196,1.9340286,1.9340286
19,148,1.9257507,1.9257507
20,3,1.922472,1.922472
21,48,1.8898469,1.8898469
22,193,1.8693842,1.8693842
23,304,1.8441179,1.8441179
24,97,1.817589,1.817589
25,637,1.7895764,1.7895764
26,107,1.7858226,1.7858226
27,964,1.7433746,1.7433746
28,150,1.7335638,1.7335638
29,53,1.6739789,1.6739789
30,833,1.6662964,1.6662964
31,22,1.6656034,1.6656034
32,823,1.6602116,1.6602116
33,24,1.6547449,1.6547449
34,0,1.5800352,1.5800352
35,990,1.5724472,1.5724472
36,58,1.5581751,1.5581751
37,382,1.5497191,1.5497191
38,133,1.5471199,1.5471199
39,875,1.5469524,1.5469524
40,216,1.5190228,1.5190228
41,251,1.5180895,1.5180895
42,727,1.4826819,1.4826819
43,508,1.4634075,1.4634075
44,532,1.447666,1.447666
45,141,1.4428914,1.4428914
46,1018,1.44036,1.44036
47,233,1.4255555,1.4255555
48,26,1.3951296,1.3951296
49,395,1.3677377,1.3677377
50,751,1.3326977,1.3326977
51,836,1.3301163,1.3301163
52,227,1.3168039,1.3168039
53,283,1.276926,1.276926
54,930,1.2750901,1.2750901
55,322,1.2608145,1.2608145
56,659,1.2508415,1.2508415
57,100,1.2368762,1.2368762
58,466,1.2339984,1.2339984
59,985,1.2074777,1.2074777
60,240,1.1981764,1.1981764
61,64,1.1580883,1.1580883
62,872,1.1487278,1.1487278
63,18,1.1483123,1.1483123
64,165,1.1338983,1.1338983
65,329,1.1318939,1.1318939
66,934,1.1253136,1.1253136
67,116,1.1203461,1.1203461
68,161,1.0701392,1.0701392
69,52,1.0023507,1.0023507
70,771,1.0005548,1.0005548
71,118,0.97044295,0.97044295
72,246,0.95610386,0.95610386
73,599,0.9453185,0.9453185
74,631,0.9288352,0.9288352
75,200,0.8997348,0.8997348
76,177,0.8737744,0.8737744
77,292,0.8676982,0.8676982
78,191,0.85267544,0.85267544
79,308,0.84504694,0.84504694
80,611,0.8415452,0.8415452
81,339,0.8164547,0.8164547
82,970,0.8136696,0.8136696
83,415,0.80345136,0.80345136
84,810,0.7986546,0.7986546
85,210,0.7775468,0.7775468
86,954,0.77377266,0.77377266
87,462,0.76453334,0.76453334
88,744,0.75916326,0.75916326
89,574,0.7304562,0.7304562
90,311,0.72587454,0.72587454
91,922,0.71925414,0.71925414
92,331,0.7176305,0.7176305
93,363,0.7078729,0.7078729
94,456,0.7058674,0.7058674
95,677,0.6897493,0.6897493
96,900,0.6599113,0.6599113
97,864,0.65811926,0.65811926
98,449,0.6547624,0.6547624
99,448,0.6485257,0.6485257
100,120,0.6418067,0.6418067
