rank,feature_idx,coefficient,abs_coefficient
1,0,8.3203125,8.3203125
2,6,-1.394656,1.394656
3,55,-0.947879,0.947879
4,2,0.6563529,0.6563529
5,12,-0.57816344,0.57816344
6,48,-0.51349795,0.51349795
7,37,-0.46904323,0.46904323
8,81,0.46833903,0.46833903
9,46,0.43029165,0.43029165
10,379,0.37173358,0.37173358
11,650,-0.21352145,0.21352145
12,341,0.0,0.0
13,342,0.0,0.0
14,343,0.0,0.0
15,339,0.0,0.0
16,344,0.0,0.0
17,345,0.0,0.0
18,346,0.0,0.0
19,347,0.0,0.0
20,348,0.0,0.0
21,349,0.0,0.0
22,340,0.0,0.0
23,335,0.0,0.0
24,338,0.0,0.0
25,337,0.0,0.0
26,336,0.0,0.0
27,334,0.0,0.0
28,333,0.0,0.0
29,332,0.0,0.0
30,331,0.0,0.0
31,330,0.0,0.0
32,329,0.0,0.0
33,328,0.0,0.0
34,327,0.0,0.0
35,326,0.0,0.0
36,325,0.0,0.0
37,350,0.0,0.0
38,353,0.0,0.0
39,351,0.0,0.0
40,352,0.0,0.0
41,382,0.0,0.0
42,381,0.0,0.0
43,380,0.0,0.0
44,378,0.0,0.0
45,377,0.0,0.0
46,376,0.0,0.0
47,375,0.0,0.0
48,374,0.0,0.0
49,373,0.0,0.0
50,372,0.0,0.0
51,371,0.0,0.0
52,370,0.0,0.0
53,369,0.0,0.0
54,368,0.0,0.0
55,367,0.0,0.0
56,366,0.0,0.0
57,365,0.0,0.0
58,364,0.0,0.0
59,363,0.0,0.0
60,362,0.0,0.0
61,361,0.0,0.0
62,360,0.0,0.0
63,359,0.0,0.0
64,358,0.0,0.0
65,357,0.0,0.0
66,356,0.0,0.0
67,355,0.0,0.0
68,354,0.0,0.0
69,323,0.0,0.0
70,324,0.0,0.0
71,319,0.0,0.0
72,322,0.0,0.0
73,275,0.0,0.0
74,288,0.0,0.0
75,287,0.0,0.0
76,286,0.0,0.0
77,285,0.0,0.0
78,284,0.0,0.0
79,283,0.0,0.0
80,282,0.0,0.0
81,281,0.0,0.0
82,280,0.0,0.0
83,279,0.0,0.0
84,278,0.0,0.0
85,277,0.0,0.0
86,276,0.0,0.0
87,274,0.0,0.0
88,290,0.0,0.0
89,273,0.0,0.0
90,272,0.0,0.0
91,271,0.0,0.0
92,270,0.0,0.0
93,269,0.0,0.0
94,268,0.0,0.0
95,267,0.0,0.0
96,266,0.0,0.0
97,265,0.0,0.0
98,264,0.0,0.0
99,263,0.0,0.0
100,262,0.0,0.0
