rank,feature_idx,coefficient,abs_coefficient
1,2,-17.75152,17.75152
2,0,-13.11351,13.11351
3,37,-12.218057,12.218057
4,48,-7.2996182,7.2996182
5,6,3.2132242,3.2132242
6,81,1.8613651,1.8613651
7,650,1.485269,1.485269
8,46,1.4383528,1.4383528
9,229,1.4346107,1.4346107
10,379,1.3597047,1.3597047
11,237,1.0326762,1.0326762
12,3,0.52783066,0.52783066
13,55,0.08765111,0.08765111
14,132,0.019049125,0.019049125
15,12,-0.01608229,0.01608229
16,881,0.009149173,0.009149173
17,26,-0.0063379547,0.0063379547
18,286,0.004533485,0.004533485
19,184,0.002128451,0.002128451
20,336,0.0,0.0
21,337,0.0,0.0
22,349,0.0,0.0
23,328,0.0,0.0
24,329,0.0,0.0
25,330,0.0,0.0
26,348,0.0,0.0
27,331,0.0,0.0
28,347,0.0,0.0
29,346,0.0,0.0
30,345,0.0,0.0
31,344,0.0,0.0
32,343,0.0,0.0
33,332,0.0,0.0
34,333,0.0,0.0
35,342,0.0,0.0
36,334,0.0,0.0
37,335,0.0,0.0
38,341,0.0,0.0
39,340,0.0,0.0
40,339,0.0,0.0
41,338,0.0,0.0
42,351,0.0,0.0
43,350,0.0,0.0
44,356,0.0,0.0
45,352,0.0,0.0
46,353,0.0,0.0
47,381,0.0,0.0
48,380,0.0,0.0
49,378,0.0,0.0
50,377,0.0,0.0
51,376,0.0,0.0
52,375,0.0,0.0
53,374,0.0,0.0
54,373,0.0,0.0
55,372,0.0,0.0
56,371,0.0,0.0
57,370,0.0,0.0
58,369,0.0,0.0
59,368,0.0,0.0
60,367,0.0,0.0
61,366,0.0,0.0
62,365,0.0,0.0
63,364,0.0,0.0
64,363,0.0,0.0
65,362,0.0,0.0
66,361,0.0,0.0
67,360,0.0,0.0
68,359,0.0,0.0
69,358,0.0,0.0
70,357,0.0,0.0
71,326,0.0,0.0
72,355,0.0,0.0
73,354,0.0,0.0
74,327,0.0,0.0
75,319,0.0,0.0
76,325,0.0,0.0
77,278,0.0,0.0
78,292,0.0,0.0
79,291,0.0,0.0
80,290,0.0,0.0
81,289,0.0,0.0
82,288,0.0,0.0
83,287,0.0,0.0
84,285,0.0,0.0
85,284,0.0,0.0
86,283,0.0,0.0
87,282,0.0,0.0
88,281,0.0,0.0
89,280,0.0,0.0
90,279,0.0,0.0
91,277,0.0,0.0
92,324,0.0,0.0
93,276,0.0,0.0
94,275,0.0,0.0
95,274,0.0,0.0
96,273,0.0,0.0
97,272,0.0,0.0
98,271,0.0,0.0
99,270,0.0,0.0
100,269,0.0,0.0
