rank,feature_idx,coefficient,abs_coefficient
1,37,4.201161,4.201161
2,48,3.108004,3.108004
3,2,2.4176495,2.4176495
4,0,2.1691794,2.1691794
5,12,1.2575771,1.2575771
6,3,1.1187129,1.1187129
7,46,1.0431653,1.0431653
8,81,0.7458787,0.7458787
9,229,0.70089024,0.70089024
10,379,0.614767,0.614767
11,55,0.529932,0.529932
12,26,0.5070857,0.5070857
13,6,0.46759555,0.46759555
14,650,0.32791695,0.32791695
15,237,0.3019955,0.3019955
16,881,0.11032337,0.11032337
17,348,0.0,0.0
18,341,0.0,0.0
19,346,0.0,0.0
20,345,0.0,0.0
21,344,0.0,0.0
22,343,0.0,0.0
23,342,0.0,0.0
24,347,0.0,0.0
25,349,0.0,0.0
26,337,0.0,0.0
27,340,0.0,0.0
28,339,0.0,0.0
29,338,0.0,0.0
30,351,0.0,0.0
31,336,0.0,0.0
32,335,0.0,0.0
33,334,0.0,0.0
34,333,0.0,0.0
35,332,0.0,0.0
36,331,0.0,0.0
37,330,0.0,0.0
38,329,0.0,0.0
39,328,0.0,0.0
40,327,0.0,0.0
41,326,0.0,0.0
42,350,0.0,0.0
43,355,0.0,0.0
44,352,0.0,0.0
45,353,0.0,0.0
46,381,0.0,0.0
47,380,0.0,0.0
48,378,0.0,0.0
49,377,0.0,0.0
50,376,0.0,0.0
51,375,0.0,0.0
52,374,0.0,0.0
53,373,0.0,0.0
54,372,0.0,0.0
55,371,0.0,0.0
56,370,0.0,0.0
57,369,0.0,0.0
58,368,0.0,0.0
59,367,0.0,0.0
60,366,0.0,0.0
61,365,0.0,0.0
62,364,0.0,0.0
63,363,0.0,0.0
64,362,0.0,0.0
65,361,0.0,0.0
66,360,0.0,0.0
67,359,0.0,0.0
68,358,0.0,0.0
69,357,0.0,0.0
70,356,0.0,0.0
71,324,0.0,0.0
72,354,0.0,0.0
73,325,0.0,0.0
74,318,0.0,0.0
75,323,0.0,0.0
76,277,0.0,0.0
77,290,0.0,0.0
78,289,0.0,0.0
79,288,0.0,0.0
80,287,0.0,0.0
81,286,0.0,0.0
82,285,0.0,0.0
83,284,0.0,0.0
84,283,0.0,0.0
85,282,0.0,0.0
86,281,0.0,0.0
87,280,0.0,0.0
88,279,0.0,0.0
89,278,0.0,0.0
90,276,0.0,0.0
91,322,0.0,0.0
92,275,0.0,0.0
93,274,0.0,0.0
94,273,0.0,0.0
95,272,0.0,0.0
96,271,0.0,0.0
97,270,0.0,0.0
98,269,0.0,0.0
99,268,0.0,0.0
100,267,0.0,0.0
