rank,feature_idx,coefficient,abs_coefficient
1,0,34.216778,34.216778
2,2,32.333908,32.333908
3,6,31.967821,31.967821
4,229,20.69509,20.69509
5,379,19.9573,19.9573
6,81,19.804617,19.804617
7,46,17.688036,17.688036
8,650,16.31897,16.31897
9,37,13.497754,13.497754
10,3,11.894443,11.894443
11,237,10.755257,10.755257
12,48,6.9613833,6.9613833
13,12,5.534401,5.534401
14,55,5.0415454,5.0415454
15,26,4.345122,4.345122
16,286,3.0801334,3.0801334
17,132,2.269127,2.269127
18,881,2.2599237,2.2599237
19,184,1.6635844,1.6635844
20,336,0.0,0.0
21,337,0.0,0.0
22,349,0.0,0.0
23,328,0.0,0.0
24,329,0.0,0.0
25,330,0.0,0.0
26,348,0.0,0.0
27,331,0.0,0.0
28,347,0.0,0.0
29,346,0.0,0.0
30,345,0.0,0.0
31,344,0.0,0.0
32,343,0.0,0.0
33,332,0.0,0.0
34,333,0.0,0.0
35,342,0.0,0.0
36,334,0.0,0.0
37,335,0.0,0.0
38,341,0.0,0.0
39,340,0.0,0.0
40,339,0.0,0.0
41,338,0.0,0.0
42,351,0.0,0.0
43,350,0.0,0.0
44,356,0.0,0.0
45,352,0.0,0.0
46,353,0.0,0.0
47,381,0.0,0.0
48,380,0.0,0.0
49,378,0.0,0.0
50,377,0.0,0.0
51,376,0.0,0.0
52,375,0.0,0.0
53,374,0.0,0.0
54,373,0.0,0.0
55,372,0.0,0.0
56,371,0.0,0.0
57,370,0.0,0.0
58,369,0.0,0.0
59,368,0.0,0.0
60,367,0.0,0.0
61,366,0.0,0.0
62,365,0.0,0.0
63,364,0.0,0.0
64,363,0.0,0.0
65,362,0.0,0.0
66,361,0.0,0.0
67,360,0.0,0.0
68,359,0.0,0.0
69,358,0.0,0.0
70,357,0.0,0.0
71,326,0.0,0.0
72,355,0.0,0.0
73,354,0.0,0.0
74,327,0.0,0.0
75,319,0.0,0.0
76,325,0.0,0.0
77,278,0.0,0.0
78,292,0.0,0.0
79,291,0.0,0.0
80,290,0.0,0.0
81,289,0.0,0.0
82,288,0.0,0.0
83,287,0.0,0.0
84,285,0.0,0.0
85,284,0.0,0.0
86,283,0.0,0.0
87,282,0.0,0.0
88,281,0.0,0.0
89,280,0.0,0.0
90,279,0.0,0.0
91,277,0.0,0.0
92,324,0.0,0.0
93,276,0.0,0.0
94,275,0.0,0.0
95,274,0.0,0.0
96,273,0.0,0.0
97,272,0.0,0.0
98,271,0.0,0.0
99,270,0.0,0.0
100,269,0.0,0.0
