rank,feature_idx,coefficient,abs_coefficient
1,764,2.3195996,2.3195996
2,307,2.0122743,2.0122743
3,484,1.9925194,1.9925194
4,379,1.9434563,1.9434563
5,1171,1.8915251,1.8915251
6,1535,1.8835564,1.8835564
7,937,1.8525847,1.8525847
8,1500,1.8039666,1.8039666
9,1105,1.7365193,1.7365193
10,323,1.6984872,1.6984872
11,763,1.6864481,1.6864481
12,114,1.681324,1.681324
13,396,1.6812273,1.6812273
14,1428,1.6495298,1.6495298
15,668,1.648374,1.648374
16,528,1.6091814,1.6091814
17,474,1.5861398,1.5861398
18,616,1.551397,1.551397
19,208,1.5177097,1.5177097
20,69,1.4753305,1.4753305
21,130,1.4458088,1.4458088
22,329,1.437388,1.437388
23,424,1.42903,1.42903
24,1094,1.4228668,1.4228668
25,1294,1.3720194,1.3720194
26,1129,1.364314,1.364314
27,23,1.3570633,1.3570633
28,1366,1.341135,1.341135
29,1407,1.307055,1.307055
30,227,1.3068484,1.3068484
31,912,1.2979254,1.2979254
32,1267,1.2922773,1.2922773
33,859,1.2893833,1.2893833
34,1381,1.2751175,1.2751175
35,456,1.2707053,1.2707053
36,268,1.2643858,1.2643858
37,624,1.2641667,1.2641667
38,411,1.2563828,1.2563828
39,1083,1.2535831,1.2535831
40,77,1.2531242,1.2531242
41,95,1.2452854,1.2452854
42,546,1.2423712,1.2423712
43,283,1.2401825,1.2401825
44,1404,1.230003,1.230003
45,239,1.215216,1.215216
46,1269,1.2142406,1.2142406
47,988,1.2106704,1.2106704
48,811,1.2105093,1.2105093
49,1368,1.2090248,1.2090248
50,1015,1.2068008,1.2068008
51,1199,1.1934913,1.1934913
52,1426,1.1932172,1.1932172
53,1387,1.1837624,1.1837624
54,1482,1.1811022,1.1811022
55,752,1.1806539,1.1806539
56,125,1.1786247,1.1786247
57,921,1.1739732,1.1739732
58,1446,1.1663446,1.1663446
59,1385,1.1624207,1.1624207
60,90,1.1558307,1.1558307
61,1337,1.1550622,1.1550622
62,511,1.1510209,1.1510209
63,562,1.1407548,1.1407548
64,58,1.1392215,1.1392215
65,169,1.133623,1.133623
66,468,1.1326035,1.1326035
67,367,1.1313128,1.1313128
68,97,1.123785,1.123785
69,20,1.1186343,1.1186343
70,1123,1.1073761,1.1073761
71,43,1.1011922,1.1011922
72,568,1.1010467,1.1010467
73,846,1.0909923,1.0909923
74,1351,1.0904548,1.0904548
75,578,1.0862112,1.0862112
76,1054,1.0850819,1.0850819
77,151,1.0771087,1.0771087
78,684,1.0761477,1.0761477
79,829,1.073089,1.073089
80,1186,1.0729681,1.0729681
81,1033,1.0709329,1.0709329
82,1210,1.0694469,1.0694469
83,68,1.060122,1.060122
84,132,1.0578918,1.0578918
85,383,1.0552717,1.0552717
86,948,1.0510627,1.0510627
87,1530,1.0477952,1.0477952
88,944,1.0467881,1.0467881
89,1394,1.0448883,1.0448883
90,994,1.0427657,1.0427657
91,287,1.0392461,1.0392461
92,278,1.0388802,1.0388802
93,1472,1.0359241,1.0359241
94,1246,1.0337675,1.0337675
95,324,1.0323601,1.0323601
96,223,1.02624,1.02624
97,1452,1.0252334,1.0252334
98,852,1.0187527,1.0187527
99,732,1.0141401,1.0141401
100,699,1.009257,1.009257
