rank,feature_idx,coefficient,abs_coefficient
1,21,-2.1115398,2.1115398
2,25,0.6497078,0.6497078
3,1862,-0.48245052,0.48245052
4,473,-0.24796653,0.24796653
5,72,-0.15548334,0.15548334
6,41,-0.11833167,0.11833167
7,23,0.075208694,0.075208694
8,20,-0.065905616,0.065905616
9,682,0.0,0.0
10,684,0.0,0.0
11,683,0.0,0.0
12,2047,0.0,0.0
13,685,0.0,0.0
14,680,0.0,0.0
15,679,0.0,0.0
16,678,0.0,0.0
17,677,0.0,0.0
18,676,0.0,0.0
19,681,0.0,0.0
20,687,0.0,0.0
21,686,0.0,0.0
22,695,0.0,0.0
23,701,0.0,0.0
24,700,0.0,0.0
25,699,0.0,0.0
26,698,0.0,0.0
27,697,0.0,0.0
28,696,0.0,0.0
29,694,0.0,0.0
30,674,0.0,0.0
31,693,0.0,0.0
32,692,0.0,0.0
33,691,0.0,0.0
34,690,0.0,0.0
35,689,0.0,0.0
36,688,0.0,0.0
37,675,0.0,0.0
38,672,0.0,0.0
39,673,0.0,0.0
40,703,0.0,0.0
41,643,0.0,0.0
42,644,0.0,0.0
43,645,0.0,0.0
44,646,0.0,0.0
45,647,0.0,0.0
46,648,0.0,0.0
47,649,0.0,0.0
48,650,0.0,0.0
49,651,0.0,0.0
50,652,0.0,0.0
51,653,0.0,0.0
52,654,0.0,0.0
53,655,0.0,0.0
54,656,0.0,0.0
55,657,0.0,0.0
56,658,0.0,0.0
57,659,0.0,0.0
58,660,0.0,0.0
59,661,0.0,0.0
60,662,0.0,0.0
61,663,0.0,0.0
62,664,0.0,0.0
63,665,0.0,0.0
64,666,0.0,0.0
65,667,0.0,0.0
66,668,0.0,0.0
67,669,0.0,0.0
68,670,0.0,0.0
69,671,0.0,0.0
70,702,0.0,0.0
71,706,0.0,0.0
72,704,0.0,0.0
73,751,0.0,0.0
74,738,0.0,0.0
75,739,0.0,0.0
76,740,0.0,0.0
77,741,0.0,0.0
78,742,0.0,0.0
79,743,0.0,0.0
80,744,0.0,0.0
81,745,0.0,0.0
82,746,0.0,0.0
83,747,0.0,0.0
84,748,0.0,0.0
85,749,0.0,0.0
86,750,0.0,0.0
87,752,0.0,0.0
88,736,0.0,0.0
89,753,0.0,0.0
90,754,0.0,0.0
91,755,0.0,0.0
92,756,0.0,0.0
93,757,0.0,0.0
94,758,0.0,0.0
95,759,0.0,0.0
96,760,0.0,0.0
97,761,0.0,0.0
98,762,0.0,0.0
99,763,0.0,0.0
100,764,0.0,0.0
