rank,feature_idx,coefficient,abs_coefficient
1,123,2.7434008,2.7434008
2,226,2.388487,2.388487
3,462,2.2007072,2.2007072
4,1937,2.0798903,2.0798903
5,1997,1.9685555,1.9685555
6,42,1.9101067,1.9101067
7,125,1.8557167,1.8557167
8,1387,1.8416648,1.8416648
9,1304,1.8331261,1.8331261
10,984,1.8127867,1.8127867
11,1108,1.767208,1.767208
12,339,1.7376772,1.7376772
13,54,1.6461323,1.6461323
14,461,1.5962135,1.5962135
15,911,1.5762362,1.5762362
16,300,1.4836243,1.4836243
17,0,1.4816046,1.4816046
18,1384,1.4458113,1.4458113
19,1466,1.4327458,1.4327458
20,353,1.4238548,1.4238548
21,390,1.3541664,1.3541664
22,626,1.3464322,1.3464322
23,276,1.279324,1.279324
24,625,1.2507826,1.2507826
25,1368,1.1940684,1.1940684
26,1888,1.1818545,1.1818545
27,1084,1.1164409,1.1164409
28,355,1.0454001,1.0454001
29,238,1.0251709,1.0251709
30,176,1.0113848,1.0113848
31,746,1.0104605,1.0104605
32,20,1.006299,1.006299
33,46,1.0034385,1.0034385
34,61,1.003255,1.003255
35,322,0.9556811,0.9556811
36,416,0.9523785,0.9523785
37,1846,0.90902185,0.90902185
38,1021,0.85515326,0.85515326
39,211,0.8532078,0.8532078
40,94,0.84901595,0.84901595
41,8,0.8421948,0.8421948
42,65,0.833579,0.833579
43,375,0.8285332,0.8285332
44,51,0.82252234,0.82252234
45,1217,0.80873656,0.80873656
46,380,0.80616266,0.80616266
47,154,0.7919965,0.7919965
48,3,0.782615,0.782615
49,180,0.71836615,0.71836615
50,104,0.71351355,0.71351355
51,19,0.7101472,0.7101472
52,1609,0.6962827,0.6962827
53,898,0.69011265,0.69011265
54,98,0.67357826,0.67357826
55,58,0.67023176,0.67023176
56,403,0.63220847,0.63220847
57,208,0.6305538,0.6305538
58,1950,0.63015854,0.63015854
59,135,0.62813956,0.62813956
60,409,0.6259063,0.6259063
61,397,0.61426,0.61426
62,281,0.61409765,0.61409765
63,1218,0.6069276,0.6069276
64,331,0.6063874,0.6063874
65,68,0.5933945,0.5933945
66,229,0.5915088,0.5915088
67,5,0.58046514,0.58046514
68,7,0.5721584,0.5721584
69,310,0.5650344,0.5650344
70,965,0.55133444,0.55133444
71,1294,0.5428577,0.5428577
72,230,0.5194589,0.5194589
73,1070,0.51827985,0.51827985
74,283,0.50873804,0.50873804
75,113,0.5041438,0.5041438
76,75,0.4968619,0.4968619
77,33,0.49506387,0.49506387
78,1615,0.486142,0.486142
79,1968,0.48336044,0.48336044
80,404,0.4636917,0.4636917
81,70,0.4607282,0.4607282
82,118,0.45992252,0.45992252
83,501,0.45578706,0.45578706
84,1731,0.4467895,0.4467895
85,193,0.4423757,0.4423757
86,48,0.43932605,0.43932605
87,507,0.43845963,0.43845963
88,721,0.42643785,0.42643785
89,1543,0.4206331,0.4206331
90,1468,0.4192179,0.4192179
91,469,0.41672263,0.41672263
92,344,0.4132402,0.4132402
93,212,0.41144085,0.41144085
94,12,0.39881453,0.39881453
95,1416,0.396777,0.396777
96,272,0.391678,0.391678
97,830,0.38288835,0.38288835
98,207,0.37548324,0.37548324
99,1949,0.369311,0.369311
100,347,0.36663368,0.36663368
