rank,feature_idx,coefficient,abs_coefficient
1,54,-0.98326963,0.98326963
2,48,-0.45486766,0.45486766
3,229,-0.44807968,0.44807968
4,784,-0.41359732,0.41359732
5,230,-0.3860758,0.3860758
6,1625,-0.34081635,0.34081635
7,272,0.3335345,0.3335345
8,61,0.32205984,0.32205984
9,380,0.30602178,0.30602178
10,175,0.29446402,0.29446402
11,24,0.2386018,0.2386018
12,416,-0.22863914,0.22863914
13,729,-0.22588967,0.22588967
14,1609,-0.21286793,0.21286793
15,226,-0.18332402,0.18332402
16,260,-0.17726126,0.17726126
17,135,0.17712313,0.17712313
18,2013,0.157832,0.157832
19,461,0.14595014,0.14595014
20,8,-0.118378945,0.118378945
21,238,0.11321537,0.11321537
22,1997,-0.0955768,0.0955768
23,1469,-0.091678455,0.091678455
24,6,-0.08337554,0.08337554
25,300,0.081960164,0.081960164
26,49,-0.0795423,0.0795423
27,1928,-0.06882534,0.06882534
28,1968,-0.056208435,0.056208435
29,208,0.051598765,0.051598765
30,1511,-0.044903178,0.044903178
31,469,0.04384574,0.04384574
32,403,0.04218182,0.04218182
33,1428,-0.027959973,0.027959973
34,462,-0.012765925,0.012765925
35,681,0.0,0.0
36,690,0.0,0.0
37,695,0.0,0.0
38,696,0.0,0.0
39,697,0.0,0.0
40,698,0.0,0.0
41,680,0.0,0.0
42,682,0.0,0.0
43,694,0.0,0.0
44,689,0.0,0.0
45,683,0.0,0.0
46,684,0.0,0.0
47,693,0.0,0.0
48,685,0.0,0.0
49,686,0.0,0.0
50,679,0.0,0.0
51,692,0.0,0.0
52,691,0.0,0.0
53,687,0.0,0.0
54,688,0.0,0.0
55,2047,0.0,0.0
56,675,0.0,0.0
57,678,0.0,0.0
58,677,0.0,0.0
59,650,0.0,0.0
60,651,0.0,0.0
61,652,0.0,0.0
62,653,0.0,0.0
63,654,0.0,0.0
64,655,0.0,0.0
65,656,0.0,0.0
66,657,0.0,0.0
67,658,0.0,0.0
68,659,0.0,0.0
69,660,0.0,0.0
70,661,0.0,0.0
71,662,0.0,0.0
72,663,0.0,0.0
73,664,0.0,0.0
74,665,0.0,0.0
75,666,0.0,0.0
76,667,0.0,0.0
77,668,0.0,0.0
78,669,0.0,0.0
79,670,0.0,0.0
80,671,0.0,0.0
81,672,0.0,0.0
82,673,0.0,0.0
83,674,0.0,0.0
84,700,0.0,0.0
85,676,0.0,0.0
86,699,0.0,0.0
87,711,0.0,0.0
88,701,0.0,0.0
89,733,0.0,0.0
90,735,0.0,0.0
91,736,0.0,0.0
92,737,0.0,0.0
93,738,0.0,0.0
94,739,0.0,0.0
95,740,0.0,0.0
96,741,0.0,0.0
97,742,0.0,0.0
98,743,0.0,0.0
99,744,0.0,0.0
100,745,0.0,0.0
