rank,feature_idx,coefficient,abs_coefficient
1,15,5.554797,5.554797
2,116,3.097603,3.097603
3,399,2.9823527,2.9823527
4,43,2.8578796,2.8578796
5,9,2.756871,2.756871
6,119,1.6031784,1.6031784
7,101,1.5978968,1.5978968
8,25,1.561628,1.561628
9,42,1.4148364,1.4148364
10,29,1.2185171,1.2185171
11,6,1.1631076,1.1631076
12,0,1.0232288,1.0232288
13,1753,0.943504,0.943504
14,4,0.93388355,0.93388355
15,24,0.9226551,0.9226551
16,686,0.86502326,0.86502326
17,206,0.8613243,0.8613243
18,5,0.78727436,0.78727436
19,7,0.70549,0.70549
20,2047,0.7048755,0.7048755
21,21,0.68602884,0.68602884
22,243,0.67883456,0.67883456
23,74,0.58712447,0.58712447
24,80,0.46743447,0.46743447
25,143,0.44081268,0.44081268
26,37,0.40867195,0.40867195
27,1262,0.393248,0.393248
28,1941,0.3758784,0.3758784
29,23,0.35715756,0.35715756
30,231,0.30572784,0.30572784
31,545,0.29850596,0.29850596
32,61,0.29097933,0.29097933
33,1244,0.28626284,0.28626284
34,17,0.26938525,0.26938525
35,1052,0.25945863,0.25945863
36,18,0.2552116,0.2552116
37,1577,0.24803343,0.24803343
38,1394,0.22847922,0.22847922
39,1013,0.21111849,0.21111849
40,1701,0.21084082,0.21084082
41,1631,0.19369072,0.19369072
42,913,0.1928567,0.1928567
43,106,0.18920282,0.18920282
44,349,0.17862546,0.17862546
45,19,0.1780587,0.1780587
46,1660,0.16633298,0.16633298
47,26,0.16595948,0.16595948
48,478,0.15222685,0.15222685
49,1785,0.13747555,0.13747555
50,1083,0.12508947,0.12508947
51,1,0.12444023,0.12444023
52,318,0.10939239,0.10939239
53,388,0.1081089,0.1081089
54,8,0.10142164,0.10142164
55,905,0.10068021,0.10068021
56,229,0.09455363,0.09455363
57,76,0.09243709,0.09243709
58,1373,0.086123966,0.086123966
59,56,0.07285801,0.07285801
60,221,0.07114749,0.07114749
61,347,0.06861957,0.06861957
62,355,0.053286843,0.053286843
63,13,0.04306596,0.04306596
64,782,0.04029083,0.04029083
65,10,0.040268317,0.040268317
66,400,0.038586266,0.038586266
67,30,0.03084225,0.03084225
68,1810,0.028912526,0.028912526
69,254,0.028421706,0.028421706
70,1584,0.026486252,0.026486252
71,442,0.026139181,0.026139181
72,1778,0.019822668,0.019822668
73,1834,0.0122876875,0.0122876875
74,31,0.0009871757,0.0009871757
75,1619,0.0005541305,0.0005541305
76,12,0.0003427907,0.0003427907
77,771,3.962322e-05,3.962322e-05
78,1947,3.5381472e-05,3.5381472e-05
79,962,0.0,0.0
80,661,0.0,0.0
81,663,0.0,0.0
82,664,0.0,0.0
83,665,0.0,0.0
84,666,0.0,0.0
85,667,0.0,0.0
86,668,0.0,0.0
87,669,0.0,0.0
88,670,0.0,0.0
89,671,0.0,0.0
90,672,0.0,0.0
91,673,0.0,0.0
92,674,0.0,0.0
93,675,0.0,0.0
94,676,0.0,0.0
95,677,0.0,0.0
96,678,0.0,0.0
97,991,0.0,0.0
98,679,0.0,0.0
99,680,0.0,0.0
100,681,0.0,0.0
