rank,feature_idx,coefficient,abs_coefficient
1,67,1.9021372,1.9021372
2,68,1.8724504,1.8724504
3,16,1.7678378,1.7678378
4,1168,1.5233043,1.5233043
5,1000,1.518716,1.518716
6,226,1.4187491,1.4187491
7,6,1.3938999,1.3938999
8,477,1.3508155,1.3508155
9,316,1.2912366,1.2912366
10,77,1.271444,1.271444
11,12,1.2311226,1.2311226
12,10,1.1817791,1.1817791
13,1607,1.0417107,1.0417107
14,287,1.0308464,1.0308464
15,82,0.9929475,0.9929475
16,314,0.9652655,0.9652655
17,237,0.96058714,0.96058714
18,40,0.923416,0.923416
19,358,0.8857065,0.8857065
20,216,0.86640954,0.86640954
21,1017,0.84108114,0.84108114
22,54,0.83741784,0.83741784
23,26,0.78499895,0.78499895
24,1241,0.7652875,0.7652875
25,94,0.7590623,0.7590623
26,288,0.75055707,0.75055707
27,346,0.68676674,0.68676674
28,280,0.66900164,0.66900164
29,49,0.6601378,0.6601378
30,1951,0.6596847,0.6596847
31,413,0.6559014,0.6559014
32,11,0.6239094,0.6239094
33,179,0.61577797,0.61577797
34,614,0.61223537,0.61223537
35,144,0.588647,0.588647
36,20,0.5763163,0.5763163
37,866,0.56752485,0.56752485
38,120,0.5478207,0.5478207
39,944,0.5477876,0.5477876
40,17,0.5467937,0.5467937
41,350,0.539586,0.539586
42,93,0.5329489,0.5329489
43,1635,0.52826095,0.52826095
44,480,0.5192908,0.5192908
45,5,0.51863134,0.51863134
46,483,0.51857924,0.51857924
47,47,0.50055766,0.50055766
48,31,0.49937475,0.49937475
49,21,0.49872732,0.49872732
50,1981,0.49543533,0.49543533
51,689,0.49005175,0.49005175
52,1843,0.47986537,0.47986537
53,444,0.4626065,0.4626065
54,70,0.46192467,0.46192467
55,1197,0.4471522,0.4471522
56,949,0.44135985,0.44135985
57,750,0.4410196,0.4410196
58,417,0.42862064,0.42862064
59,529,0.41846776,0.41846776
60,1023,0.40040356,0.40040356
61,789,0.39969102,0.39969102
62,1721,0.37407583,0.37407583
63,302,0.36031532,0.36031532
64,394,0.35975063,0.35975063
65,99,0.35804996,0.35804996
66,2,0.35393295,0.35393295
67,1489,0.34589487,0.34589487
68,385,0.34055924,0.34055924
69,1258,0.3397037,0.3397037
70,1685,0.3387832,0.3387832
71,317,0.3375727,0.3375727
72,199,0.336277,0.336277
73,0,0.33418426,0.33418426
74,146,0.32589906,0.32589906
75,443,0.31215778,0.31215778
76,1416,0.30732203,0.30732203
77,670,0.30658457,0.30658457
78,1536,0.29811966,0.29811966
79,221,0.29499173,0.29499173
80,1255,0.28924534,0.28924534
81,618,0.2861516,0.2861516
82,1,0.28579983,0.28579983
83,488,0.27481803,0.27481803
84,78,0.27336866,0.27336866
85,1358,0.27202174,0.27202174
86,979,0.27112988,0.27112988
87,1371,0.26986456,0.26986456
88,25,0.2693059,0.2693059
89,428,0.2607341,0.2607341
90,254,0.25433773,0.25433773
91,34,0.24836886,0.24836886
92,27,0.24809437,0.24809437
93,902,0.24794298,0.24794298
94,315,0.24530905,0.24530905
95,469,0.24407491,0.24407491
96,136,0.2354587,0.2354587
97,521,0.23024073,0.23024073
98,112,0.22658592,0.22658592
99,1254,0.22430182,0.22430182
100,87,0.21071078,0.21071078
