rank,feature_idx,coefficient,abs_coefficient
1,390,-11.66441,11.66441
2,7,-7.0481734,7.0481734
3,25,-6.855497,6.855497
4,254,-6.3420196,6.3420196
5,6,-5.8955793,5.8955793
6,19,-4.8958735,4.8958735
7,20,-4.6429825,4.6429825
8,1970,-2.8087504,2.8087504
9,26,-2.5901659,2.5901659
10,102,1.4905599,1.4905599
11,435,1.1754469,1.1754469
12,4,-1.1292281,1.1292281
13,187,-1.0304133,1.0304133
14,30,1.0102873,1.0102873
15,284,0.97861636,0.97861636
16,1641,0.888789,0.888789
17,59,0.85464036,0.85464036
18,74,0.82256955,0.82256955
19,64,-0.82247794,0.82247794
20,101,-0.785845,0.785845
21,8,0.76857406,0.76857406
22,35,0.731908,0.731908
23,14,0.7153168,0.7153168
24,631,0.6667135,0.6667135
25,240,-0.6625521,0.6625521
26,222,0.61720735,0.61720735
27,1231,0.599882,0.599882
28,545,0.5943578,0.5943578
29,40,0.592948,0.592948
30,430,0.5620605,0.5620605
31,85,0.5619621,0.5619621
32,316,0.53733534,0.53733534
33,23,-0.5066363,0.5066363
34,110,0.48540145,0.48540145
35,812,0.44614926,0.44614926
36,103,-0.4200452,0.4200452
37,17,0.4188405,0.4188405
38,9,-0.41873246,0.41873246
39,105,0.4080309,0.4080309
40,24,0.39362687,0.39362687
41,94,0.36927912,0.36927912
42,1578,0.36177304,0.36177304
43,290,0.33329287,0.33329287
44,22,0.3061241,0.3061241
45,507,0.28068733,0.28068733
46,1679,0.27779898,0.27779898
47,5,-0.26899642,0.26899642
48,380,-0.25988668,0.25988668
49,693,0.2460829,0.2460829
50,469,0.22839914,0.22839914
51,3,0.22686945,0.22686945
52,913,0.13419262,0.13419262
53,664,-0.13094725,0.13094725
54,132,0.124256305,0.124256305
55,208,-0.123228006,0.123228006
56,490,-0.10627115,0.10627115
57,0,0.095799394,0.095799394
58,118,0.08717319,0.08717319
59,178,0.08031195,0.08031195
60,155,-0.07150583,0.07150583
61,1521,0.0713022,0.0713022
62,289,0.06808523,0.06808523
63,811,0.06488671,0.06488671
64,291,-0.062221386,0.062221386
65,28,-0.058286313,0.058286313
66,2,0.040566634,0.040566634
67,1047,-0.038785473,0.038785473
68,33,0.038061336,0.038061336
69,1899,-0.035577353,0.035577353
70,21,-0.034710377,0.034710377
71,1150,0.032850657,0.032850657
72,1881,-0.031091994,0.031091994
73,31,0.030707069,0.030707069
74,1632,-0.029873753,0.029873753
75,1,-0.028627764,0.028627764
76,170,-0.026300123,0.026300123
77,122,-0.025758164,0.025758164
78,113,-0.02048366,0.02048366
79,808,-0.020303112,0.020303112
80,357,0.018631237,0.018631237
81,307,0.018412368,0.018412368
82,972,-0.018390177,0.018390177
83,1853,-0.01835004,0.01835004
84,884,-0.017466381,0.017466381
85,345,-0.015965853,0.015965853
86,36,-0.015018043,0.015018043
87,953,0.013955796,0.013955796
88,202,0.013179782,0.013179782
89,1659,0.0119033335,0.0119033335
90,1282,-0.0105146635,0.0105146635
91,1320,0.010172536,0.010172536
92,1240,0.010144949,0.010144949
93,1397,-0.01013599,0.01013599
94,483,0.009493187,0.009493187
95,313,0.008040254,0.008040254
96,12,-0.007419847,0.007419847
97,1479,-0.00709912,0.00709912
98,591,-0.0060971086,0.0060971086
99,1253,-0.0054165525,0.0054165525
100,339,0.0048251953,0.0048251953
