rank,feature_idx,coefficient,abs_coefficient
1,390,6.578424,6.578424
2,254,3.51025,3.51025
3,19,3.1421661,3.1421661
4,6,2.5905924,2.5905924
5,25,2.5489926,2.5489926
6,22,1.4356345,1.4356345
7,101,1.2111827,1.2111827
8,102,1.1992153,1.1992153
9,23,1.1756892,1.1756892
10,435,1.1681879,1.1681879
11,35,1.1585057,1.1585057
12,1970,1.0053822,1.0053822
13,20,0.86812556,0.86812556
14,1867,0.8653984,0.8653984
15,21,0.8377274,0.8377274
16,26,0.7716349,0.7716349
17,103,0.76805466,0.76805466
18,8,0.7489727,0.7489727
19,631,0.62428856,0.62428856
20,40,0.6182165,0.6182165
21,0,0.57500726,0.57500726
22,7,0.5748195,0.5748195
23,1231,0.57058907,0.57058907
24,59,0.5588961,0.5588961
25,55,0.52374685,0.52374685
26,31,0.51479346,0.51479346
27,1881,0.51422495,0.51422495
28,85,0.51088923,0.51088923
29,105,0.5086779,0.5086779
30,113,0.4898615,0.4898615
31,2,0.46875945,0.46875945
32,28,0.43311518,0.43311518
33,208,0.4275033,0.4275033
34,155,0.40865988,0.40865988
35,30,0.39615923,0.39615923
36,291,0.3727497,0.3727497
37,430,0.36675456,0.36675456
38,1632,0.36550862,0.36550862
39,545,0.31441513,0.31441513
40,284,0.30429476,0.30429476
41,693,0.30426732,0.30426732
42,70,0.29545203,0.29545203
43,5,0.29379243,0.29379243
44,33,0.2537195,0.2537195
45,3,0.2508492,0.2508492
46,490,0.24961825,0.24961825
47,483,0.23613203,0.23613203
48,24,0.21642582,0.21642582
49,64,0.21632814,0.21632814
50,1521,0.21069095,0.21069095
51,14,0.20873101,0.20873101
52,1047,0.20312348,0.20312348
53,1641,0.20135537,0.20135537
54,1,0.2001133,0.2001133
55,74,0.1909256,0.1909256
56,664,0.17821625,0.17821625
57,1679,0.17810376,0.17810376
58,4,0.17692988,0.17692988
59,607,0.1728973,0.1728973
60,94,0.15282758,0.15282758
61,240,0.14702418,0.14702418
62,110,0.13879594,0.13879594
63,289,0.12868349,0.12868349
64,290,0.1286764,0.1286764
65,972,0.12627994,0.12627994
66,202,0.11814288,0.11814288
67,1397,0.11574326,0.11574326
68,183,0.1151803,0.1151803
69,913,0.11237569,0.11237569
70,1253,0.108189344,0.108189344
71,313,0.10070443,0.10070443
72,1150,0.100623846,0.100623846
73,9,0.10053466,0.10053466
74,1578,0.09963897,0.09963897
75,17,0.09035508,0.09035508
76,222,0.08733156,0.08733156
77,380,0.0800832,0.0800832
78,469,0.079498805,0.079498805
79,507,0.0762878,0.0762878
80,884,0.076228,0.076228
81,508,0.07290685,0.07290685
82,591,0.07024785,0.07024785
83,178,0.06549177,0.06549177
84,736,0.06326851,0.06326851
85,2022,0.062250428,0.062250428
86,12,0.06162398,0.06162398
87,357,0.05792138,0.05792138
88,38,0.054093964,0.054093964
89,1320,0.053638704,0.053638704
90,118,0.044820674,0.044820674
91,811,0.03924216,0.03924216
92,36,0.0334872,0.0334872
93,953,0.033484884,0.033484884
94,746,0.030942002,0.030942002
95,1479,0.030650172,0.030650172
96,345,0.02997855,0.02997855
97,808,0.029772405,0.029772405
98,1659,0.028977638,0.028977638
99,1240,0.024615766,0.024615766
100,339,0.022147415,0.022147415
