rank,feature_idx,coefficient,abs_coefficient
1,13,6.6558304,6.6558304
2,21,6.634401,6.634401
3,23,6.150536,6.150536
4,24,5.0883403,5.0883403
5,8,4.7164674,4.7164674
6,31,3.705868,3.705868
7,11,2.740288,2.740288
8,125,2.718443,2.718443
9,311,2.6700642,2.6700642
10,250,2.1606247,2.1606247
11,407,1.9239943,1.9239943
12,456,1.9021977,1.9021977
13,728,1.8184102,1.8184102
14,628,1.7891151,1.7891151
15,192,1.7741519,1.7741519
16,207,1.7572825,1.7572825
17,202,1.7187223,1.7187223
18,424,1.5549175,1.5549175
19,510,1.5193413,1.5193413
20,119,1.4736837,1.4736837
21,109,1.4614475,1.4614475
22,1624,1.4565887,1.4565887
23,27,1.3891848,1.3891848
24,65,1.3759882,1.3759882
25,70,1.3054999,1.3054999
26,170,1.2950785,1.2950785
27,977,1.282799,1.282799
28,1192,1.2517422,1.2517422
29,273,1.216674,1.216674
30,172,1.2093986,1.2093986
31,42,1.1974279,1.1974279
32,2022,1.1253325,1.1253325
33,90,1.1082236,1.1082236
34,43,1.0854473,1.0854473
35,1755,1.0799935,1.0799935
36,396,1.0670831,1.0670831
37,740,1.0391262,1.0391262
38,1648,1.0385314,1.0385314
39,564,1.0324541,1.0324541
40,179,1.0232096,1.0232096
41,1902,1.0036881,1.0036881
42,1657,1.0016263,1.0016263
43,1337,0.98722106,0.98722106
44,286,0.95263195,0.95263195
45,1591,0.93617904,0.93617904
46,395,0.9164809,0.9164809
47,517,0.86722356,0.86722356
48,565,0.8649356,0.8649356
49,106,0.86378145,0.86378145
50,525,0.86274034,0.86274034
51,253,0.8607726,0.8607726
52,1608,0.84487444,0.84487444
53,181,0.8045835,0.8045835
54,110,0.79717404,0.79717404
55,714,0.78554755,0.78554755
56,1921,0.77816975,0.77816975
57,591,0.77404016,0.77404016
58,1845,0.7372715,0.7372715
59,768,0.7366473,0.7366473
60,890,0.7315039,0.7315039
61,555,0.7193154,0.7193154
62,282,0.7192311,0.7192311
63,115,0.718548,0.718548
64,1817,0.71045077,0.71045077
65,1031,0.71017045,0.71017045
66,1685,0.70559263,0.70559263
67,1304,0.7006684,0.7006684
68,1543,0.6972417,0.6972417
69,835,0.68837804,0.68837804
70,1501,0.68543106,0.68543106
71,1299,0.6829071,0.6829071
72,150,0.6754269,0.6754269
73,1676,0.67463595,0.67463595
74,2043,0.66049236,0.66049236
75,556,0.6477223,0.6477223
76,1686,0.642039,0.642039
77,34,0.6313524,0.6313524
78,1899,0.6215007,0.6215007
79,1200,0.61363995,0.61363995
80,68,0.60854995,0.60854995
81,996,0.6052112,0.6052112
82,1059,0.60399044,0.60399044
83,439,0.6013688,0.6013688
84,1821,0.59970635,0.59970635
85,444,0.5961462,0.5961462
86,825,0.58443356,0.58443356
87,1910,0.58428484,0.58428484
88,208,0.57875407,0.57875407
89,362,0.5768075,0.5768075
90,448,0.571673,0.571673
91,1930,0.57054,0.57054
92,388,0.5639941,0.5639941
93,36,0.56289166,0.56289166
94,934,0.56073743,0.56073743
95,599,0.55908316,0.55908316
96,907,0.54669225,0.54669225
97,813,0.5349177,0.5349177
98,806,0.5260815,0.5260815
99,1084,0.50071937,0.50071937
100,1709,0.5003878,0.5003878
