rank,feature_idx,coefficient,abs_coefficient
1,799,0.8856691,0.8856691
2,377,0.84378576,0.84378576
3,1105,0.74296457,0.74296457
4,1348,0.70240146,0.70240146
5,85,0.687802,0.687802
6,424,0.68294084,0.68294084
7,778,0.6692692,0.6692692
8,1334,0.66279376,0.66279376
9,37,0.65901244,0.65901244
10,1427,0.65285254,0.65285254
11,311,0.6351553,0.6351553
12,100,0.6297477,0.6297477
13,1493,0.62201333,0.62201333
14,1410,0.6207423,0.6207423
15,567,0.6124589,0.6124589
16,128,0.59209406,0.59209406
17,797,0.5868639,0.5868639
18,290,0.5855568,0.5855568
19,1155,0.58523285,0.58523285
20,850,0.58382136,0.58382136
21,150,0.57460827,0.57460827
22,28,0.5581806,0.5581806
23,648,0.55706286,0.55706286
24,324,0.5556621,0.5556621
25,399,0.54735017,0.54735017
26,343,0.5452731,0.5452731
27,72,0.53825647,0.53825647
28,1203,0.5322107,0.5322107
29,493,0.53132874,0.53132874
30,283,0.52747166,0.52747166
31,1530,0.5186111,0.5186111
32,1080,0.5137313,0.5137313
33,1458,0.5069357,0.5069357
34,262,0.5054952,0.5054952
35,842,0.5000843,0.5000843
36,1219,0.49718213,0.49718213
37,286,0.4967044,0.4967044
38,106,0.4917326,0.4917326
39,126,0.48677772,0.48677772
40,542,0.48365134,0.48365134
41,1316,0.4817155,0.4817155
42,1429,0.48025447,0.48025447
43,1222,0.47933644,0.47933644
44,1093,0.4782526,0.4782526
45,92,0.47716254,0.47716254
46,104,0.47467905,0.47467905
47,474,0.47465175,0.47465175
48,383,0.46865454,0.46865454
49,475,0.4660526,0.4660526
50,170,0.46545106,0.46545106
51,439,0.46443382,0.46443382
52,1197,0.46308002,0.46308002
53,42,0.4617102,0.4617102
54,1423,0.45934802,0.45934802
55,926,0.4581241,0.4581241
56,59,0.45184892,0.45184892
57,1085,0.44491306,0.44491306
58,1495,0.44286585,0.44286585
59,1277,0.44094223,0.44094223
60,627,0.43606478,0.43606478
61,433,0.43606305,0.43606305
62,642,0.4359212,0.4359212
63,771,0.4358824,0.4358824
64,626,0.43526784,0.43526784
65,693,0.4314499,0.4314499
66,321,0.42617875,0.42617875
67,1440,0.4258473,0.4258473
68,637,0.4252103,0.4252103
69,1502,0.42263255,0.42263255
70,828,0.42032504,0.42032504
71,1027,0.41647965,0.41647965
72,103,0.413989,0.413989
73,287,0.4100457,0.4100457
74,348,0.40804124,0.40804124
75,501,0.40759772,0.40759772
76,1068,0.4072152,0.4072152
77,1518,0.40651536,0.40651536
78,956,0.4062779,0.4062779
79,1038,0.4046641,0.4046641
80,48,0.40282646,0.40282646
81,521,0.39895386,0.39895386
82,1428,0.3977632,0.3977632
83,1074,0.39741528,0.39741528
84,931,0.397246,0.397246
85,580,0.39531308,0.39531308
86,1154,0.39395273,0.39395273
87,33,0.3913176,0.3913176
88,678,0.38868138,0.38868138
89,209,0.38816088,0.38816088
90,495,0.3881346,0.3881346
91,1223,0.38765055,0.38765055
92,236,0.3854255,0.3854255
93,426,0.3836171,0.3836171
94,356,0.38274223,0.38274223
95,1184,0.37880665,0.37880665
96,169,0.3785348,0.3785348
97,1363,0.37673062,0.37673062
98,75,0.37668753,0.37668753
99,502,0.37661755,0.37661755
100,180,0.37645125,0.37645125
