rank,feature_idx,coefficient,abs_coefficient
1,12,7.090322,7.090322
2,91,3.5078113,3.5078113
3,346,3.053532,3.053532
4,39,3.015367,3.015367
5,216,2.879854,2.879854
6,1248,2.4907908,2.4907908
7,4,2.440271,2.440271
8,438,2.2652104,2.2652104
9,23,1.793887,1.793887
10,16,1.7791462,1.7791462
11,1340,1.6920764,1.6920764
12,1208,1.6227483,1.6227483
13,834,1.5241717,1.5241717
14,36,1.4068137,1.4068137
15,114,1.1342745,1.1342745
16,520,0.8748015,0.8748015
17,8,0.7352081,0.7352081
18,71,0.53422827,0.53422827
19,246,0.513599,0.513599
20,7,0.48559943,0.48559943
21,1284,0.29189572,0.29189572
22,72,0.038686007,0.038686007
23,418,0.0069894833,0.0069894833
24,19,0.000184454,0.000184454
25,660,0.0,0.0
26,694,0.0,0.0
27,655,0.0,0.0
28,691,0.0,0.0
29,693,0.0,0.0
30,692,0.0,0.0
31,690,0.0,0.0
32,689,0.0,0.0
33,688,0.0,0.0
34,687,0.0,0.0
35,654,0.0,0.0
36,695,0.0,0.0
37,653,0.0,0.0
38,685,0.0,0.0
39,696,0.0,0.0
40,697,0.0,0.0
41,698,0.0,0.0
42,699,0.0,0.0
43,700,0.0,0.0
44,701,0.0,0.0
45,702,0.0,0.0
46,703,0.0,0.0
47,704,0.0,0.0
48,652,0.0,0.0
49,651,0.0,0.0
50,686,0.0,0.0
51,682,0.0,0.0
52,684,0.0,0.0
53,683,0.0,0.0
54,661,0.0,0.0
55,662,0.0,0.0
56,663,0.0,0.0
57,664,0.0,0.0
58,665,0.0,0.0
59,658,0.0,0.0
60,666,0.0,0.0
61,667,0.0,0.0
62,668,0.0,0.0
63,669,0.0,0.0
64,670,0.0,0.0
65,671,0.0,0.0
66,672,0.0,0.0
67,673,0.0,0.0
68,674,0.0,0.0
69,657,0.0,0.0
70,656,0.0,0.0
71,705,0.0,0.0
72,676,0.0,0.0
73,677,0.0,0.0
74,678,0.0,0.0
75,679,0.0,0.0
76,680,0.0,0.0
77,681,0.0,0.0
78,659,0.0,0.0
79,675,0.0,0.0
80,710,0.0,0.0
81,706,0.0,0.0
82,752,0.0,0.0
83,739,0.0,0.0
84,740,0.0,0.0
85,741,0.0,0.0
86,742,0.0,0.0
87,743,0.0,0.0
88,744,0.0,0.0
89,745,0.0,0.0
90,746,0.0,0.0
91,747,0.0,0.0
92,748,0.0,0.0
93,749,0.0,0.0
94,750,0.0,0.0
95,751,0.0,0.0
96,753,0.0,0.0
97,707,0.0,0.0
98,754,0.0,0.0
99,755,0.0,0.0
100,756,0.0,0.0
