rank,feature_idx,coefficient,abs_coefficient
1,242,11.028622,11.028622
2,1193,9.752229,9.752229
3,501,9.169511,9.169511
4,427,8.975782,8.975782
5,1239,8.706902,8.706902
6,165,8.622084,8.622084
7,756,8.365379,8.365379
8,569,8.342515,8.342515
9,229,8.039815,8.039815
10,407,8.0362015,8.0362015
11,500,7.940287,7.940287
12,255,7.7616887,7.7616887
13,838,7.632459,7.632459
14,698,7.5007286,7.5007286
15,841,7.4986434,7.4986434
16,31,7.440497,7.440497
17,1054,7.3666024,7.3666024
18,34,7.349096,7.349096
19,66,7.193174,7.193174
20,1535,7.175699,7.175699
21,22,7.153545,7.153545
22,1407,7.1447105,7.1447105
23,19,7.118914,7.118914
24,931,7.110216,7.110216
25,184,7.0379047,7.0379047
26,597,7.023206,7.023206
27,363,7.00045,7.00045
28,976,6.9116464,6.9116464
29,1127,6.8756714,6.8756714
30,940,6.779871,6.779871
31,1293,6.7595315,6.7595315
32,421,6.75689,6.75689
33,513,6.725588,6.725588
34,933,6.7118945,6.7118945
35,653,6.605223,6.605223
36,963,6.5789394,6.5789394
37,295,6.5727234,6.5727234
38,340,6.561115,6.561115
39,1233,6.4964643,6.4964643
40,1062,6.4366717,6.4366717
41,671,6.435887,6.435887
42,839,6.340409,6.340409
43,93,6.331642,6.331642
44,998,6.305699,6.305699
45,1534,6.2953124,6.2953124
46,1354,6.2389584,6.2389584
47,552,6.2082725,6.2082725
48,688,6.20462,6.20462
49,1517,6.169243,6.169243
50,655,6.1401,6.1401
51,33,6.125302,6.125302
52,812,6.1239696,6.1239696
53,227,6.1076317,6.1076317
54,1126,6.0887127,6.0887127
55,1161,6.049064,6.049064
56,1447,6.0480266,6.0480266
57,58,6.041832,6.041832
58,111,6.020565,6.020565
59,797,6.0084453,6.0084453
60,1036,6.0071793,6.0071793
61,1071,6.0071125,6.0071125
62,717,6.0012074,6.0012074
63,122,5.991079,5.991079
64,1172,5.914387,5.914387
65,254,5.906732,5.906732
66,1045,5.8805294,5.8805294
67,351,5.8581834,5.8581834
68,359,5.8520503,5.8520503
69,308,5.845814,5.845814
70,577,5.8362923,5.8362923
71,1229,5.829153,5.829153
72,9,5.8246484,5.8246484
73,1395,5.824434,5.824434
74,29,5.818405,5.818405
75,885,5.791945,5.791945
76,1206,5.7848415,5.7848415
77,554,5.7736716,5.7736716
78,1223,5.7613673,5.7613673
79,126,5.7474093,5.7474093
80,941,5.733391,5.733391
81,115,5.7269435,5.7269435
82,450,5.7239356,5.7239356
83,557,5.7026806,5.7026806
84,589,5.702645,5.702645
85,1014,5.700804,5.700804
86,1067,5.688864,5.688864
87,1375,5.6866665,5.6866665
88,124,5.647682,5.647682
89,1371,5.6422596,5.6422596
90,440,5.6361365,5.6361365
91,586,5.6169896,5.6169896
92,198,5.6091685,5.6091685
93,61,5.608726,5.608726
94,833,5.605471,5.605471
95,496,5.59712,5.59712
96,1105,5.5956616,5.5956616
97,1082,5.5950866,5.5950866
98,641,5.5884604,5.5884604
99,134,5.5853276,5.5853276
100,269,5.5708175,5.5708175
