rank,feature_idx,coefficient,abs_coefficient
1,972,1.2589307,1.2589307
2,1289,-1.2075549,1.2075549
3,1391,-1.1312896,1.1312896
4,763,-1.0747625,1.0747625
5,1005,0.9994043,0.9994043
6,800,0.98169017,0.98169017
7,194,-0.9666903,0.9666903
8,1165,-0.9652018,0.9652018
9,965,-0.96284765,0.96284765
10,301,0.8831044,0.8831044
11,206,0.8798545,0.8798545
12,1109,-0.8750293,0.8750293
13,544,0.86026853,0.86026853
14,748,-0.84799963,0.84799963
15,583,0.8422337,0.8422337
16,1256,0.82980627,0.82980627
17,631,-0.8212347,0.8212347
18,1338,-0.81952244,0.81952244
19,367,0.76099306,0.76099306
20,242,-0.74099636,0.74099636
21,1300,0.7401115,0.7401115
22,596,-0.73870635,0.73870635
23,912,0.7193902,0.7193902
24,320,0.715348,0.715348
25,1382,-0.7149131,0.7149131
26,647,0.6787707,0.6787707
27,772,-0.67378885,0.67378885
28,1232,-0.672312,0.672312
29,237,0.66076624,0.66076624
30,69,0.6531069,0.6531069
31,1492,-0.65031356,0.65031356
32,1428,-0.64758945,0.64758945
33,692,0.6460361,0.6460361
34,499,-0.63270867,0.63270867
35,235,0.62887025,0.62887025
36,669,-0.62792224,0.62792224
37,885,0.62764674,0.62764674
38,292,0.6269524,0.6269524
39,654,-0.62486356,0.62486356
40,1311,-0.6230508,0.6230508
41,1500,0.6203343,0.6203343
42,903,-0.62022287,0.62022287
43,817,0.6198335,0.6198335
44,1186,-0.61840224,0.61840224
45,878,-0.61697143,0.61697143
46,768,-0.61361444,0.61361444
47,961,-0.6117617,0.6117617
48,428,-0.61072445,0.61072445
49,353,-0.61013687,0.61013687
50,1471,0.60837233,0.60837233
51,1434,0.60810715,0.60810715
52,1103,-0.6077018,0.6077018
53,1013,0.60364777,0.60364777
54,842,0.5998084,0.5998084
55,429,0.59642106,0.59642106
56,316,0.5943455,0.5943455
57,258,-0.59245974,0.59245974
58,921,0.5846337,0.5846337
59,140,-0.5829555,0.5829555
60,1437,0.582248,0.582248
61,34,-0.5814191,0.5814191
62,1420,0.58097816,0.58097816
63,884,-0.57506025,0.57506025
64,1383,0.57074404,0.57074404
65,572,0.56758916,0.56758916
66,1315,-0.562407,0.562407
67,346,0.5617421,0.5617421
68,318,-0.5583206,0.5583206
69,940,-0.551797,0.551797
70,101,-0.55119985,0.55119985
71,1316,-0.5501148,0.5501148
72,635,0.5498162,0.5498162
73,1130,0.5485272,0.5485272
74,1520,0.54491013,0.54491013
75,1201,0.53951645,0.53951645
76,517,-0.53817266,0.53817266
77,270,-0.53531474,0.53531474
78,199,0.5340466,0.5340466
79,1402,0.53135735,0.53135735
80,883,-0.5291189,0.5291189
81,656,-0.52672976,0.52672976
82,1197,-0.52669483,0.52669483
83,851,-0.52148336,0.52148336
84,964,0.5208392,0.5208392
85,1035,-0.5205143,0.5205143
86,1304,0.5157071,0.5157071
87,820,0.5156098,0.5156098
88,802,0.5141553,0.5141553
89,1493,-0.51152223,0.51152223
90,1061,0.50926906,0.50926906
91,959,-0.49160722,0.49160722
92,460,0.48807853,0.48807853
93,1518,0.48674214,0.48674214
94,71,-0.48316607,0.48316607
95,1040,-0.4758493,0.4758493
96,1501,0.46770754,0.46770754
97,609,-0.46414676,0.46414676
98,1344,0.46373302,0.46373302
99,37,0.45397562,0.45397562
100,797,-0.44657692,0.44657692
