rank,feature_idx,coefficient,abs_coefficient
1,37,5.0469313,5.0469313
2,46,4.7417116,4.7417116
3,54,4.7270684,4.7270684
4,2,4.589228,4.589228
5,39,4.5684023,4.5684023
6,34,3.6669364,3.6669364
7,4,3.4324303,3.4324303
8,227,3.1975398,3.1975398
9,724,2.6751997,2.6751997
10,695,2.6729681,2.6729681
11,189,2.4056735,2.4056735
12,114,2.4006028,2.4006028
13,23,2.3365123,2.3365123
14,33,2.329071,2.329071
15,1426,2.1672025,2.1672025
16,125,2.1475616,2.1475616
17,128,2.1067827,2.1067827
18,139,2.0519586,2.0519586
19,15,2.0102339,2.0102339
20,261,1.990703,1.990703
21,3794,1.9228877,1.9228877
22,345,1.6541637,1.6541637
23,38,1.633939,1.633939
24,850,1.3949093,1.3949093
25,596,1.3820294,1.3820294
26,3451,1.3517396,1.3517396
27,1896,1.2693574,1.2693574
28,253,1.2558569,1.2558569
29,276,0.9239753,0.9239753
30,2586,0.8489379,0.8489379
31,200,0.7884358,0.7884358
32,432,0.7490942,0.7490942
33,19,0.7455269,0.7455269
34,835,0.7348334,0.7348334
35,1892,0.70140845,0.70140845
36,1565,0.5859674,0.5859674
37,1471,0.39251754,0.39251754
38,2904,0.28514573,0.28514573
39,3828,0.23205817,0.23205817
40,542,0.2225521,0.2225521
41,132,0.16864833,0.16864833
42,938,0.07268379,0.07268379
43,3400,0.048158646,0.048158646
44,1251,0.023347696,0.023347696
45,3506,0.008483515,0.008483515
46,196,0.00647103,0.00647103
47,1371,0.0,0.0
48,1372,0.0,0.0
49,1370,0.0,0.0
50,1373,0.0,0.0
51,4095,0.0,0.0
52,1369,0.0,0.0
53,1368,0.0,0.0
54,1366,0.0,0.0
55,1365,0.0,0.0
56,1364,0.0,0.0
57,1363,0.0,0.0
58,1362,0.0,0.0
59,1361,0.0,0.0
60,1360,0.0,0.0
61,1359,0.0,0.0
62,1358,0.0,0.0
63,1367,0.0,0.0
64,1382,0.0,0.0
65,1374,0.0,0.0
66,1389,0.0,0.0
67,1400,0.0,0.0
68,1399,0.0,0.0
69,1398,0.0,0.0
70,1397,0.0,0.0
71,1396,0.0,0.0
72,1395,0.0,0.0
73,1394,0.0,0.0
74,1393,0.0,0.0
75,1392,0.0,0.0
76,1391,0.0,0.0
77,1390,0.0,0.0
78,1388,0.0,0.0
79,1375,0.0,0.0
80,1387,0.0,0.0
81,1386,0.0,0.0
82,1385,0.0,0.0
83,1384,0.0,0.0
84,1383,0.0,0.0
85,1381,0.0,0.0
86,1380,0.0,0.0
87,1379,0.0,0.0
88,1378,0.0,0.0
89,1377,0.0,0.0
90,1376,0.0,0.0
91,1357,0.0,0.0
92,1345,0.0,0.0
93,1356,0.0,0.0
94,1309,0.0,0.0
95,1322,0.0,0.0
96,1321,0.0,0.0
97,1320,0.0,0.0
98,1319,0.0,0.0
99,1318,0.0,0.0
100,1317,0.0,0.0
