rank,feature_idx,coefficient,abs_coefficient
1,1114,0.77063644,0.77063644
2,678,0.76412475,0.76412475
3,702,0.7180209,0.7180209
4,104,0.71440756,0.71440756
5,1036,0.71416914,0.71416914
6,953,0.6929113,0.6929113
7,1473,0.6873162,0.6873162
8,246,0.65775555,0.65775555
9,355,0.61272967,0.61272967
10,1074,0.6052601,0.6052601
11,1460,0.60392904,0.60392904
12,848,0.60160065,0.60160065
13,998,0.59924436,0.59924436
14,8,0.5949095,0.5949095
15,1108,0.57309955,0.57309955
16,1143,0.56634283,0.56634283
17,585,0.56495696,0.56495696
18,579,0.5622208,0.5622208
19,384,0.5596572,0.5596572
20,1190,0.55845654,0.55845654
21,383,0.5534401,0.5534401
22,618,0.54547566,0.54547566
23,52,0.52856493,0.52856493
24,1301,0.52815026,0.52815026
25,791,0.52472234,0.52472234
26,316,0.51800036,0.51800036
27,694,0.51428795,0.51428795
28,1501,0.50354826,0.50354826
29,1219,0.5002802,0.5002802
30,843,0.49430507,0.49430507
31,782,0.4921525,0.4921525
32,997,0.4900657,0.4900657
33,931,0.48242724,0.48242724
34,1141,0.48060334,0.48060334
35,938,0.47321102,0.47321102
36,1068,0.47168356,0.47168356
37,22,0.46395957,0.46395957
38,1054,0.45094174,0.45094174
39,1273,0.45091903,0.45091903
40,1104,0.45085317,0.45085317
41,766,0.4501001,0.4501001
42,637,0.44747132,0.44747132
43,1245,0.446866,0.446866
44,44,0.4463123,0.4463123
45,89,0.44157475,0.44157475
46,1533,0.44000113,0.44000113
47,994,0.43819654,0.43819654
48,65,0.4348273,0.4348273
49,1416,0.434506,0.434506
50,691,0.43183702,0.43183702
51,422,0.4313355,0.4313355
52,208,0.42927647,0.42927647
53,877,0.4206515,0.4206515
54,534,0.42046058,0.42046058
55,750,0.41804174,0.41804174
56,93,0.41434962,0.41434962
57,772,0.41322902,0.41322902
58,1493,0.41267768,0.41267768
59,711,0.4097908,0.4097908
60,939,0.40817922,0.40817922
61,385,0.40805316,0.40805316
62,576,0.40404755,0.40404755
63,589,0.4026713,0.4026713
64,182,0.40159297,0.40159297
65,469,0.39980125,0.39980125
66,21,0.3989936,0.3989936
67,927,0.39055073,0.39055073
68,29,0.38686854,0.38686854
69,669,0.38634333,0.38634333
70,49,0.38617647,0.38617647
71,1448,0.3836426,0.3836426
72,1291,0.3789909,0.3789909
73,319,0.37837496,0.37837496
74,475,0.37605852,0.37605852
75,1270,0.37474793,0.37474793
76,1281,0.3734411,0.3734411
77,219,0.37268314,0.37268314
78,1458,0.3697958,0.3697958
79,1400,0.36969587,0.36969587
80,1073,0.36945754,0.36945754
81,499,0.36369815,0.36369815
82,1201,0.36207253,0.36207253
83,293,0.35818395,0.35818395
84,1434,0.3575902,0.3575902
85,460,0.3554997,0.3554997
86,279,0.35260016,0.35260016
87,1474,0.35238397,0.35238397
88,654,0.35206035,0.35206035
89,1457,0.35199577,0.35199577
90,730,0.35087568,0.35087568
91,30,0.3503126,0.3503126
92,264,0.3487959,0.3487959
93,1247,0.3477528,0.3477528
94,372,0.3447535,0.3447535
95,523,0.34266984,0.34266984
96,736,0.34057277,0.34057277
97,287,0.34039572,0.34039572
98,302,0.33757868,0.33757868
99,1452,0.33747864,0.33747864
100,99,0.33531332,0.33531332
