rank,feature_idx,coefficient,abs_coefficient
1,295,0.87518835,0.87518835
2,819,0.8520434,0.8520434
3,341,0.84640425,0.84640425
4,423,0.78388184,0.78388184
5,917,0.74282175,0.74282175
6,89,0.6802364,0.6802364
7,1047,0.66626996,0.66626996
8,657,0.6638357,0.6638357
9,128,0.6531511,0.6531511
10,1396,0.6456786,0.6456786
11,235,0.62798923,0.62798923
12,597,0.5766671,0.5766671
13,1242,0.5751829,0.5751829
14,1292,0.5557952,0.5557952
15,433,0.55221444,0.55221444
16,460,0.54553074,0.54553074
17,648,0.5388119,0.5388119
18,1367,0.5224619,0.5224619
19,502,0.5198762,0.5198762
20,1132,0.5166803,0.5166803
21,635,0.5150307,0.5150307
22,1293,0.51108664,0.51108664
23,1003,0.49861106,0.49861106
24,1303,0.4936571,0.4936571
25,580,0.49233606,0.49233606
26,1253,0.4918612,0.4918612
27,1356,0.48862138,0.48862138
28,17,0.488446,0.488446
29,1105,0.48797873,0.48797873
30,174,0.48797774,0.48797774
31,1247,0.47925004,0.47925004
32,307,0.4790357,0.4790357
33,1493,0.4790096,0.4790096
34,1082,0.47123373,0.47123373
35,1010,0.46864784,0.46864784
36,862,0.46547976,0.46547976
37,359,0.4650576,0.4650576
38,22,0.4642125,0.4642125
39,1059,0.46261486,0.46261486
40,812,0.46008667,0.46008667
41,182,0.45916358,0.45916358
42,820,0.45851442,0.45851442
43,283,0.45788527,0.45788527
44,1495,0.4564489,0.4564489
45,705,0.45390257,0.45390257
46,1037,0.45359358,0.45359358
47,18,0.45186877,0.45186877
48,151,0.4518498,0.4518498
49,538,0.44803882,0.44803882
50,1185,0.44784108,0.44784108
51,1478,0.44732118,0.44732118
52,1382,0.44626808,0.44626808
53,1380,0.44599497,0.44599497
54,314,0.44373044,0.44373044
55,435,0.44022903,0.44022903
56,253,0.4399223,0.4399223
57,745,0.43838608,0.43838608
58,377,0.43633088,0.43633088
59,997,0.43377736,0.43377736
60,265,0.4303782,0.4303782
61,35,0.42494905,0.42494905
62,262,0.4245294,0.4245294
63,662,0.4225268,0.4225268
64,781,0.42215082,0.42215082
65,412,0.42038795,0.42038795
66,416,0.41776657,0.41776657
67,1028,0.41753665,0.41753665
68,1360,0.41728297,0.41728297
69,1390,0.41674176,0.41674176
70,420,0.41587687,0.41587687
71,139,0.41213962,0.41213962
72,1464,0.4110693,0.4110693
73,73,0.4090929,0.4090929
74,925,0.40521088,0.40521088
75,234,0.40483,0.40483
76,1262,0.40250278,0.40250278
77,456,0.40006742,0.40006742
78,1312,0.39458978,0.39458978
79,572,0.39435235,0.39435235
80,68,0.39170805,0.39170805
81,24,0.39168882,0.39168882
82,1043,0.3891058,0.3891058
83,541,0.38850102,0.38850102
84,950,0.38649094,0.38649094
85,718,0.3841701,0.3841701
86,1001,0.3837236,0.3837236
87,90,0.38289127,0.38289127
88,306,0.38287154,0.38287154
89,1172,0.38275087,0.38275087
90,655,0.382485,0.382485
91,1458,0.38242587,0.38242587
92,286,0.38236,0.38236
93,1236,0.38139033,0.38139033
94,663,0.38110828,0.38110828
95,1129,0.3806102,0.3806102
96,1337,0.3778348,0.3778348
97,170,0.37739405,0.37739405
98,96,0.37606207,0.37606207
99,1502,0.37340912,0.37340912
100,795,0.37236676,0.37236676
