rank,feature_idx,coefficient,abs_coefficient
1,54,3.2170055,3.2170055
2,46,1.8059983,1.8059983
3,4,1.5891341,1.5891341
4,2,1.3975807,1.3975807
5,15,1.1237626,1.1237626
6,34,1.0149621,1.0149621
7,23,0.9158864,0.9158864
8,33,0.9038515,0.9038515
9,37,0.80588037,0.80588037
10,125,0.75223166,0.75223166
11,139,0.6854682,0.6854682
12,19,0.56007457,0.56007457
13,3794,0.5116139,0.5116139
14,345,0.49531052,0.49531052
15,1426,0.4681829,0.4681829
16,39,0.4338963,0.4338963
17,3451,0.37959185,0.37959185
18,114,0.35544738,0.35544738
19,276,0.33213052,0.33213052
20,695,0.316455,0.316455
21,596,0.28832713,0.28832713
22,1896,0.23958659,0.23958659
23,261,0.23670162,0.23670162
24,189,0.21709456,0.21709456
25,128,0.1845275,0.1845275
26,227,0.08880064,0.08880064
27,253,0.087205686,0.087205686
28,38,0.045760076,0.045760076
29,2586,0.0010290125,0.0010290125
30,850,3.5330734e-06,3.5330734e-06
31,1375,0.0,0.0
32,1373,0.0,0.0
33,1374,0.0,0.0
34,1371,0.0,0.0
35,1370,0.0,0.0
36,1372,0.0,0.0
37,4095,0.0,0.0
38,1369,0.0,0.0
39,1368,0.0,0.0
40,1367,0.0,0.0
41,1377,0.0,0.0
42,1366,0.0,0.0
43,1365,0.0,0.0
44,1364,0.0,0.0
45,1363,0.0,0.0
46,1362,0.0,0.0
47,1361,0.0,0.0
48,1360,0.0,0.0
49,1359,0.0,0.0
50,1358,0.0,0.0
51,1357,0.0,0.0
52,1356,0.0,0.0
53,1376,0.0,0.0
54,1386,0.0,0.0
55,1378,0.0,0.0
56,1393,0.0,0.0
57,1405,0.0,0.0
58,1404,0.0,0.0
59,1403,0.0,0.0
60,1402,0.0,0.0
61,1401,0.0,0.0
62,1400,0.0,0.0
63,1399,0.0,0.0
64,1398,0.0,0.0
65,1397,0.0,0.0
66,1396,0.0,0.0
67,1395,0.0,0.0
68,1394,0.0,0.0
69,1392,0.0,0.0
70,1379,0.0,0.0
71,1391,0.0,0.0
72,1390,0.0,0.0
73,1389,0.0,0.0
74,1388,0.0,0.0
75,1387,0.0,0.0
76,1354,0.0,0.0
77,1385,0.0,0.0
78,1384,0.0,0.0
79,1383,0.0,0.0
80,1382,0.0,0.0
81,1381,0.0,0.0
82,1380,0.0,0.0
83,1355,0.0,0.0
84,1346,0.0,0.0
85,1353,0.0,0.0
86,1352,0.0,0.0
87,1319,0.0,0.0
88,1318,0.0,0.0
89,1317,0.0,0.0
90,1316,0.0,0.0
91,1315,0.0,0.0
92,1314,0.0,0.0
93,1313,0.0,0.0
94,1312,0.0,0.0
95,1311,0.0,0.0
96,1310,0.0,0.0
97,1309,0.0,0.0
98,1308,0.0,0.0
99,1307,0.0,0.0
100,1306,0.0,0.0
