rank,feature_idx,coefficient,abs_coefficient
1,95,3.0762355,3.0762355
2,1962,2.6727169,2.6727169
3,17,-1.3738161,1.3738161
4,526,1.3074787,1.3074787
5,15,1.297927,1.297927
6,864,1.205888,1.205888
7,118,1.1824361,1.1824361
8,37,-1.0411875,1.0411875
9,3807,-0.9089013,0.9089013
10,180,-0.7725373,0.7725373
11,1112,-0.63485765,0.63485765
12,868,-0.5614877,0.5614877
13,0,0.54753244,0.54753244
14,3305,-0.44725043,0.44725043
15,3688,-0.41350758,0.41350758
16,2983,-0.4032981,0.4032981
17,234,0.3923216,0.3923216
18,126,-0.30523613,0.30523613
19,49,-0.29443854,0.29443854
20,1017,-0.2855274,0.2855274
21,57,-0.22254126,0.22254126
22,1929,-0.19873118,0.19873118
23,42,0.17347819,0.17347819
24,2533,-0.1697108,0.1697108
25,476,0.16698912,0.16698912
26,3271,-0.15124096,0.15124096
27,722,0.14511552,0.14511552
28,1963,-0.11321181,0.11321181
29,2751,-0.106194414,0.106194414
30,2434,-0.101666056,0.101666056
31,817,0.10031954,0.10031954
32,1199,-0.0963682,0.0963682
33,324,0.083833314,0.083833314
34,164,0.07510481,0.07510481
35,3625,-0.05224294,0.05224294
36,68,-0.05195865,0.05195865
37,2340,-0.040754106,0.040754106
38,194,0.027862258,0.027862258
39,5,-0.003912072,0.003912072
40,1366,0.0,0.0
41,1367,0.0,0.0
42,1365,0.0,0.0
43,1364,0.0,0.0
44,1363,0.0,0.0
45,1368,0.0,0.0
46,1369,0.0,0.0
47,1362,0.0,0.0
48,1361,0.0,0.0
49,1508,0.0,0.0
50,1370,0.0,0.0
51,1359,0.0,0.0
52,1358,0.0,0.0
53,1357,0.0,0.0
54,1356,0.0,0.0
55,1355,0.0,0.0
56,1354,0.0,0.0
57,1353,0.0,0.0
58,1352,0.0,0.0
59,1351,0.0,0.0
60,1350,0.0,0.0
61,1349,0.0,0.0
62,1348,0.0,0.0
63,1347,0.0,0.0
64,1360,0.0,0.0
65,1371,0.0,0.0
66,1345,0.0,0.0
67,1384,0.0,0.0
68,1397,0.0,0.0
69,1396,0.0,0.0
70,1395,0.0,0.0
71,1394,0.0,0.0
72,1393,0.0,0.0
73,1392,0.0,0.0
74,1391,0.0,0.0
75,1390,0.0,0.0
76,1389,0.0,0.0
77,1388,0.0,0.0
78,1387,0.0,0.0
79,1386,0.0,0.0
80,1385,0.0,0.0
81,1383,0.0,0.0
82,1372,0.0,0.0
83,1382,0.0,0.0
84,1381,0.0,0.0
85,1380,0.0,0.0
86,1379,0.0,0.0
87,1378,0.0,0.0
88,1377,0.0,0.0
89,1376,0.0,0.0
90,1523,0.0,0.0
91,1524,0.0,0.0
92,1375,0.0,0.0
93,1374,0.0,0.0
94,1525,0.0,0.0
95,1373,0.0,0.0
96,1346,0.0,0.0
97,1342,0.0,0.0
98,1344,0.0,0.0
99,1303,0.0,0.0
100,1315,0.0,0.0
