rank,feature_idx,coefficient,abs_coefficient
1,922,-1.4989811,1.4989811
2,377,-1.3335428,1.3335428
3,419,1.3302783,1.3302783
4,418,-1.3202298,1.3202298
5,1377,1.3118404,1.3118404
6,781,-1.3108673,1.3108673
7,1268,1.3105313,1.3105313
8,1373,-1.3095324,1.3095324
9,98,1.3044703,1.3044703
10,695,1.2949592,1.2949592
11,820,1.2909954,1.2909954
12,496,-1.2887,1.2887
13,1259,1.277348,1.277348
14,541,1.2767168,1.2767168
15,822,1.2705266,1.2705266
16,602,-1.2658113,1.2658113
17,666,1.2620937,1.2620937
18,785,1.2613312,1.2613312
19,311,-1.2497249,1.2497249
20,1280,1.2464974,1.2464974
21,8,-1.2332101,1.2332101
22,982,-1.2256702,1.2256702
23,998,-1.213817,1.213817
24,997,-1.213768,1.213768
25,650,-1.1618088,1.1618088
26,1033,1.1587647,1.1587647
27,460,-1.1366088,1.1366088
28,433,1.1203581,1.1203581
29,1292,-1.1101995,1.1101995
30,1508,1.0957801,1.0957801
31,183,-1.068807,1.068807
32,880,-1.055867,1.055867
33,568,-1.0532286,1.0532286
34,392,-1.0420831,1.0420831
35,256,-1.0394496,1.0394496
36,664,-0.9994091,0.9994091
37,1356,0.9994091,0.9994091
38,349,-0.9994073,0.9994073
39,1085,0.99940693,0.99940693
40,118,-0.9994066,0.9994066
41,635,-0.9994054,0.9994054
42,1106,-0.9994043,0.9994043
43,191,-0.9994042,0.9994042
44,67,-0.9994042,0.9994042
45,1070,0.9994042,0.9994042
46,1051,-0.9994041,0.9994041
47,1068,0.9994041,0.9994041
48,1242,0.9994041,0.9994041
49,1492,-0.9994041,0.9994041
50,83,-0.99940395,0.99940395
51,1159,0.99940395,0.99940395
52,783,0.99940395,0.99940395
53,1089,0.99940395,0.99940395
54,637,-0.99940395,0.99940395
55,947,-0.99940395,0.99940395
56,948,0.99940395,0.99940395
57,987,-0.99940395,0.99940395
58,276,-0.99940395,0.99940395
59,1352,0.99940395,0.99940395
60,459,0.99940395,0.99940395
61,17,-0.99940395,0.99940395
62,126,-0.99940395,0.99940395
63,448,0.99940395,0.99940395
64,865,0.99940395,0.99940395
65,1312,0.99931794,0.99931794
66,1399,-0.9982623,0.9982623
67,1134,0.99776965,0.99776965
68,341,-0.9913094,0.9913094
69,280,0.98521185,0.98521185
70,920,-0.9828091,0.9828091
71,795,0.97751194,0.97751194
72,178,0.96820396,0.96820396
73,862,-0.9640817,0.9640817
74,485,-0.95613515,0.95613515
75,1427,0.940764,0.940764
76,288,-0.93516076,0.93516076
77,352,-0.8819998,0.8819998
78,1113,-0.87127656,0.87127656
79,506,0.86870146,0.86870146
80,1104,-0.8378072,0.8378072
81,1073,0.8354414,0.8354414
82,234,-0.8330072,0.8330072
83,1118,-0.8157619,0.8157619
84,250,0.8124573,0.8124573
85,768,0.81193423,0.81193423
86,1041,0.8108164,0.8108164
87,676,0.81004584,0.81004584
88,1478,-0.8096763,0.8096763
89,79,-0.80965835,0.80965835
90,912,0.8070499,0.8070499
91,475,0.7998398,0.7998398
92,442,0.79771405,0.79771405
93,1294,0.79768604,0.79768604
94,1476,-0.79116637,0.79116637
95,323,0.7846183,0.7846183
96,1076,-0.78441954,0.78441954
97,509,-0.7826788,0.7826788
98,1105,-0.78223485,0.78223485
99,1358,0.778254,0.778254
100,572,-0.77759916,0.77759916
