rank,feature_idx,coefficient,abs_coefficient
1,1280,3.779282,3.779282
2,599,-3.4534047,3.4534047
3,641,-3.3095806,3.3095806
4,541,3.0897605,3.0897605
5,242,-3.038814,3.038814
6,198,2.7786524,2.7786524
7,577,-2.7774808,2.7774808
8,661,2.7488816,2.7488816
9,1412,2.6557226,2.6557226
10,1098,2.5827804,2.5827804
11,290,-2.5380187,2.5380187
12,820,2.515131,2.515131
13,427,2.4944382,2.4944382
14,1534,2.4885077,2.4885077
15,877,-2.4818232,2.4818232
16,817,2.4101408,2.4101408
17,777,2.377474,2.377474
18,840,-2.3524804,2.3524804
19,367,2.2635245,2.2635245
20,1464,-2.1541579,2.1541579
21,678,2.1225045,2.1225045
22,1434,2.1129725,2.1129725
23,947,-2.0689719,2.0689719
24,197,2.0680847,2.0680847
25,332,1.992846,1.992846
26,515,-1.9676796,1.9676796
27,1517,1.9676007,1.9676007
28,291,1.9563544,1.9563544
29,492,1.9556519,1.9556519
30,303,1.9541453,1.9541453
31,579,1.8831509,1.8831509
32,217,1.8737012,1.8737012
33,383,1.8636013,1.8636013
34,428,-1.8466066,1.8466066
35,597,-1.8462553,1.8462553
36,1376,-1.830156,1.830156
37,1006,1.7940259,1.7940259
38,630,-1.7916877,1.7916877
39,728,-1.7901474,1.7901474
40,448,1.7886053,1.7886053
41,1019,-1.7831322,1.7831322
42,1293,-1.7764852,1.7764852
43,566,1.7712227,1.7712227
44,1347,-1.7591802,1.7591802
45,407,-1.7575977,1.7575977
46,1196,1.7562969,1.7562969
47,38,-1.7273649,1.7273649
48,1147,1.717796,1.717796
49,612,1.7111607,1.7111607
50,1010,1.7108299,1.7108299
51,104,1.7008171,1.7008171
52,1239,1.6975387,1.6975387
53,833,1.6953001,1.6953001
54,34,-1.6925704,1.6925704
55,655,1.6895111,1.6895111
56,1153,-1.6879057,1.6879057
57,548,-1.6872907,1.6872907
58,1193,1.6836641,1.6836641
59,622,-1.6833534,1.6833534
60,885,1.6622845,1.6622845
61,371,-1.6552465,1.6552465
62,1056,1.6491449,1.6491449
63,1381,1.6215241,1.6215241
64,64,-1.6065549,1.6065549
65,1529,1.59713,1.59713
66,586,-1.5949545,1.5949545
67,183,-1.5937546,1.5937546
68,411,-1.556148,1.556148
69,1220,1.5476328,1.5476328
70,588,1.5308571,1.5308571
71,1270,-1.5285944,1.5285944
72,454,1.5275229,1.5275229
73,75,1.5247024,1.5247024
74,94,-1.5194958,1.5194958
75,255,1.5171508,1.5171508
76,1208,1.5116528,1.5116528
77,1302,1.5015645,1.5015645
78,1199,1.4979901,1.4979901
79,1034,1.4963458,1.4963458
80,1311,-1.4956778,1.4956778
81,60,1.4932078,1.4932078
82,1093,1.4907947,1.4907947
83,793,-1.4832442,1.4832442
84,1510,-1.4778872,1.4778872
85,605,-1.430047,1.430047
86,299,1.4230008,1.4230008
87,147,-1.4133542,1.4133542
88,167,1.4110572,1.4110572
89,707,1.4100834,1.4100834
90,1190,1.4026028,1.4026028
91,1483,-1.4010315,1.4010315
92,963,-1.3970921,1.3970921
93,1296,1.3887473,1.3887473
94,533,-1.3811113,1.3811113
95,116,-1.3798511,1.3798511
96,1524,1.3797004,1.3797004
97,361,1.3776621,1.3776621
98,911,1.3692499,1.3692499
99,888,1.3653371,1.3653371
100,616,1.3642333,1.3642333
