rank,feature_idx,coefficient,abs_coefficient
1,1036,1.7618059,1.7618059
2,69,1.5392704,1.5392704
3,460,1.4440457,1.4440457
4,377,1.3988805,1.3988805
5,150,1.3837868,1.3837868
6,1108,1.3725682,1.3725682
7,1431,1.346133,1.346133
8,363,1.3375378,1.3375378
9,684,1.3337977,1.3337977
10,1428,1.3286586,1.3286586
11,246,1.3267685,1.3267685
12,1094,1.3241279,1.3241279
13,1530,1.3239208,1.3239208
14,1076,1.3179405,1.3179405
15,34,1.3030505,1.3030505
16,968,1.2850771,1.2850771
17,1085,1.2846264,1.2846264
18,1508,1.2732674,1.2732674
19,9,1.2662665,1.2662665
20,787,1.2642714,1.2642714
21,16,1.2641308,1.2641308
22,544,1.2631663,1.2631663
23,1371,1.261183,1.261183
24,125,1.2575411,1.2575411
25,24,1.2561296,1.2561296
26,1481,1.255692,1.255692
27,586,1.2546551,1.2546551
28,126,1.2537612,1.2537612
29,1347,1.2399213,1.2399213
30,736,1.2301843,1.2301843
31,1079,1.2287949,1.2287949
32,982,1.2261833,1.2261833
33,302,1.225548,1.225548
34,1159,1.2246752,1.2246752
35,1038,1.1877798,1.1877798
36,64,1.133855,1.133855
37,1230,1.1308908,1.1308908
38,1206,1.1196406,1.1196406
39,515,1.1135131,1.1135131
40,155,1.0970476,1.0970476
41,18,1.0759853,1.0759853
42,613,1.0735158,1.0735158
43,1062,1.0560809,1.0560809
44,1399,1.0555378,1.0555378
45,1023,1.021889,1.021889
46,1270,0.9994141,0.9994141
47,383,0.999413,0.999413
48,165,0.99941266,0.99941266
49,131,0.99941194,0.99941194
50,1518,0.9994118,0.9994118
51,621,0.99941134,0.99941134
52,866,0.999411,0.999411
53,1127,0.9994105,0.9994105
54,870,0.9994103,0.9994103
55,221,0.9994097,0.9994097
56,1364,0.9994097,0.9994097
57,144,0.9994093,0.9994093
58,1050,0.9994093,0.9994093
59,1224,0.99940896,0.99940896
60,912,0.9994087,0.9994087
61,666,0.999408,0.999408
62,775,0.999408,0.999408
63,167,0.9994079,0.9994079
64,949,0.99940765,0.99940765
65,372,0.99940765,0.99940765
66,1325,0.99940765,0.99940765
67,89,0.99940586,0.99940586
68,108,0.9994055,0.9994055
69,701,0.99940515,0.99940515
70,175,0.9994048,0.9994048
71,110,0.99940443,0.99940443
72,368,0.9994042,0.9994042
73,1387,0.9994042,0.9994042
74,283,0.9994042,0.9994042
75,1109,0.9994041,0.9994041
76,350,0.9994041,0.9994041
77,361,0.9994041,0.9994041
78,386,0.9994041,0.9994041
79,51,0.9994041,0.9994041
80,1261,0.99940395,0.99940395
81,769,0.99940395,0.99940395
82,663,0.99940395,0.99940395
83,255,0.99940395,0.99940395
84,335,0.99940395,0.99940395
85,741,0.99940395,0.99940395
86,501,0.99940395,0.99940395
87,77,0.99940395,0.99940395
88,890,0.99940395,0.99940395
89,1242,0.99940395,0.99940395
90,844,0.99940395,0.99940395
91,82,0.99940395,0.99940395
92,1043,0.99940395,0.99940395
93,379,0.9994039,0.9994039
94,781,0.9994039,0.9994039
95,1382,0.9994039,0.9994039
96,766,0.9994039,0.9994039
97,603,0.9994008,0.9994008
98,916,0.99937904,0.99937904
99,631,0.9991488,0.9991488
100,381,0.99824846,0.99824846
