rank,feature_idx,coefficient,abs_coefficient
1,317,2.9351704,2.9351704
2,1667,2.789364,2.789364
3,3022,2.6751986,2.6751986
4,3365,2.6070411,2.6070411
5,3619,2.4505367,2.4505367
6,201,2.221923,2.221923
7,731,2.061708,2.061708
8,3320,2.0338733,2.0338733
9,360,1.9720181,1.9720181
10,3168,1.9271212,1.9271212
11,142,1.77259,1.77259
12,880,1.7546326,1.7546326
13,674,1.7097718,1.7097718
14,1153,1.6892601,1.6892601
15,448,1.689161,1.689161
16,13,1.6418372,1.6418372
17,825,1.5768757,1.5768757
18,84,1.5351666,1.5351666
19,2125,1.468883,1.468883
20,242,1.4509758,1.4509758
21,2799,1.4366885,1.4366885
22,108,1.4327339,1.4327339
23,284,1.4216204,1.4216204
24,182,1.414093,1.414093
25,2558,1.3933226,1.3933226
26,1222,1.3834869,1.3834869
27,226,1.3821616,1.3821616
28,3897,1.3676199,1.3676199
29,866,1.3542771,1.3542771
30,624,1.2850226,1.2850226
31,2264,1.2707145,1.2707145
32,85,1.1946074,1.1946074
33,2853,1.1453032,1.1453032
34,11,1.1304055,1.1304055
35,40,1.1277102,1.1277102
36,1842,1.0804476,1.0804476
37,925,1.062793,1.062793
38,14,1.0593103,1.0593103
39,2102,1.0588869,1.0588869
40,3005,1.0393114,1.0393114
41,3091,0.997003,0.997003
42,2697,0.9746647,0.9746647
43,619,0.9668183,0.9668183
44,2321,0.9435026,0.9435026
45,46,0.9208618,0.9208618
46,2,0.9174554,0.9174554
47,920,0.9071219,0.9071219
48,3834,0.8839917,0.8839917
49,4017,0.8508802,0.8508802
50,2944,0.85057026,0.85057026
51,3030,0.8365925,0.8365925
52,63,0.8358445,0.8358445
53,2519,0.83283395,0.83283395
54,922,0.8277332,0.8277332
55,2894,0.8183492,0.8183492
56,590,0.8097511,0.8097511
57,54,0.7987934,0.7987934
58,20,0.7900503,0.7900503
59,245,0.7839431,0.7839431
60,3970,0.7695139,0.7695139
61,3039,0.74741477,0.74741477
62,31,0.7320607,0.7320607
63,784,0.7225072,0.7225072
64,267,0.71954393,0.71954393
65,8,0.6921417,0.6921417
66,435,0.6850644,0.6850644
67,441,0.67551523,0.67551523
68,3858,0.67379135,0.67379135
69,598,0.6696685,0.6696685
70,500,0.6672408,0.6672408
71,3861,0.6640753,0.6640753
72,860,0.66279554,0.66279554
73,41,0.6618977,0.6618977
74,3532,0.65900385,0.65900385
75,53,0.64240456,0.64240456
76,116,0.62779546,0.62779546
77,1771,0.62335753,0.62335753
78,552,0.60173315,0.60173315
79,59,0.6012176,0.6012176
80,42,0.5914064,0.5914064
81,183,0.5913191,0.5913191
82,1214,0.55367106,0.55367106
83,1468,0.5500728,0.5500728
84,389,0.548423,0.548423
85,968,0.5333631,0.5333631
86,1895,0.5307877,0.5307877
87,23,0.5273287,0.5273287
88,875,0.51920193,0.51920193
89,166,0.516223,0.516223
90,863,0.5125161,0.5125161
91,2767,0.5037395,0.5037395
92,3886,0.5026026,0.5026026
93,49,0.49990597,0.49990597
94,0,0.49715713,0.49715713
95,681,0.47686946,0.47686946
96,124,0.4746764,0.4746764
97,2308,0.46933994,0.46933994
98,709,0.4588107,0.4588107
99,3857,0.45872056,0.45872056
100,3059,0.45474526,0.45474526
