rank,feature_idx,coefficient,abs_coefficient
1,61,6.6917405,6.6917405
2,26,5.956693,5.956693
3,31,5.144404,5.144404
4,18,4.7041206,4.7041206
5,14,2.8402932,2.8402932
6,50,2.46255,2.46255
7,148,2.437445,2.437445
8,24,2.4230554,2.4230554
9,11,2.3685899,2.3685899
10,870,2.3310647,2.3310647
11,58,2.259609,2.259609
12,44,2.1914208,2.1914208
13,21,1.9869639,1.9869639
14,993,1.9471445,1.9471445
15,105,1.9182634,1.9182634
16,244,1.863705,1.863705
17,17,1.8421465,1.8421465
18,46,1.8402342,1.8402342
19,3150,1.8313974,1.8313974
20,163,1.7704252,1.7704252
21,2084,1.7271149,1.7271149
22,4,1.7114857,1.7114857
23,783,1.5692928,1.5692928
24,54,1.5565308,1.5565308
25,27,1.5534861,1.5534861
26,45,1.4932435,1.4932435
27,206,1.4901468,1.4901468
28,800,1.4827832,1.4827832
29,37,1.47766,1.47766
30,12,1.4448452,1.4448452
31,8,1.3751041,1.3751041
32,25,1.3259214,1.3259214
33,238,1.2925738,1.2925738
34,117,1.2530907,1.2530907
35,1936,1.2092841,1.2092841
36,55,1.1668712,1.1668712
37,36,1.1313252,1.1313252
38,839,1.1139761,1.1139761
39,135,1.0847305,1.0847305
40,88,1.0569613,1.0569613
41,921,1.0146066,1.0146066
42,165,0.9909771,0.9909771
43,172,0.9893216,0.9893216
44,602,0.98464197,0.98464197
45,867,0.9827409,0.9827409
46,41,0.98037785,0.98037785
47,171,0.966414,0.966414
48,95,0.944905,0.944905
49,16,0.93196934,0.93196934
50,1447,0.8616894,0.8616894
51,255,0.85826814,0.85826814
52,39,0.84486157,0.84486157
53,429,0.82479525,0.82479525
54,4024,0.8038898,0.8038898
55,201,0.75114053,0.75114053
56,296,0.7476801,0.7476801
57,53,0.7435617,0.7435617
58,718,0.70892763,0.70892763
59,3685,0.6819247,0.6819247
60,236,0.67784214,0.67784214
61,9,0.67587394,0.67587394
62,48,0.6717729,0.6717729
63,488,0.6562328,0.6562328
64,232,0.65306866,0.65306866
65,2682,0.6294998,0.6294998
66,33,0.6171614,0.6171614
67,1435,0.60296834,0.60296834
68,426,0.568867,0.568867
69,381,0.5565109,0.5565109
70,51,0.50686413,0.50686413
71,927,0.4899463,0.4899463
72,3488,0.47424236,0.47424236
73,1850,0.46469048,0.46469048
74,672,0.45257998,0.45257998
75,82,0.44479182,0.44479182
76,2154,0.4419117,0.4419117
77,221,0.43530157,0.43530157
78,346,0.39777616,0.39777616
79,2650,0.38877997,0.38877997
80,1,0.38844725,0.38844725
81,169,0.3756135,0.3756135
82,1895,0.3558324,0.3558324
83,321,0.33543473,0.33543473
84,215,0.3232898,0.3232898
85,224,0.29442382,0.29442382
86,3130,0.2862775,0.2862775
87,3141,0.2766936,0.2766936
88,383,0.25112364,0.25112364
89,5,0.25101653,0.25101653
90,63,0.24986719,0.24986719
91,3729,0.2349493,0.2349493
92,2009,0.23328383,0.23328383
93,3258,0.23265198,0.23265198
94,2690,0.20796017,0.20796017
95,1995,0.20248513,0.20248513
96,199,0.18424557,0.18424557
97,144,0.1627615,0.1627615
98,3742,0.15127091,0.15127091
99,1708,0.1487151,0.1487151
100,3570,0.1479064,0.1479064
