rank,feature_idx,coefficient,abs_coefficient
1,14,2.7265723,2.7265723
2,58,1.1677175,1.1677175
3,148,1.1350113,1.1350113
4,3488,0.7340316,0.7340316
5,27,0.7311476,0.7311476
6,50,0.70122534,0.70122534
7,61,0.7000613,0.7000613
8,16,0.6949287,0.6949287
9,25,0.6801478,0.6801478
10,18,0.5830721,0.5830721
11,33,0.5762175,0.5762175
12,45,0.56457543,0.56457543
13,171,0.5154074,0.5154074
14,3685,0.49324623,0.49324623
15,8,0.48805878,0.48805878
16,215,0.4879575,0.4879575
17,238,0.43491498,0.43491498
18,39,0.43087718,0.43087718
19,221,0.42592764,0.42592764
20,165,0.4234883,0.4234883
21,9,0.41965798,0.41965798
22,346,0.409978,0.409978
23,201,0.40214267,0.40214267
24,37,0.38473263,0.38473263
25,839,0.38193884,0.38193884
26,2084,0.3790345,0.3790345
27,921,0.36573038,0.36573038
28,3150,0.3470815,0.3470815
29,169,0.3434676,0.3434676
30,867,0.33991072,0.33991072
31,54,0.30895534,0.30895534
32,163,0.30758816,0.30758816
33,429,0.29077482,0.29077482
34,46,0.27081305,0.27081305
35,36,0.2564945,0.2564945
36,82,0.25223765,0.25223765
37,172,0.22884695,0.22884695
38,88,0.20201904,0.20201904
39,31,0.19248103,0.19248103
40,783,0.15973796,0.15973796
41,800,0.15595497,0.15595497
42,95,0.1475669,0.1475669
43,426,0.13795027,0.13795027
44,2650,0.13252003,0.13252003
45,154,0.12980507,0.12980507
46,135,0.1286381,0.1286381
47,236,0.11639902,0.11639902
48,718,0.113106646,0.113106646
49,117,0.10297086,0.10297086
50,232,0.093988806,0.093988806
51,381,0.0892181,0.0892181
52,17,0.07767703,0.07767703
53,55,0.073353805,0.073353805
54,244,0.05918577,0.05918577
55,41,0.050997674,0.050997674
56,26,0.048050415,0.048050415
57,1447,0.04539092,0.04539092
58,602,0.04168665,0.04168665
59,1936,0.041601013,0.041601013
60,4024,0.03268208,0.03268208
61,1850,0.030922197,0.030922197
62,255,0.021299213,0.021299213
63,2682,0.019435806,0.019435806
64,63,0.01712048,0.01712048
65,12,0.014966411,0.014966411
66,53,0.014957181,0.014957181
67,870,0.0013298927,0.0013298927
68,206,0.00040634768,0.00040634768
69,1387,0.0,0.0
70,1404,0.0,0.0
71,1399,0.0,0.0
72,1400,0.0,0.0
73,1401,0.0,0.0
74,1376,0.0,0.0
75,1402,0.0,0.0
76,1375,0.0,0.0
77,1403,0.0,0.0
78,1374,0.0,0.0
79,1377,0.0,0.0
80,1405,0.0,0.0
81,1406,0.0,0.0
82,1373,0.0,0.0
83,1372,0.0,0.0
84,1407,0.0,0.0
85,1408,0.0,0.0
86,1371,0.0,0.0
87,1370,0.0,0.0
88,1398,0.0,0.0
89,1378,0.0,0.0
90,1388,0.0,0.0
91,1397,0.0,0.0
92,1389,0.0,0.0
93,1386,0.0,0.0
94,1390,0.0,0.0
95,1369,0.0,0.0
96,1391,0.0,0.0
97,1385,0.0,0.0
98,1384,0.0,0.0
99,1392,0.0,0.0
100,1393,0.0,0.0
