rank,feature_idx,coefficient,abs_coefficient
1,14,33.316166,33.316166
2,58,28.552511,28.552511
3,26,26.707657,26.707657
4,61,26.342932,26.342932
5,11,24.189117,24.189117
6,18,23.388893,23.388893
7,54,21.276217,21.276217
8,31,20.154287,20.154287
9,50,19.02236,19.02236
10,16,18.795372,18.795372
11,4,18.319693,18.319693
12,148,17.84882,17.84882
13,55,17.343645,17.343645
14,46,16.206772,16.206772
15,12,14.747138,14.747138
16,45,14.696873,14.696873
17,105,14.277978,14.277978
18,244,11.502273,11.502273
19,21,11.088664,11.088664
20,44,10.609407,10.609407
21,870,9.767362,9.767362
22,3150,9.484569,9.484569
23,993,9.204299,9.204299
24,171,9.067937,9.067937
25,8,8.694808,8.694808
26,24,8.411939,8.411939
27,163,8.194649,8.194649
28,206,7.6861324,7.6861324
29,17,7.413175,7.413175
30,37,7.2777,7.2777
31,800,5.998694,5.998694
32,221,5.3963656,5.3963656
33,117,5.3500924,5.3500924
34,33,5.336264,5.336264
35,3488,5.320351,5.320351
36,41,5.1978188,5.1978188
37,2084,5.191534,5.191534
38,255,5.000664,5.000664
39,172,4.9265094,4.9265094
40,201,4.6219993,4.6219993
41,48,4.5941358,4.5941358
42,3685,4.3151927,4.3151927
43,1936,4.2329383,4.2329383
44,783,4.2199273,4.2199273
45,381,3.890585,3.890585
46,169,3.7765589,3.7765589
47,135,3.771558,3.771558
48,9,3.6935804,3.6935804
49,2154,3.5024233,3.5024233
50,88,3.5012653,3.5012653
51,25,3.485112,3.485112
52,383,3.4586632,3.4586632
53,215,3.4535437,3.4535437
54,602,3.27154,3.27154
55,867,3.2623727,3.2623727
56,3130,3.2201345,3.2201345
57,2682,3.1287034,3.1287034
58,82,3.098386,3.098386
59,3729,3.097453,3.097453
60,1447,3.0397456,3.0397456
61,165,2.9125144,2.9125144
62,4024,2.7925951,2.7925951
63,232,2.754669,2.754669
64,27,2.6668253,2.6668253
65,95,2.6489925,2.6489925
66,488,2.593993,2.593993
67,1895,2.4822328,2.4822328
68,718,2.4113204,2.4113204
69,224,2.1838753,2.1838753
70,238,2.0009677,2.0009677
71,154,1.9726213,1.9726213
72,839,1.9598244,1.9598244
73,2690,1.8956729,1.8956729
74,921,1.8923782,1.8923782
75,2650,1.8177738,1.8177738
76,3742,1.8031149,1.8031149
77,1708,1.6507959,1.6507959
78,1995,1.6211305,1.6211305
79,63,1.6117655,1.6117655
80,1850,1.5766405,1.5766405
81,144,1.5337934,1.5337934
82,429,1.4671673,1.4671673
83,1435,1.2047958,1.2047958
84,36,1.1996088,1.1996088
85,3141,1.0667859,1.0667859
86,236,1.0273992,1.0273992
87,51,0.87084794,0.87084794
88,28,0.79673666,0.79673666
89,53,0.78379893,0.78379893
90,346,0.58864164,0.58864164
91,426,0.57408774,0.57408774
92,672,0.49888837,0.49888837
93,296,0.47179338,0.47179338
94,2009,0.4162568,0.4162568
95,353,0.36856183,0.36856183
96,927,0.2646911,0.2646911
97,39,0.23146367,0.23146367
98,29,0.22550517,0.22550517
99,3258,0.14737558,0.14737558
100,5,0.14493363,0.14493363
