rank,feature_idx,coefficient,abs_coefficient
1,33,5.035329,5.035329
2,6,4.3792214,4.3792214
3,2,4.0976663,4.0976663
4,1,3.8714998,3.8714998
5,37,3.2096102,3.2096102
6,24,3.1866279,3.1866279
7,42,3.1799922,3.1799922
8,17,3.1066053,3.1066053
9,30,2.859138,2.859138
10,9,2.8202481,2.8202481
11,8,2.682635,2.682635
12,11,2.6135952,2.6135952
13,41,2.5770876,2.5770876
14,36,2.5624807,2.5624807
15,174,2.5428655,2.5428655
16,169,2.444011,2.444011
17,19,2.3824642,2.3824642
18,228,2.2665346,2.2665346
19,32,2.2618117,2.2618117
20,18,2.1750298,2.1750298
21,10,2.1488864,2.1488864
22,21,2.1319187,2.1319187
23,92,2.103002,2.103002
24,14,2.0796027,2.0796027
25,54,2.0502279,2.0502279
26,62,2.044682,2.044682
27,43,2.0334313,2.0334313
28,154,2.0218043,2.0218043
29,56,2.0039241,2.0039241
30,152,1.9588001,1.9588001
31,76,1.9289932,1.9289932
32,15,1.9172573,1.9172573
33,698,1.8346225,1.8346225
34,382,1.7972888,1.7972888
35,203,1.7699128,1.7699128
36,416,1.7555876,1.7555876
37,40,1.7335185,1.7335185
38,39,1.6647356,1.6647356
39,157,1.6528622,1.6528622
40,3,1.6265284,1.6265284
41,129,1.6115643,1.6115643
42,205,1.4283249,1.4283249
43,162,1.4276012,1.4276012
44,75,1.417587,1.417587
45,245,1.4165423,1.4165423
46,85,1.4137429,1.4137429
47,51,1.3433912,1.3433912
48,53,1.3010807,1.3010807
49,91,1.3006538,1.3006538
50,552,1.2736167,1.2736167
51,358,1.2640874,1.2640874
52,186,1.2485198,1.2485198
53,1825,1.2358013,1.2358013
54,35,1.2321991,1.2321991
55,3558,1.2307724,1.2307724
56,86,1.2225904,1.2225904
57,381,1.2145149,1.2145149
58,55,1.2097651,1.2097651
59,2587,1.1948042,1.1948042
60,571,1.1944956,1.1944956
61,570,1.1925352,1.1925352
62,88,1.183151,1.183151
63,231,1.1746309,1.1746309
64,846,1.1404084,1.1404084
65,1681,1.1231662,1.1231662
66,210,1.119012,1.119012
67,177,1.0920546,1.0920546
68,390,1.0862197,1.0862197
69,589,1.0840709,1.0840709
70,534,1.0743048,1.0743048
71,223,1.0648137,1.0648137
72,1261,1.0642484,1.0642484
73,146,1.0452167,1.0452167
74,209,1.0444199,1.0444199
75,175,1.0360885,1.0360885
76,80,1.034196,1.034196
77,200,1.0275996,1.0275996
78,944,1.0233071,1.0233071
79,26,1.0117086,1.0117086
80,130,1.0076202,1.0076202
81,268,1.0050337,1.0050337
82,934,0.9968644,0.9968644
83,2385,0.99374574,0.99374574
84,44,0.99273664,0.99273664
85,431,0.96517533,0.96517533
86,194,0.96407807,0.96407807
87,324,0.9609086,0.9609086
88,556,0.9585799,0.9585799
89,863,0.95522994,0.95522994
90,73,0.9531175,0.9531175
91,744,0.9521014,0.9521014
92,3949,0.9510835,0.9510835
93,2332,0.94894505,0.94894505
94,383,0.9431757,0.9431757
95,986,0.9421892,0.9421892
96,512,0.9356727,0.9356727
97,0,0.921501,0.921501
98,3468,0.91565603,0.91565603
99,790,0.90447205,0.90447205
100,288,0.8983957,0.8983957
