rank,feature_idx,coefficient,abs_coefficient
1,92,1.8460045,1.8460045
2,17,1.7892853,1.7892853
3,39,1.7650512,1.7650512
4,3949,1.6802032,1.6802032
5,24,1.6638855,1.6638855
6,419,1.4398209,1.4398209
7,162,1.4383242,1.4383242
8,1825,1.4234049,1.4234049
9,18,1.2958186,1.2958186
10,105,1.2331034,1.2331034
11,484,1.2124693,1.2124693
12,146,1.1581501,1.1581501
13,3,1.1526762,1.1526762
14,1020,1.116187,1.116187
15,563,1.1059376,1.1059376
16,2,1.1012001,1.1012001
17,924,1.0929404,1.0929404
18,119,1.052116,1.052116
19,790,1.0391604,1.0391604
20,250,1.0099307,1.0099307
21,967,1.0032414,1.0032414
22,1357,0.97865266,0.97865266
23,3423,0.89296275,0.89296275
24,2361,0.8867103,0.8867103
25,354,0.87221223,0.87221223
26,19,0.8572199,0.8572199
27,380,0.8200017,0.8200017
28,75,0.8133553,0.8133553
29,1556,0.7960864,0.7960864
30,37,0.78650224,0.78650224
31,473,0.7788209,0.7788209
32,751,0.7602409,0.7602409
33,803,0.75920403,0.75920403
34,552,0.7422086,0.7422086
35,731,0.74045265,0.74045265
36,4046,0.7223874,0.7223874
37,3809,0.7132403,0.7132403
38,598,0.6598729,0.6598729
39,571,0.64500576,0.64500576
40,744,0.64316165,0.64316165
41,244,0.6399185,0.6399185
42,1200,0.63008153,0.63008153
43,32,0.6279314,0.6279314
44,40,0.62153727,0.62153727
45,42,0.61706114,0.61706114
46,471,0.6140485,0.6140485
47,152,0.61120427,0.61120427
48,3035,0.6059631,0.6059631
49,73,0.5927397,0.5927397
50,2358,0.5828112,0.5828112
51,41,0.58190465,0.58190465
52,30,0.57342994,0.57342994
53,4004,0.5664213,0.5664213
54,1502,0.56380284,0.56380284
55,10,0.5626142,0.5626142
56,605,0.56118584,0.56118584
57,2964,0.5582808,0.5582808
58,1897,0.55812746,0.55812746
59,34,0.5495293,0.5495293
60,589,0.54188156,0.54188156
61,2205,0.53310084,0.53310084
62,27,0.5304607,0.5304607
63,183,0.52832097,0.52832097
64,2176,0.51597273,0.51597273
65,33,0.4980896,0.4980896
66,2274,0.49806857,0.49806857
67,631,0.49629194,0.49629194
68,979,0.48847288,0.48847288
69,15,0.4655164,0.4655164
70,682,0.45777494,0.45777494
71,382,0.45586118,0.45586118
72,209,0.45196635,0.45196635
73,44,0.4429768,0.4429768
74,2442,0.44042557,0.44042557
75,348,0.43374127,0.43374127
76,3698,0.42752448,0.42752448
77,3853,0.41054288,0.41054288
78,81,0.40534258,0.40534258
79,1487,0.39755058,0.39755058
80,888,0.39318123,0.39318123
81,1668,0.3915717,0.3915717
82,786,0.38973165,0.38973165
83,1986,0.38360378,0.38360378
84,487,0.37037185,0.37037185
85,26,0.36318192,0.36318192
86,720,0.36300275,0.36300275
87,549,0.36013895,0.36013895
88,245,0.35782307,0.35782307
89,8,0.34858602,0.34858602
90,109,0.3480937,0.3480937
91,169,0.3479536,0.3479536
92,35,0.33579636,0.33579636
93,11,0.31266066,0.31266066
94,906,0.3027316,0.3027316
95,147,0.2833102,0.2833102
96,80,0.28307572,0.28307572
97,4070,0.2829219,0.2829219
98,163,0.2736882,0.2736882
99,3283,0.27262822,0.27262822
100,6,0.26783004,0.26783004
