rank,feature_idx,coefficient,abs_coefficient
1,743,2.0368266,2.0368266
2,747,1.9461337,1.9461337
3,585,1.9366949,1.9366949
4,230,1.9352992,1.9352992
5,157,1.9345556,1.9345556
6,176,1.9331657,1.9331657
7,1119,1.9327028,1.9327028
8,1225,1.8907543,1.8907543
9,1273,1.8864499,1.8864499
10,836,1.8077726,1.8077726
11,341,1.7564929,1.7564929
12,976,1.7234777,1.7234777
13,648,1.7165353,1.7165353
14,419,1.7159746,1.7159746
15,890,1.7010792,1.7010792
16,1083,1.6934167,1.6934167
17,302,1.6926173,1.6926173
18,70,1.6893685,1.6893685
19,414,1.6755598,1.6755598
20,748,1.6683081,1.6683081
21,555,1.649503,1.649503
22,1414,1.6159666,1.6159666
23,665,1.6158493,1.6158493
24,987,1.6133664,1.6133664
25,935,1.6091306,1.6091306
26,757,1.6089066,1.6089066
27,577,1.5991215,1.5991215
28,783,1.5974888,1.5974888
29,69,1.5936077,1.5936077
30,1269,1.589159,1.589159
31,29,1.5699538,1.5699538
32,915,1.5645056,1.5645056
33,246,1.5622245,1.5622245
34,806,1.560169,1.560169
35,726,1.5522388,1.5522388
36,517,1.5424311,1.5424311
37,1021,1.5381917,1.5381917
38,883,1.5313689,1.5313689
39,373,1.5181912,1.5181912
40,841,1.5130603,1.5130603
41,59,1.5090647,1.5090647
42,761,1.4893398,1.4893398
43,1477,1.4841118,1.4841118
44,1487,1.4613713,1.4613713
45,1007,1.4531504,1.4531504
46,491,1.4482723,1.4482723
47,479,1.4439237,1.4439237
48,521,1.4404775,1.4404775
49,1159,1.4392321,1.4392321
50,1056,1.4390657,1.4390657
51,1374,1.4368907,1.4368907
52,866,1.4238688,1.4238688
53,894,1.4147758,1.4147758
54,174,1.400901,1.400901
55,512,1.3991476,1.3991476
56,343,1.3910377,1.3910377
57,782,1.3833834,1.3833834
58,765,1.380139,1.380139
59,1126,1.3733248,1.3733248
60,801,1.373207,1.373207
61,303,1.3728153,1.3728153
62,1490,1.3720789,1.3720789
63,1479,1.3625271,1.3625271
64,1041,1.3620222,1.3620222
65,970,1.355117,1.355117
66,177,1.3479254,1.3479254
67,15,1.3445175,1.3445175
68,1186,1.341482,1.341482
69,371,1.338889,1.338889
70,683,1.3338797,1.3338797
71,1105,1.3207655,1.3207655
72,214,1.319623,1.319623
73,681,1.3172724,1.3172724
74,1102,1.3148165,1.3148165
75,1529,1.3109995,1.3109995
76,1457,1.3094577,1.3094577
77,1311,1.3084184,1.3084184
78,1258,1.3073992,1.3073992
79,396,1.3064967,1.3064967
80,562,1.304834,1.304834
81,331,1.2979237,1.2979237
82,538,1.2893171,1.2893171
83,181,1.2781132,1.2781132
84,464,1.2762762,1.2762762
85,335,1.275761,1.275761
86,76,1.274346,1.274346
87,146,1.2740308,1.2740308
88,167,1.2717927,1.2717927
89,90,1.2659588,1.2659588
90,456,1.2639946,1.2639946
91,1259,1.2634916,1.2634916
92,1385,1.2622535,1.2622535
93,1210,1.2595866,1.2595866
94,1080,1.259313,1.259313
95,1325,1.2587255,1.2587255
96,1255,1.257842,1.257842
97,509,1.2552363,1.2552363
98,1256,1.2494563,1.2494563
99,1439,1.2451503,1.2451503
100,1513,1.2411716,1.2411716
