rank,feature_idx,coefficient,abs_coefficient
1,229,5.322824,5.322824
2,59,4.8391314,4.8391314
3,61,2.4385688,2.4385688
4,691,2.3133798,2.3133798
5,49,1.9375131,1.9375131
6,1369,0.93072605,0.93072605
7,4,0.9074826,0.9074826
8,27,0.8027857,0.8027857
9,119,0.5895511,0.5895511
10,12,0.57509553,0.57509553
11,3,0.54591715,0.54591715
12,58,0.30482513,0.30482513
13,3403,0.23625274,0.23625274
14,161,0.17488651,0.17488651
15,6,0.113165595,0.113165595
16,53,0.015383296,0.015383296
17,248,0.00055537955,0.00055537955
18,3647,0.00036344165,0.00036344165
19,1370,0.0,0.0
20,1368,0.0,0.0
21,1367,0.0,0.0
22,1366,0.0,0.0
23,1371,0.0,0.0
24,1372,0.0,0.0
25,1365,0.0,0.0
26,4095,0.0,0.0
27,1364,0.0,0.0
28,1363,0.0,0.0
29,1374,0.0,0.0
30,1362,0.0,0.0
31,1361,0.0,0.0
32,1360,0.0,0.0
33,1359,0.0,0.0
34,1358,0.0,0.0
35,1357,0.0,0.0
36,1356,0.0,0.0
37,1355,0.0,0.0
38,1354,0.0,0.0
39,1353,0.0,0.0
40,1352,0.0,0.0
41,1351,0.0,0.0
42,1373,0.0,0.0
43,1378,0.0,0.0
44,1375,0.0,0.0
45,1392,0.0,0.0
46,1406,0.0,0.0
47,1405,0.0,0.0
48,1404,0.0,0.0
49,1403,0.0,0.0
50,1402,0.0,0.0
51,1401,0.0,0.0
52,1400,0.0,0.0
53,1399,0.0,0.0
54,1398,0.0,0.0
55,1397,0.0,0.0
56,1396,0.0,0.0
57,1395,0.0,0.0
58,1394,0.0,0.0
59,1393,0.0,0.0
60,1391,0.0,0.0
61,1376,0.0,0.0
62,1390,0.0,0.0
63,1389,0.0,0.0
64,1388,0.0,0.0
65,1387,0.0,0.0
66,1386,0.0,0.0
67,1385,0.0,0.0
68,1384,0.0,0.0
69,1383,0.0,0.0
70,1382,0.0,0.0
71,1381,0.0,0.0
72,1380,0.0,0.0
73,1379,0.0,0.0
74,1349,0.0,0.0
75,1377,0.0,0.0
76,1350,0.0,0.0
77,1343,0.0,0.0
78,1348,0.0,0.0
79,1301,0.0,0.0
80,1314,0.0,0.0
81,1313,0.0,0.0
82,1312,0.0,0.0
83,1311,0.0,0.0
84,1310,0.0,0.0
85,1309,0.0,0.0
86,1308,0.0,0.0
87,1307,0.0,0.0
88,1306,0.0,0.0
89,1305,0.0,0.0
90,1304,0.0,0.0
91,1303,0.0,0.0
92,1302,0.0,0.0
93,1300,0.0,0.0
94,1316,0.0,0.0
95,1299,0.0,0.0
96,1298,0.0,0.0
97,1297,0.0,0.0
98,1296,0.0,0.0
99,1295,0.0,0.0
100,1294,0.0,0.0
