rank,feature_idx,coefficient,abs_coefficient
1,1369,1.8443438,1.8443438
2,119,1.1062397,1.1062397
3,691,1.0066174,1.0066174
4,27,0.77186424,0.77186424
5,12,0.6365961,0.6365961
6,49,0.5891568,0.5891568
7,4,0.39749315,0.39749315
8,61,0.36120558,0.36120558
9,3,0.102195285,0.102195285
10,59,0.037359554,0.037359554
11,161,0.032831192,0.032831192
12,3403,0.016595177,0.016595177
13,1367,0.0,0.0
14,1370,0.0,0.0
15,1371,0.0,0.0
16,1372,0.0,0.0
17,1366,0.0,0.0
18,1365,0.0,0.0
19,1373,0.0,0.0
20,1364,0.0,0.0
21,1368,0.0,0.0
22,4095,0.0,0.0
23,1363,0.0,0.0
24,1362,0.0,0.0
25,1375,0.0,0.0
26,1361,0.0,0.0
27,1360,0.0,0.0
28,1359,0.0,0.0
29,1358,0.0,0.0
30,1357,0.0,0.0
31,1356,0.0,0.0
32,1355,0.0,0.0
33,1354,0.0,0.0
34,1353,0.0,0.0
35,1352,0.0,0.0
36,1351,0.0,0.0
37,1350,0.0,0.0
38,1374,0.0,0.0
39,1379,0.0,0.0
40,1376,0.0,0.0
41,1377,0.0,0.0
42,1406,0.0,0.0
43,1405,0.0,0.0
44,1404,0.0,0.0
45,1403,0.0,0.0
46,1402,0.0,0.0
47,1401,0.0,0.0
48,1400,0.0,0.0
49,1399,0.0,0.0
50,1398,0.0,0.0
51,1397,0.0,0.0
52,1396,0.0,0.0
53,1395,0.0,0.0
54,1394,0.0,0.0
55,1393,0.0,0.0
56,1392,0.0,0.0
57,1391,0.0,0.0
58,1390,0.0,0.0
59,1389,0.0,0.0
60,1388,0.0,0.0
61,1387,0.0,0.0
62,1386,0.0,0.0
63,1385,0.0,0.0
64,1384,0.0,0.0
65,1383,0.0,0.0
66,1382,0.0,0.0
67,1381,0.0,0.0
68,1380,0.0,0.0
69,1348,0.0,0.0
70,1378,0.0,0.0
71,1349,0.0,0.0
72,1344,0.0,0.0
73,1347,0.0,0.0
74,1346,0.0,0.0
75,1313,0.0,0.0
76,1312,0.0,0.0
77,1311,0.0,0.0
78,1310,0.0,0.0
79,1309,0.0,0.0
80,1308,0.0,0.0
81,1307,0.0,0.0
82,1306,0.0,0.0
83,1305,0.0,0.0
84,1304,0.0,0.0
85,1303,0.0,0.0
86,1302,0.0,0.0
87,1301,0.0,0.0
88,1300,0.0,0.0
89,1299,0.0,0.0
90,1298,0.0,0.0
91,1297,0.0,0.0
92,1296,0.0,0.0
93,1295,0.0,0.0
94,1294,0.0,0.0
95,1293,0.0,0.0
96,1292,0.0,0.0
97,1291,0.0,0.0
98,1290,0.0,0.0
99,1289,0.0,0.0
100,1288,0.0,0.0
