rank,feature_idx,coefficient,abs_coefficient
1,118,4.7717338,4.7717338
2,911,4.6245627,4.6245627
3,71,3.847796,3.847796
4,27,3.5954854,3.5954854
5,90,3.5110905,3.5110905
6,99,3.2229578,3.2229578
7,1352,2.678252,2.678252
8,109,2.6022317,2.6022317
9,108,2.521838,2.521838
10,396,2.4094427,2.4094427
11,6444,2.3397229,2.3397229
12,111,2.2667038,2.2667038
13,443,2.1675355,2.1675355
14,23,1.860763,1.860763
15,61,1.7936462,1.7936462
16,142,1.6376612,1.6376612
17,5939,1.6039642,1.6039642
18,295,1.5749617,1.5749617
19,63,1.5708597,1.5708597
20,1303,1.5047158,1.5047158
21,93,1.4588071,1.4588071
22,94,1.4506109,1.4506109
23,511,1.4327747,1.4327747
24,1149,1.4146048,1.4146048
25,38,1.4092181,1.4092181
26,718,1.3362548,1.3362548
27,8,1.3126824,1.3126824
28,68,1.3026406,1.3026406
29,1371,1.2109565,1.2109565
30,1927,1.2071791,1.2071791
31,629,1.1799227,1.1799227
32,131,1.1721815,1.1721815
33,25,1.0899299,1.0899299
34,35,1.0848571,1.0848571
35,104,0.94062996,0.94062996
36,21,0.90824753,0.90824753
37,66,0.9081287,0.9081287
38,1092,0.8871277,0.8871277
39,0,0.86440814,0.86440814
40,32,0.86269987,0.86269987
41,3,0.80290717,0.80290717
42,10,0.7891349,0.7891349
43,144,0.78356,0.78356
44,75,0.7564372,0.7564372
45,675,0.74002546,0.74002546
46,1078,0.70987386,0.70987386
47,1918,0.6469455,0.6469455
48,305,0.6445845,0.6445845
49,440,0.6337785,0.6337785
50,20,0.5908971,0.5908971
51,26,0.5869931,0.5869931
52,113,0.583373,0.583373
53,215,0.56707096,0.56707096
54,50,0.5497564,0.5497564
55,995,0.54728043,0.54728043
56,83,0.5350121,0.5350121
57,85,0.5109288,0.5109288
58,123,0.49753284,0.49753284
59,332,0.49434406,0.49434406
60,91,0.486459,0.486459
61,1138,0.48362643,0.48362643
62,502,0.4694596,0.4694596
63,161,0.44533712,0.44533712
64,262,0.44503593,0.44503593
65,4667,0.42927647,0.42927647
66,415,0.41685098,0.41685098
67,1,0.4093315,0.4093315
68,124,0.4086267,0.4086267
69,731,0.40158588,0.40158588
70,191,0.3991091,0.3991091
71,97,0.38768268,0.38768268
72,463,0.37102515,0.37102515
73,37,0.36157614,0.36157614
74,36,0.35964713,0.35964713
75,1767,0.3459599,0.3459599
76,2036,0.34483883,0.34483883
77,157,0.34347963,0.34347963
78,1550,0.33635703,0.33635703
79,445,0.3250973,0.3250973
80,42,0.31685892,0.31685892
81,394,0.3143848,0.3143848
82,1153,0.31326842,0.31326842
83,464,0.28734604,0.28734604
84,7,0.27617595,0.27617595
85,516,0.27366415,0.27366415
86,150,0.2685088,0.2685088
87,1533,0.2683441,0.2683441
88,5140,0.26782966,0.26782966
89,31,0.2642906,0.2642906
90,488,0.26299348,0.26299348
91,3514,0.25442144,0.25442144
92,143,0.24275197,0.24275197
93,1599,0.24238801,0.24238801
94,1277,0.23775537,0.23775537
95,79,0.23734245,0.23734245
96,223,0.2332474,0.2332474
97,3302,0.2302381,0.2302381
98,285,0.22952975,0.22952975
99,1178,0.22431074,0.22431074
100,13,0.22162774,0.22162774
