rank,feature_idx,coefficient,abs_coefficient
1,61,13.427513,13.427513
2,109,12.224388,12.224388
3,93,11.615053,11.615053
4,25,10.83718,10.83718
5,71,10.088778,10.088778
6,118,9.181314,9.181314
7,396,7.283105,7.283105
8,75,5.4074187,5.4074187
9,23,5.3774076,5.3774076
10,68,5.2747355,5.2747355
11,63,5.270905,5.270905
12,1918,5.1556945,5.1556945
13,262,5.107314,5.107314
14,32,5.058903,5.058903
15,90,3.62084,3.62084
16,443,3.253603,3.253603
17,378,2.9966218,2.9966218
18,8,2.9948428,2.9948428
19,21,2.826369,2.826369
20,3,2.6905184,2.6905184
21,121,2.5351806,2.5351806
22,1352,2.5300877,2.5300877
23,85,2.4844294,2.4844294
24,415,2.3215296,2.3215296
25,110,2.2191362,2.2191362
26,144,2.1452847,2.1452847
27,995,1.9177039,1.9177039
28,99,1.9009473,1.9009473
29,83,1.7397217,1.7397217
30,477,1.71646,1.71646
31,108,1.6705723,1.6705723
32,76,1.6228107,1.6228107
33,273,1.6125845,1.6125845
34,64,1.5915656,1.5915656
35,22,1.5831354,1.5831354
36,116,1.548455,1.548455
37,142,1.4624407,1.4624407
38,27,1.4157292,1.4157292
39,66,1.3977219,1.3977219
40,3302,1.3848169,1.3848169
41,36,1.342483,1.342483
42,511,1.29864,1.29864
43,1,1.1530361,1.1530361
44,104,1.1520251,1.1520251
45,49,1.1150793,1.1150793
46,369,1.0583866,1.0583866
47,1149,0.9891571,0.9891571
48,10,0.98621595,0.98621595
49,94,0.95606554,0.95606554
50,402,0.9558258,0.9558258
51,305,0.90158474,0.90158474
52,70,0.8549229,0.8549229
53,113,0.81380033,0.81380033
54,20,0.66540796,0.66540796
55,7,0.65942407,0.65942407
56,111,0.63974696,0.63974696
57,38,0.6214668,0.6214668
58,516,0.6208867,0.6208867
59,191,0.5960214,0.5960214
60,175,0.591008,0.591008
61,1277,0.58492374,0.58492374
62,295,0.5748625,0.5748625
63,684,0.55664283,0.55664283
64,949,0.5319065,0.5319065
65,318,0.53124315,0.53124315
66,4810,0.5119547,0.5119547
67,37,0.5092102,0.5092102
68,5576,0.48046637,0.48046637
69,77,0.47700483,0.47700483
70,26,0.4765821,0.4765821
71,1092,0.4704767,0.4704767
72,157,0.45686787,0.45686787
73,1291,0.44996053,0.44996053
74,1303,0.43512073,0.43512073
75,488,0.4212238,0.4212238
76,1078,0.3902916,0.3902916
77,1801,0.38399127,0.38399127
78,718,0.37341493,0.37341493
79,123,0.31996503,0.31996503
80,161,0.31707677,0.31707677
81,237,0.30628258,0.30628258
82,1598,0.29774967,0.29774967
83,1920,0.2901797,0.2901797
84,5813,0.29000053,0.29000053
85,332,0.28477627,0.28477627
86,330,0.2818827,0.2818827
87,324,0.27767125,0.27767125
88,101,0.26450127,0.26450127
89,35,0.25020936,0.25020936
90,846,0.24474461,0.24474461
91,445,0.24295345,0.24295345
92,1881,0.24042384,0.24042384
93,1767,0.22522266,0.22522266
94,431,0.22461018,0.22461018
95,120,0.21559839,0.21559839
96,96,0.19542246,0.19542246
97,356,0.19245823,0.19245823
98,127,0.17987517,0.17987517
99,299,0.16570559,0.16570559
100,408,0.14813472,0.14813472
