rank,feature_idx,coefficient,abs_coefficient
1,294,2.449375,2.449375
2,734,2.4010224,2.4010224
3,831,2.393391,2.393391
4,679,2.1668348,2.1668348
5,792,1.9985207,1.9985207
6,590,1.9903383,1.9903383
7,582,1.9612201,1.9612201
8,284,1.93597,1.93597
9,273,1.9357206,1.9357206
10,138,1.9117168,1.9117168
11,271,1.8888222,1.8888222
12,35,1.8415686,1.8415686
13,990,1.7877136,1.7877136
14,19,1.7855659,1.7855659
15,197,1.7825016,1.7825016
16,926,1.7682629,1.7682629
17,761,1.6913015,1.6913015
18,311,1.6544594,1.6544594
19,821,1.6489681,1.6489681
20,602,1.6443677,1.6443677
21,234,1.6346365,1.6346365
22,83,1.596093,1.596093
23,819,1.5838685,1.5838685
24,235,1.5739366,1.5739366
25,380,1.5659561,1.5659561
26,592,1.5572063,1.5572063
27,452,1.5361948,1.5361948
28,149,1.5349647,1.5349647
29,206,1.5056499,1.5056499
30,511,1.4951353,1.4951353
31,772,1.4786502,1.4786502
32,508,1.4733428,1.4733428
33,986,1.4538045,1.4538045
34,660,1.4453677,1.4453677
35,750,1.4414792,1.4414792
36,907,1.4391031,1.4391031
37,485,1.4367446,1.4367446
38,26,1.4334818,1.4334818
39,955,1.3942837,1.3942837
40,560,1.3856827,1.3856827
41,935,1.3589851,1.3589851
42,706,1.357787,1.357787
43,950,1.3561038,1.3561038
44,141,1.3421203,1.3421203
45,387,1.3372172,1.3372172
46,418,1.3306545,1.3306545
47,808,1.3267448,1.3267448
48,179,1.3263283,1.3263283
49,794,1.323702,1.323702
50,290,1.3119806,1.3119806
51,126,1.3062466,1.3062466
52,700,1.3038722,1.3038722
53,420,1.2950181,1.2950181
54,951,1.2949055,1.2949055
55,684,1.2941722,1.2941722
56,72,1.2866005,1.2866005
57,948,1.2831757,1.2831757
58,391,1.2821542,1.2821542
59,336,1.2798971,1.2798971
60,653,1.2764035,1.2764035
61,737,1.27583,1.27583
62,944,1.2730021,1.2730021
63,839,1.2725335,1.2725335
64,180,1.2680198,1.2680198
65,188,1.2651073,1.2651073
66,50,1.2641739,1.2641739
67,342,1.2611756,1.2611756
68,435,1.2525953,1.2525953
69,524,1.2448977,1.2448977
70,747,1.2412341,1.2412341
71,941,1.236977,1.236977
72,879,1.2353483,1.2353483
73,487,1.234675,1.234675
74,22,1.2339748,1.2339748
75,157,1.2326438,1.2326438
76,561,1.2323099,1.2323099
77,855,1.2294515,1.2294515
78,641,1.2185981,1.2185981
79,858,1.2132317,1.2132317
80,905,1.2081233,1.2081233
81,845,1.2034492,1.2034492
82,478,1.2000444,1.2000444
83,979,1.1948092,1.1948092
84,388,1.1923274,1.1923274
85,680,1.1906548,1.1906548
86,960,1.1848701,1.1848701
87,983,1.1844451,1.1844451
88,201,1.1777307,1.1777307
89,949,1.1748077,1.1748077
90,25,1.1707724,1.1707724
91,917,1.1676321,1.1676321
92,436,1.1631514,1.1631514
93,830,1.1603667,1.1603667
94,880,1.1592332,1.1592332
95,540,1.1580071,1.1580071
96,408,1.1570963,1.1570963
97,518,1.1564006,1.1564006
98,191,1.1554737,1.1554737
99,509,1.1517968,1.1517968
100,263,1.1504292,1.1504292
