rank,feature_idx,coefficient,abs_coefficient
1,449,0.6611794,0.6611794
2,682,0.5936198,0.5936198
3,381,0.58390427,0.58390427
4,817,0.58176875,0.58176875
5,481,0.57884765,0.57884765
6,142,0.56419915,0.56419915
7,759,0.52868813,0.52868813
8,524,0.521757,0.521757
9,254,0.51693517,0.51693517
10,942,0.5146062,0.5146062
11,807,0.51047724,0.51047724
12,620,0.5081674,0.5081674
13,59,0.4866301,0.4866301
14,378,0.47597352,0.47597352
15,754,0.4617102,0.4617102
16,376,0.46091565,0.46091565
17,988,0.45998272,0.45998272
18,596,0.45934296,0.45934296
19,941,0.459317,0.459317
20,532,0.45246854,0.45246854
21,36,0.44468808,0.44468808
22,502,0.4440858,0.4440858
23,956,0.44385824,0.44385824
24,723,0.43493414,0.43493414
25,54,0.43330345,0.43330345
26,289,0.42700705,0.42700705
27,207,0.41811645,0.41811645
28,599,0.41628075,0.41628075
29,567,0.41464213,0.41464213
30,164,0.4119247,0.4119247
31,397,0.4108449,0.4108449
32,525,0.40899655,0.40899655
33,954,0.408904,0.408904
34,752,0.4033271,0.4033271
35,162,0.40275455,0.40275455
36,519,0.4023566,0.4023566
37,43,0.39644787,0.39644787
38,581,0.39562818,0.39562818
39,340,0.39390433,0.39390433
40,112,0.3917879,0.3917879
41,315,0.3892899,0.3892899
42,133,0.38571835,0.38571835
43,337,0.38387337,0.38387337
44,128,0.383306,0.383306
45,486,0.38085976,0.38085976
46,591,0.3804313,0.3804313
47,812,0.37811255,0.37811255
48,492,0.37769905,0.37769905
49,468,0.37764993,0.37764993
50,424,0.37690735,0.37690735
51,844,0.37663388,0.37663388
52,149,0.3736016,0.3736016
53,912,0.37357104,0.37357104
54,30,0.37105763,0.37105763
55,156,0.36980975,0.36980975
56,875,0.36656284,0.36656284
57,692,0.36605325,0.36605325
58,677,0.36478886,0.36478886
59,720,0.36225483,0.36225483
60,510,0.35862815,0.35862815
61,847,0.35688543,0.35688543
62,93,0.35533655,0.35533655
63,561,0.35078093,0.35078093
64,906,0.34935227,0.34935227
65,795,0.3449738,0.3449738
66,693,0.34453556,0.34453556
67,1005,0.3418014,0.3418014
68,1014,0.3407278,0.3407278
69,191,0.3397478,0.3397478
70,863,0.33887854,0.33887854
71,670,0.33829784,0.33829784
72,576,0.3355012,0.3355012
73,234,0.33521417,0.33521417
74,120,0.3332627,0.3332627
75,880,0.332756,0.332756
76,744,0.33017898,0.33017898
77,316,0.32985216,0.32985216
78,528,0.32930985,0.32930985
79,503,0.32817832,0.32817832
80,621,0.32373548,0.32373548
81,882,0.3236625,0.3236625
82,787,0.32326618,0.32326618
83,862,0.3178799,0.3178799
84,331,0.31033137,0.31033137
85,973,0.3088126,0.3088126
86,10,0.308419,0.308419
87,931,0.30765688,0.30765688
88,50,0.30572912,0.30572912
89,124,0.30362734,0.30362734
90,761,0.30361798,0.30361798
91,37,0.30280468,0.30280468
92,115,0.30138758,0.30138758
93,487,0.30118784,0.30118784
94,831,0.30030486,0.30030486
95,18,0.299889,0.299889
96,605,0.2990153,0.2990153
97,344,0.29885423,0.29885423
98,49,0.29700884,0.29700884
99,94,0.29685056,0.29685056
100,840,0.2961244,0.2961244
