rank,feature_idx,coefficient,abs_coefficient
1,116,4.519337,4.519337
2,175,4.5129037,4.5129037
3,329,4.0944743,4.0944743
4,788,3.7667012,3.7667012
5,546,3.712299,3.712299
6,496,3.6484215,3.6484215
7,306,3.5999851,3.5999851
8,1373,3.541764,3.541764
9,72,3.4048314,3.4048314
10,22,3.1144416,3.1144416
11,93,3.065662,3.065662
12,1736,2.9856496,2.9856496
13,477,2.9325824,2.9325824
14,377,2.8534794,2.8534794
15,10,2.6947715,2.6947715
16,946,2.5449798,2.5449798
17,5614,2.403371,2.403371
18,1234,2.38613,2.38613
19,160,2.3681653,2.3681653
20,400,2.3678033,2.3678033
21,1470,2.3575764,2.3575764
22,246,2.353412,2.353412
23,299,2.3359008,2.3359008
24,1622,2.3305666,2.3305666
25,993,2.307909,2.307909
26,265,2.3052545,2.3052545
27,67,2.2986503,2.2986503
28,61,2.2762427,2.2762427
29,301,2.243599,2.243599
30,288,2.2410972,2.2410972
31,1784,2.23468,2.23468
32,62,2.2320247,2.2320247
33,803,2.2188401,2.2188401
34,91,2.1985219,2.1985219
35,391,2.1786895,2.1786895
36,6653,2.1630263,2.1630263
37,213,2.1605263,2.1605263
38,290,2.1587958,2.1587958
39,80,2.1437347,2.1437347
40,109,2.1400208,2.1400208
41,19,2.1287363,2.1287363
42,281,2.1259904,2.1259904
43,31,2.1236465,2.1236465
44,897,2.102364,2.102364
45,354,2.0903304,2.0903304
46,446,2.0696309,2.0696309
47,323,2.0461261,2.0461261
48,251,2.020493,2.020493
49,100,1.9786934,1.9786934
50,111,1.9667736,1.9667736
51,172,1.9438981,1.9438981
52,102,1.942736,1.942736
53,164,1.9359839,1.9359839
54,84,1.9210413,1.9210413
55,462,1.9197769,1.9197769
56,451,1.9120939,1.9120939
57,574,1.8981253,1.8981253
58,1677,1.8688295,1.8688295
59,2292,1.8388554,1.8388554
60,282,1.825389,1.825389
61,441,1.8131036,1.8131036
62,2236,1.7769458,1.7769458
63,21,1.7605728,1.7605728
64,34,1.7499682,1.7499682
65,407,1.7307796,1.7307796
66,398,1.7263205,1.7263205
67,357,1.7204107,1.7204107
68,14,1.7153202,1.7153202
69,9,1.7016894,1.7016894
70,1781,1.6966008,1.6966008
71,2021,1.6899284,1.6899284
72,7881,1.676482,1.676482
73,450,1.6612256,1.6612256
74,126,1.6424482,1.6424482
75,90,1.6294947,1.6294947
76,380,1.6279871,1.6279871
77,455,1.625194,1.625194
78,1962,1.6183766,1.6183766
79,1595,1.5563333,1.5563333
80,1944,1.5423907,1.5423907
81,482,1.5351254,1.5351254
82,47,1.5121285,1.5121285
83,286,1.5101894,1.5101894
84,1249,1.4924695,1.4924695
85,470,1.492442,1.492442
86,11,1.488475,1.488475
87,60,1.4820436,1.4820436
88,1351,1.4798008,1.4798008
89,456,1.4746513,1.4746513
90,1956,1.4673737,1.4673737
91,1945,1.4632485,1.4632485
92,973,1.4609069,1.4609069
93,1079,1.4521908,1.4521908
94,103,1.4509838,1.4509838
95,1276,1.4462279,1.4462279
96,273,1.4306203,1.4306203
97,85,1.4282058,1.4282058
98,394,1.4217955,1.4217955
99,25,1.4195057,1.4195057
100,2003,1.386046,1.386046
