rank,feature_idx,coefficient,abs_coefficient
1,390,8.823086,8.823086
2,76,8.285189,8.285189
3,213,6.3375745,6.3375745
4,369,6.2596693,6.2596693
5,116,5.7618713,5.7618713
6,84,5.738264,5.738264
7,643,5.7203913,5.7203913
8,446,5.62177,5.62177
9,350,5.4045296,5.4045296
10,21,5.186161,5.186161
11,1885,5.1006355,5.1006355
12,1005,5.0754733,5.0754733
13,570,5.006562,5.006562
14,408,4.7874036,4.7874036
15,1992,4.7457714,4.7457714
16,1075,4.5340557,4.5340557
17,22,4.4719005,4.4719005
18,85,4.3545694,4.3545694
19,301,4.3277454,4.3277454
20,1677,4.3227525,4.3227525
21,202,4.233302,4.233302
22,407,4.067545,4.067545
23,1120,3.8564534,3.8564534
24,879,3.7313251,3.7313251
25,67,3.71825,3.71825
26,95,3.716527,3.716527
27,282,3.6682796,3.6682796
28,1351,3.6021779,3.6021779
29,26,3.532877,3.532877
30,111,3.5017605,3.5017605
31,444,3.4830575,3.4830575
32,400,3.365397,3.365397
33,201,3.3484573,3.3484573
34,585,3.3470585,3.3470585
35,365,3.3128924,3.3128924
36,175,3.304626,3.304626
37,353,3.2553513,3.2553513
38,1032,3.2461922,3.2461922
39,1740,3.198791,3.198791
40,100,3.1924574,3.1924574
41,1063,3.183304,3.183304
42,115,3.1337154,3.1337154
43,1591,3.1235306,3.1235306
44,164,3.1117902,3.1117902
45,97,3.082266,3.082266
46,98,3.079903,3.079903
47,15,3.0614915,3.0614915
48,750,3.0467026,3.0467026
49,384,3.046649,3.046649
50,470,3.0316236,3.0316236
51,31,3.0227017,3.0227017
52,102,3.0164242,3.0164242
53,285,2.9330182,2.9330182
54,47,2.8954248,2.8954248
55,399,2.8950882,2.8950882
56,637,2.8669739,2.8669739
57,165,2.8449526,2.8449526
58,44,2.83808,2.83808
59,90,2.7892282,2.7892282
60,288,2.754985,2.754985
61,278,2.7510018,2.7510018
62,974,2.736734,2.736734
63,18,2.7034209,2.7034209
64,348,2.6883721,2.6883721
65,1221,2.6665115,2.6665115
66,1019,2.6607442,2.6607442
67,1163,2.638778,2.638778
68,993,2.6225424,2.6225424
69,397,2.6217375,2.6217375
70,493,2.6147494,2.6147494
71,62,2.5890076,2.5890076
72,1373,2.5298429,2.5298429
73,9,2.5262814,2.5262814
74,177,2.5050504,2.5050504
75,354,2.4582448,2.4582448
76,151,2.4338622,2.4338622
77,477,2.4233103,2.4233103
78,2,2.4231422,2.4231422
79,484,2.4176195,2.4176195
80,1095,2.382675,2.382675
81,281,2.375255,2.375255
82,185,2.366072,2.366072
83,459,2.3516097,2.3516097
84,99,2.3245978,2.3245978
85,1177,2.322601,2.322601
86,483,2.302052,2.302052
87,451,2.2787378,2.2787378
88,897,2.2758331,2.2758331
89,34,2.2720056,2.2720056
90,1759,2.2598722,2.2598722
91,290,2.2436633,2.2436633
92,803,2.2272544,2.2272544
93,65,2.2153645,2.2153645
94,91,2.2035398,2.2035398
95,96,2.184698,2.184698
96,83,2.1692693,2.1692693
97,1962,2.1666512,2.1666512
98,108,2.1545262,2.1545262
99,357,2.1304314,2.1304314
100,103,2.1035995,2.1035995
