rank,feature_idx,coefficient,abs_coefficient
1,23,7.64971,7.64971
2,49,6.572368,6.572368
3,161,5.8941646,5.8941646
4,105,4.8915057,4.8915057
5,392,4.7326636,4.7326636
6,1227,4.002458,4.002458
7,10,3.8912113,3.8912113
8,1053,3.7509792,3.7509792
9,381,3.5563881,3.5563881
10,288,2.8644407,2.8644407
11,106,2.7823846,2.7823846
12,29,2.6357377,2.6357377
13,37,2.6344645,2.6344645
14,1523,2.5661273,2.5661273
15,79,2.3499827,2.3499827
16,3,2.2538793,2.2538793
17,17,2.221271,2.221271
18,277,2.2169363,2.2169363
19,532,2.1439016,2.1439016
20,334,1.9527524,1.9527524
21,1575,1.8543116,1.8543116
22,108,1.805169,1.805169
23,38,1.7941359,1.7941359
24,378,1.7713441,1.7713441
25,296,1.7005627,1.7005627
26,411,1.6870158,1.6870158
27,1282,1.6191692,1.6191692
28,1695,1.6039025,1.6039025
29,290,1.5938457,1.5938457
30,203,1.4919612,1.4919612
31,213,1.4016067,1.4016067
32,273,1.3803846,1.3803846
33,84,1.3617872,1.3617872
34,231,1.3478554,1.3478554
35,160,1.3355416,1.3355416
36,1100,1.265836,1.265836
37,307,1.2563584,1.2563584
38,503,1.2515494,1.2515494
39,482,1.2423025,1.2423025
40,404,1.2323533,1.2323533
41,61,1.21924,1.21924
42,58,1.2127322,1.2127322
43,147,1.2123762,1.2123762
44,173,1.2067215,1.2067215
45,132,1.1523379,1.1523379
46,2297,1.1476148,1.1476148
47,116,1.1452014,1.1452014
48,55,1.1148462,1.1148462
49,294,1.0912911,1.0912911
50,113,1.0878443,1.0878443
51,227,1.077654,1.077654
52,86,1.0707332,1.0707332
53,88,1.0533752,1.0533752
54,18,1.0470504,1.0470504
55,33,1.036762,1.036762
56,53,1.0307395,1.0307395
57,60,1.0303043,1.0303043
58,35,0.97840106,0.97840106
59,13,0.97520494,0.97520494
60,1772,0.97204864,0.97204864
61,36,0.9559881,0.9559881
62,112,0.9358961,0.9358961
63,125,0.9354554,0.9354554
64,846,0.93420935,0.93420935
65,101,0.91493255,0.91493255
66,80,0.90735966,0.90735966
67,364,0.9037375,0.9037375
68,1928,0.8862584,0.8862584
69,57,0.8833812,0.8833812
70,97,0.8795919,0.8795919
71,127,0.8774753,0.8774753
72,6,0.8735657,0.8735657
73,452,0.8646306,0.8646306
74,509,0.86242497,0.86242497
75,1068,0.85003525,0.85003525
76,1913,0.8469969,0.8469969
77,14,0.8279928,0.8279928
78,345,0.81483656,0.81483656
79,562,0.8081474,0.8081474
80,27,0.7937843,0.7937843
81,110,0.78845364,0.78845364
82,467,0.78822845,0.78822845
83,91,0.7779099,0.7779099
84,99,0.764485,0.764485
85,68,0.7519698,0.7519698
86,1333,0.7423339,0.7423339
87,95,0.73846924,0.73846924
88,484,0.73292416,0.73292416
89,471,0.73117036,0.73117036
90,449,0.7264882,0.7264882
91,78,0.7232934,0.7232934
92,8,0.72058046,0.72058046
93,248,0.71330297,0.71330297
94,285,0.7041017,0.7041017
95,21,0.6788446,0.6788446
96,787,0.66559285,0.66559285
97,56,0.6621309,0.6621309
98,1757,0.6533993,0.6533993
99,271,0.6476192,0.6476192
100,103,0.63993293,0.63993293
