rank,feature_idx,coefficient,abs_coefficient
1,403,7.0964203,7.0964203
2,159,6.520505,6.520505
3,28,6.152538,6.152538
4,1207,4.8776703,4.8776703
5,433,4.705125,4.705125
6,82,4.5393915,4.5393915
7,1657,4.4074106,4.4074106
8,836,4.3084574,4.3084574
9,187,4.195733,4.195733
10,1978,4.1917067,4.1917067
11,425,4.150297,4.150297
12,153,4.1451535,4.1451535
13,3,4.1414976,4.1414976
14,1470,4.002034,4.002034
15,73,3.8528705,3.8528705
16,47,3.8237233,3.8237233
17,613,3.8117828,3.8117828
18,228,3.8090622,3.8090622
19,192,3.7716346,3.7716346
20,456,3.7588592,3.7588592
21,779,3.6515656,3.6515656
22,550,3.579578,3.579578
23,23,3.5754082,3.5754082
24,243,3.557441,3.557441
25,372,3.5127633,3.5127633
26,517,3.4407067,3.4407067
27,1343,3.436554,3.436554
28,69,3.3579705,3.3579705
29,302,3.3363445,3.3363445
30,138,3.2718709,3.2718709
31,404,3.2216785,3.2216785
32,248,3.2039447,3.2039447
33,217,3.1987925,3.1987925
34,1679,3.1970358,3.1970358
35,1991,3.1803863,3.1803863
36,1858,3.0974565,3.0974565
37,118,3.0328884,3.0328884
38,257,3.030602,3.030602
39,2047,2.9745078,2.9745078
40,1448,2.9544597,2.9544597
41,506,2.927222,2.927222
42,483,2.8953552,2.8953552
43,150,2.878003,2.878003
44,214,2.8509583,2.8509583
45,287,2.8409603,2.8409603
46,155,2.7903364,2.7903364
47,76,2.7884824,2.7884824
48,1974,2.774316,2.774316
49,376,2.7543485,2.7543485
50,422,2.7454953,2.7454953
51,1912,2.7310314,2.7310314
52,174,2.7270143,2.7270143
53,1152,2.723519,2.723519
54,473,2.7218552,2.7218552
55,401,2.7184424,2.7184424
56,115,2.7172303,2.7172303
57,17,2.6974587,2.6974587
58,436,2.696614,2.696614
59,107,2.6952524,2.6952524
60,1001,2.6791189,2.6791189
61,508,2.671208,2.671208
62,180,2.6674132,2.6674132
63,90,2.6254673,2.6254673
64,1430,2.5985281,2.5985281
65,38,2.593166,2.593166
66,11,2.5783148,2.5783148
67,2042,2.5189323,2.5189323
68,32,2.4547489,2.4547489
69,1558,2.444028,2.444028
70,105,2.4098797,2.4098797
71,443,2.409432,2.409432
72,5678,2.3753211,2.3753211
73,1935,2.369675,2.369675
74,345,2.357963,2.357963
75,1478,2.329353,2.329353
76,137,2.3253632,2.3253632
77,303,2.3076327,2.3076327
78,1330,2.3026545,2.3026545
79,573,2.2943716,2.2943716
80,1663,2.275364,2.275364
81,33,2.2746763,2.2746763
82,1629,2.2569885,2.2569885
83,477,2.2549465,2.2549465
84,1559,2.2327173,2.2327173
85,1168,2.2265058,2.2265058
86,116,2.2129984,2.2129984
87,206,2.2015457,2.2015457
88,91,2.174733,2.174733
89,50,2.1435072,2.1435072
90,1555,2.1310756,2.1310756
91,499,2.1290135,2.1290135
92,75,2.1287575,2.1287575
93,1616,2.1257024,2.1257024
94,1521,2.1194568,2.1194568
95,406,2.1191156,2.1191156
96,61,2.1153138,2.1153138
97,55,2.1115582,2.1115582
98,1146,2.1090827,2.1090827
99,1828,2.0816503,2.0816503
100,898,2.0735712,2.0735712
