rank,feature_idx,coefficient,abs_coefficient
1,38,9.0230875,9.0230875
2,76,7.607886,7.607886
3,47,7.276334,7.276334
4,276,5.9545393,5.9545393
5,403,5.9258156,5.9258156
6,422,5.726429,5.726429
7,372,5.6435933,5.6435933
8,159,5.5737767,5.5737767
9,214,4.809241,4.809241
10,69,4.53786,4.53786
11,358,4.4808784,4.4808784
12,1110,4.4646983,4.4646983
13,138,4.4505553,4.4505553
14,150,4.374441,4.374441
15,303,4.3379316,4.3379316
16,456,4.3313656,4.3313656
17,287,4.226737,4.226737
18,153,4.067674,4.067674
19,118,3.9592574,3.9592574
20,508,3.9212334,3.9212334
21,1521,3.8883753,3.8883753
22,260,3.8605504,3.8605504
23,28,3.842601,3.842601
24,59,3.6679177,3.6679177
25,406,3.6137223,3.6137223
26,425,3.5768058,3.5768058
27,419,3.4447408,3.4447408
28,217,3.319656,3.319656
29,1915,3.3184485,3.3184485
30,117,3.2952018,3.2952018
31,761,3.236227,3.236227
32,302,3.1900003,3.1900003
33,234,3.1670213,3.1670213
34,1991,3.1578102,3.1578102
35,7079,3.1397672,3.1397672
36,830,3.1277206,3.1277206
37,170,3.119679,3.119679
38,116,3.0572512,3.0572512
39,1907,3.0375962,3.0375962
40,22,3.0100436,3.0100436
41,704,2.9125094,2.9125094
42,845,2.8846116,2.8846116
43,416,2.869841,2.869841
44,477,2.8686073,2.8686073
45,107,2.856785,2.856785
46,1157,2.8388314,2.8388314
47,247,2.8252664,2.8252664
48,1668,2.8047059,2.8047059
49,33,2.7784185,2.7784185
50,483,2.776319,2.776319
51,1978,2.768508,2.768508
52,779,2.7418563,2.7418563
53,82,2.7217813,2.7217813
54,1797,2.699018,2.699018
55,178,2.643283,2.643283
56,216,2.6267407,2.6267407
57,152,2.6136522,2.6136522
58,1080,2.5777493,2.5777493
59,90,2.5489368,2.5489368
60,89,2.541013,2.541013
61,436,2.528199,2.528199
62,893,2.5266602,2.5266602
63,332,2.5017822,2.5017822
64,99,2.4837842,2.4837842
65,486,2.4818387,2.4818387
66,339,2.4761944,2.4761944
67,393,2.4641263,2.4641263
68,374,2.431643,2.431643
69,1884,2.4256272,2.4256272
70,1497,2.4050565,2.4050565
71,105,2.378768,2.378768
72,1410,2.3701494,2.3701494
73,1812,2.3450038,2.3450038
74,248,2.328563,2.328563
75,613,2.2908812,2.2908812
76,1706,2.2813473,2.2813473
77,55,2.2555892,2.2555892
78,14,2.2342608,2.2342608
79,1355,2.2253003,2.2253003
80,1496,2.183587,2.183587
81,468,2.1769133,2.1769133
82,30,2.144384,2.144384
83,48,2.1364005,2.1364005
84,433,2.1186662,2.1186662
85,1146,2.1147556,2.1147556
86,224,2.1124244,2.1124244
87,1113,2.0899432,2.0899432
88,1603,2.0877461,2.0877461
89,197,2.045683,2.045683
90,553,2.0363538,2.0363538
91,87,1.9934714,1.9934714
92,376,1.9722831,1.9722831
93,1715,1.9637678,1.9637678
94,370,1.9625047,1.9625047
95,1153,1.9489706,1.9489706
96,65,1.9431062,1.9431062
97,515,1.9382806,1.9382806
98,1083,1.9375746,1.9375746
99,15,1.919064,1.919064
100,68,1.909867,1.909867
