rank,feature_idx,coefficient,abs_coefficient
1,216,38.114788,38.114788
2,92,31.276037,31.276037
3,2,31.014389,31.014389
4,52,28.397108,28.397108
5,450,28.029922,28.029922
6,1497,27.679474,27.679474
7,427,25.284964,25.284964
8,632,23.355646,23.355646
9,408,22.570786,22.570786
10,541,21.896324,21.896324
11,70,20.458355,20.458355
12,435,20.154158,20.154158
13,311,20.113039,20.113039
14,154,19.549881,19.549881
15,494,19.484354,19.484354
16,16,19.339472,19.339472
17,1466,19.147568,19.147568
18,733,18.611956,18.611956
19,43,18.436747,18.436747
20,822,18.347795,18.347795
21,44,17.949339,17.949339
22,310,17.818676,17.818676
23,19,17.80141,17.80141
24,1437,17.60258,17.60258
25,25,17.311644,17.311644
26,1268,16.763527,16.763527
27,1334,16.45305,16.45305
28,262,16.336634,16.336634
29,1950,16.207033,16.207033
30,958,16.189184,16.189184
31,35,15.983228,15.983228
32,280,15.749875,15.749875
33,403,15.564906,15.564906
34,366,14.645574,14.645574
35,231,14.48906,14.48906
36,951,14.353997,14.353997
37,1138,14.141437,14.141437
38,550,14.11465,14.11465
39,133,14.0773,14.0773
40,76,13.923926,13.923926
41,298,13.869493,13.869493
42,1386,13.273735,13.273735
43,212,12.731164,12.731164
44,214,12.612762,12.612762
45,418,12.511456,12.511456
46,54,12.441094,12.441094
47,261,12.431191,12.431191
48,1428,12.388073,12.388073
49,1164,12.228321,12.228321
50,121,12.172082,12.172082
51,861,12.1094885,12.1094885
52,161,12.083346,12.083346
53,805,12.031241,12.031241
54,1689,11.993392,11.993392
55,360,11.983134,11.983134
56,2589,11.974807,11.974807
57,376,11.9655485,11.9655485
58,388,11.920921,11.920921
59,382,11.774348,11.774348
60,876,11.595586,11.595586
61,1559,11.460754,11.460754
62,640,11.447976,11.447976
63,1288,11.352832,11.352832
64,2035,11.25998,11.25998
65,9,11.176362,11.176362
66,1166,11.089837,11.089837
67,63,10.94115,10.94115
68,1337,10.911578,10.911578
69,173,10.705525,10.705525
70,407,10.687221,10.687221
71,26,10.586087,10.586087
72,1540,10.543195,10.543195
73,1430,10.499746,10.499746
74,820,10.446057,10.446057
75,182,10.333332,10.333332
76,20,10.329095,10.329095
77,6322,10.27178,10.27178
78,891,10.110541,10.110541
79,921,10.09516,10.09516
80,1534,10.034686,10.034686
81,4562,9.987088,9.987088
82,2014,9.924496,9.924496
83,1096,9.901602,9.901602
84,206,9.828198,9.828198
85,3563,9.800092,9.800092
86,430,9.769673,9.769673
87,45,9.750674,9.750674
88,1419,9.705517,9.705517
89,1006,9.643507,9.643507
90,200,9.53497,9.53497
91,1764,9.514249,9.514249
92,779,9.400153,9.400153
93,203,9.376535,9.376535
94,1666,9.248761,9.248761
95,8155,9.1374855,9.1374855
96,1948,9.08009,9.08009
97,149,9.077029,9.077029
98,744,9.058224,9.058224
99,75,8.9889,8.9889
100,1480,8.981609,8.981609
