rank,feature_idx,coefficient,abs_coefficient
1,848,-3.3557363,3.3557363
2,218,3.153174,3.153174
3,37,-3.1479685,3.1479685
4,70,3.1191244,3.1191244
5,493,3.0119185,3.0119185
6,234,2.8830562,2.8830562
7,544,2.3897932,2.3897932
8,871,2.3665872,2.3665872
9,262,-2.3623245,2.3623245
10,23,-2.3322816,2.3322816
11,104,-2.1943934,2.1943934
12,373,2.172676,2.172676
13,661,-2.1510146,2.1510146
14,944,-2.133631,2.133631
15,510,-1.9336085,1.9336085
16,357,-1.9009423,1.9009423
17,330,1.8930345,1.8930345
18,824,-1.8453315,1.8453315
19,635,1.8360689,1.8360689
20,674,-1.8348184,1.8348184
21,245,1.8296611,1.8296611
22,51,1.8112667,1.8112667
23,704,1.7894022,1.7894022
24,622,-1.7748293,1.7748293
25,219,-1.7705524,1.7705524
26,773,1.7490687,1.7490687
27,837,1.7446734,1.7446734
28,69,1.7348297,1.7348297
29,657,-1.7247539,1.7247539
30,783,1.7152299,1.7152299
31,694,-1.7039624,1.7039624
32,703,-1.6849602,1.6849602
33,922,-1.677287,1.677287
34,353,-1.669005,1.669005
35,88,-1.6685205,1.6685205
36,857,1.6674042,1.6674042
37,924,1.6393404,1.6393404
38,964,1.6336906,1.6336906
39,739,1.6336489,1.6336489
40,232,1.6248825,1.6248825
41,793,-1.613015,1.613015
42,795,1.5943484,1.5943484
43,192,1.5940949,1.5940949
44,728,1.5937284,1.5937284
45,150,1.5874025,1.5874025
46,484,1.5866989,1.5866989
47,717,1.5864078,1.5864078
48,521,1.5848364,1.5848364
49,258,-1.5762957,1.5762957
50,963,-1.5756598,1.5756598
51,273,1.5736661,1.5736661
52,121,-1.5676023,1.5676023
53,92,1.565961,1.565961
54,1012,1.5512956,1.5512956
55,471,-1.5369896,1.5369896
56,289,-1.5328664,1.5328664
57,785,1.5203598,1.5203598
58,946,-1.5156312,1.5156312
59,168,-1.5153064,1.5153064
60,206,-1.5100337,1.5100337
61,791,-1.5049956,1.5049956
62,467,-1.4876281,1.4876281
63,640,1.4864655,1.4864655
64,464,1.4669709,1.4669709
65,466,-1.4663752,1.4663752
66,540,-1.4456635,1.4456635
67,266,1.4455181,1.4455181
68,806,1.4363632,1.4363632
69,886,1.4071591,1.4071591
70,766,1.3982874,1.3982874
71,200,1.3893272,1.3893272
72,376,-1.3887525,1.3887525
73,96,1.3867359,1.3867359
74,113,-1.3793457,1.3793457
75,501,1.3697914,1.3697914
76,602,-1.3607993,1.3607993
77,328,-1.3584409,1.3584409
78,474,1.3530917,1.3530917
79,712,-1.352113,1.352113
80,196,-1.351126,1.351126
81,314,-1.350897,1.350897
82,970,-1.3505278,1.3505278
83,975,1.3500215,1.3500215
84,332,1.3452828,1.3452828
85,367,-1.3417407,1.3417407
86,620,1.3385377,1.3385377
87,546,-1.3278908,1.3278908
88,660,-1.3238513,1.3238513
89,705,-1.3226033,1.3226033
90,607,1.3223834,1.3223834
91,394,-1.3189273,1.3189273
92,384,-1.3135368,1.3135368
93,173,1.3108988,1.3108988
94,571,-1.3073549,1.3073549
95,834,-1.301924,1.301924
96,784,-1.3017476,1.3017476
97,365,-1.2968745,1.2968745
98,695,1.2950451,1.2950451
99,343,-1.288953,1.288953
100,629,1.2887666,1.2887666
