rank,feature_idx,coefficient,abs_coefficient
1,47,4.0146933,4.0146933
2,18,3.7983303,3.7983303
3,129,3.6769028,3.6769028
4,119,3.440382,3.440382
5,138,2.9791546,2.9791546
6,40,2.5249536,2.5249536
7,84,2.3496351,2.3496351
8,105,2.2097042,2.2097042
9,198,2.1811562,2.1811562
10,942,2.158761,2.158761
11,223,2.1293356,2.1293356
12,112,2.0986557,2.0986557
13,113,2.0703735,2.0703735
14,303,2.0681505,2.0681505
15,13,2.0388947,2.0388947
16,466,2.0240126,2.0240126
17,12,1.9212917,1.9212917
18,75,1.8905803,1.8905803
19,327,1.8582348,1.8582348
20,99,1.7856547,1.7856547
21,93,1.7544321,1.7544321
22,229,1.70833,1.70833
23,1,1.705556,1.705556
24,122,1.7018882,1.7018882
25,27,1.6850978,1.6850978
26,467,1.6758076,1.6758076
27,20,1.6224284,1.6224284
28,65,1.5649658,1.5649658
29,38,1.4658817,1.4658817
30,134,1.4383531,1.4383531
31,173,1.4165245,1.4165245
32,266,1.4090961,1.4090961
33,302,1.4076768,1.4076768
34,563,1.4035183,1.4035183
35,189,1.3881701,1.3881701
36,72,1.368797,1.368797
37,417,1.2718064,1.2718064
38,60,1.266854,1.266854
39,42,1.2417322,1.2417322
40,1713,1.2250473,1.2250473
41,258,1.224302,1.224302
42,216,1.2179507,1.2179507
43,8,1.196548,1.196548
44,3,1.193727,1.193727
45,9,1.1717297,1.1717297
46,549,1.153607,1.153607
47,335,1.1478077,1.1478077
48,46,1.1012608,1.1012608
49,64,1.0796913,1.0796913
50,244,1.0598191,1.0598191
51,2006,1.0459868,1.0459868
52,276,1.0444506,1.0444506
53,26,1.0402149,1.0402149
54,0,1.0155572,1.0155572
55,1877,1.0108266,1.0108266
56,837,1.0001148,1.0001148
57,78,0.998951,0.998951
58,175,0.98698634,0.98698634
59,58,0.97931033,0.97931033
60,127,0.9731576,0.9731576
61,1425,0.9650569,0.9650569
62,379,0.96492845,0.96492845
63,359,0.95937556,0.95937556
64,34,0.92523545,0.92523545
65,16,0.9236455,0.9236455
66,1187,0.9211462,0.9211462
67,36,0.89797544,0.89797544
68,83,0.86590046,0.86590046
69,441,0.86169386,0.86169386
70,22,0.84190005,0.84190005
71,218,0.83456725,0.83456725
72,66,0.81490564,0.81490564
73,328,0.7956225,0.7956225
74,6,0.7896183,0.7896183
75,101,0.7881086,0.7881086
76,98,0.77878046,0.77878046
77,62,0.7779607,0.7779607
78,85,0.77452946,0.77452946
79,61,0.75854176,0.75854176
80,508,0.75529927,0.75529927
81,407,0.7509994,0.7509994
82,107,0.7443602,0.7443602
83,1614,0.7178468,0.7178468
84,217,0.71500134,0.71500134
85,67,0.7136921,0.7136921
86,32,0.7031906,0.7031906
87,120,0.6983537,0.6983537
88,156,0.69210464,0.69210464
89,318,0.691081,0.691081
90,1451,0.6821635,0.6821635
91,397,0.6684236,0.6684236
92,378,0.6666456,0.6666456
93,140,0.6632912,0.6632912
94,1687,0.65510935,0.65510935
95,495,0.64626867,0.64626867
96,1608,0.6447125,0.6447125
97,59,0.6367031,0.6367031
98,94,0.6314387,0.6314387
99,10,0.6253305,0.6253305
100,394,0.6152663,0.6152663
