rank,feature_idx,coefficient,abs_coefficient
1,93,5.219533,5.219533
2,96,4.5768347,4.5768347
3,292,4.3505883,4.3505883
4,79,4.2919855,4.2919855
5,34,4.1377172,4.1377172
6,200,4.0553703,4.0553703
7,168,4.050337,4.050337
8,54,4.010638,4.010638
9,87,4.001112,4.001112
10,509,3.9746928,3.9746928
11,17,3.798689,3.798689
12,20,3.6964147,3.6964147
13,21,3.5995312,3.5995312
14,73,3.5156753,3.5156753
15,1930,3.3891792,3.3891792
16,214,3.3699286,3.3699286
17,450,3.258556,3.258556
18,1685,3.1502647,3.1502647
19,286,3.0282714,3.0282714
20,234,3.0199738,3.0199738
21,154,3.003502,3.003502
22,8,3.0016787,3.0016787
23,133,2.9997103,2.9997103
24,46,2.985419,2.985419
25,351,2.949187,2.949187
26,53,2.90987,2.90987
27,120,2.8196368,2.8196368
28,52,2.8162029,2.8162029
29,140,2.7914565,2.7914565
30,69,2.7907317,2.7907317
31,101,2.724963,2.724963
32,303,2.709512,2.709512
33,425,2.6848583,2.6848583
34,500,2.669779,2.669779
35,239,2.6630216,2.6630216
36,399,2.6626484,2.6626484
37,327,2.6308758,2.6308758
38,107,2.6187038,2.6187038
39,177,2.5985827,2.5985827
40,57,2.5736027,2.5736027
41,110,2.5331035,2.5331035
42,176,2.52936,2.52936
43,88,2.5284483,2.5284483
44,1259,2.5273583,2.5273583
45,1105,2.5189095,2.5189095
46,12,2.5138588,2.5138588
47,104,2.49522,2.49522
48,1756,2.4762976,2.4762976
49,19,2.4465451,2.4465451
50,470,2.3953605,2.3953605
51,406,2.3561304,2.3561304
52,37,2.3538876,2.3538876
53,122,2.3026543,2.3026543
54,39,2.3025746,2.3025746
55,266,2.3016722,2.3016722
56,2006,2.297128,2.297128
57,121,2.2617154,2.2617154
58,1717,2.2272985,2.2272985
59,442,2.2271166,2.2271166
60,30,2.2111678,2.2111678
61,1184,2.211006,2.211006
62,1168,2.2018774,2.2018774
63,293,2.1918585,2.1918585
64,1847,2.1815898,2.1815898
65,62,2.155458,2.155458
66,5,2.1386857,2.1386857
67,282,2.1342688,2.1342688
68,958,2.131018,2.131018
69,878,2.117186,2.117186
70,125,2.1005948,2.1005948
71,82,2.0893507,2.0893507
72,1285,2.0890288,2.0890288
73,11,2.087036,2.087036
74,284,2.0843723,2.0843723
75,228,2.0529246,2.0529246
76,159,2.0527244,2.0527244
77,43,2.0429823,2.0429823
78,60,2.0300753,2.0300753
79,252,2.0297847,2.0297847
80,127,2.0294845,2.0294845
81,91,2.0230308,2.0230308
82,80,2.0087934,2.0087934
83,1952,2.0070767,2.0070767
84,402,1.9847099,1.9847099
85,1306,1.964908,1.964908
86,25,1.9639759,1.9639759
87,237,1.9559263,1.9559263
88,98,1.9512743,1.9512743
89,479,1.9508619,1.9508619
90,15,1.9448408,1.9448408
91,97,1.9414692,1.9414692
92,339,1.9288493,1.9288493
93,146,1.9196818,1.9196818
94,478,1.8873459,1.8873459
95,113,1.8766495,1.8766495
96,730,1.8762373,1.8762373
97,9,1.867996,1.867996
98,1067,1.8659004,1.8659004
99,134,1.8533465,1.8533465
100,2032,1.8528653,1.8528653
