rank,feature_idx,coefficient,abs_coefficient
1,849,-5.660001,5.660001
2,848,3.9369006,3.9369006
3,245,-3.2013874,3.2013874
4,361,3.1769829,3.1769829
5,425,3.0749018,3.0749018
6,140,2.9964898,2.9964898
7,788,2.8212903,2.8212903
8,440,2.7502687,2.7502687
9,265,2.71165,2.71165
10,178,-2.6417475,2.6417475
11,136,2.4873924,2.4873924
12,570,2.448471,2.448471
13,593,2.4200556,2.4200556
14,21,2.400611,2.400611
15,505,-2.3949673,2.3949673
16,264,-2.3812368,2.3812368
17,101,-2.3557613,2.3557613
18,781,-2.3379254,2.3379254
19,766,2.3285444,2.3285444
20,792,-2.3241613,2.3241613
21,487,-2.2925305,2.2925305
22,249,-2.275128,2.275128
23,15,-2.2511656,2.2511656
24,183,2.1811852,2.1811852
25,575,-2.1712863,2.1712863
26,315,-2.092748,2.092748
27,635,2.072217,2.072217
28,330,1.9877062,1.9877062
29,727,-1.977475,1.977475
30,851,1.970807,1.970807
31,107,1.957926,1.957926
32,33,-1.9445055,1.9445055
33,47,-1.9394469,1.9394469
34,883,1.8986937,1.8986937
35,376,1.8859957,1.8859957
36,171,-1.8667815,1.8667815
37,324,1.859387,1.859387
38,537,-1.8502163,1.8502163
39,45,1.810614,1.810614
40,867,-1.7998565,1.7998565
41,447,1.7766815,1.7766815
42,802,-1.7747182,1.7747182
43,145,-1.7721035,1.7721035
44,558,-1.7681991,1.7681991
45,749,-1.7648685,1.7648685
46,224,-1.7632582,1.7632582
47,506,1.7590885,1.7590885
48,103,1.7550713,1.7550713
49,806,1.7430941,1.7430941
50,56,1.7229446,1.7229446
51,610,-1.7201467,1.7201467
52,871,-1.711957,1.711957
53,242,-1.7058064,1.7058064
54,885,-1.679253,1.679253
55,203,-1.672178,1.672178
56,870,1.6716032,1.6716032
57,295,-1.6670166,1.6670166
58,200,-1.658119,1.658119
59,177,1.6552261,1.6552261
60,723,-1.6429713,1.6429713
61,768,1.6420509,1.6420509
62,898,1.6390066,1.6390066
63,277,1.6337998,1.6337998
64,396,-1.6235874,1.6235874
65,375,-1.6233866,1.6233866
66,821,1.6141002,1.6141002
67,843,1.6139289,1.6139289
68,671,-1.6106414,1.6106414
69,840,-1.5973326,1.5973326
70,217,-1.5958161,1.5958161
71,4,1.5954106,1.5954106
72,276,-1.5857748,1.5857748
73,556,1.582736,1.582736
74,80,1.5808555,1.5808555
75,449,-1.5785142,1.5785142
76,446,-1.5678382,1.5678382
77,371,1.565067,1.565067
78,756,1.5566177,1.5566177
79,609,-1.5440667,1.5440667
80,501,-1.4996804,1.4996804
81,382,-1.4966908,1.4966908
82,443,1.4834114,1.4834114
83,106,-1.4682976,1.4682976
84,595,-1.4668592,1.4668592
85,384,1.453589,1.453589
86,322,1.449208,1.449208
87,444,1.4418875,1.4418875
88,793,1.4398344,1.4398344
89,631,1.4188538,1.4188538
90,514,-1.4046131,1.4046131
91,577,1.4017556,1.4017556
92,524,-1.39486,1.39486
93,423,-1.3903899,1.3903899
94,903,1.3871033,1.3871033
95,366,1.384888,1.384888
96,98,1.3830587,1.3830587
97,291,1.38244,1.38244
98,939,1.3788415,1.3788415
99,550,1.3770597,1.3770597
100,687,1.3449799,1.3449799
