rank,feature_idx,coefficient,abs_coefficient
1,8,6.1069894,6.1069894
2,103,6.1016135,6.1016135
3,37,3.8516295,3.8516295
4,61,3.8514583,3.8514583
5,12,3.7413847,3.7413847
6,138,3.584192,3.584192
7,500,3.5310051,3.5310051
8,1029,3.4963639,3.4963639
9,450,3.4474156,3.4474156
10,1459,3.2497032,3.2497032
11,1566,2.9830258,2.9830258
12,26,2.981718,2.981718
13,154,2.9041348,2.9041348
14,331,2.7932923,2.7932923
15,1460,2.7483912,2.7483912
16,277,2.7480602,2.7480602
17,168,2.7231252,2.7231252
18,98,2.6960294,2.6960294
19,105,2.646285,2.646285
20,232,2.6416845,2.6416845
21,88,2.6302319,2.6302319
22,166,2.599898,2.599898
23,71,2.5139,2.5139
24,107,2.5039017,2.5039017
25,449,2.4962122,2.4962122
26,644,2.4663253,2.4663253
27,412,2.4648178,2.4648178
28,68,2.4483986,2.4483986
29,430,2.4285934,2.4285934
30,15,2.4218829,2.4218829
31,2032,2.4176412,2.4176412
32,76,2.3628137,2.3628137
33,1918,2.3614564,2.3614564
34,78,2.3338444,2.3338444
35,394,2.3246355,2.3246355
36,195,2.2999012,2.2999012
37,1149,2.2584026,2.2584026
38,279,2.2377002,2.2377002
39,64,2.1852396,2.1852396
40,28,2.185232,2.185232
41,728,2.1267974,2.1267974
42,367,2.0985715,2.0985715
43,1847,2.0970292,2.0970292
44,101,2.0894253,2.0894253
45,17,2.071436,2.071436
46,1867,2.0235803,2.0235803
47,404,2.0224762,2.0224762
48,1803,1.9373614,1.9373614
49,334,1.923103,1.923103
50,1373,1.9215641,1.9215641
51,546,1.8852285,1.8852285
52,75,1.8834604,1.8834604
53,2035,1.8487517,1.8487517
54,10,1.8410565,1.8410565
55,14,1.8307137,1.8307137
56,21,1.8118887,1.8118887
57,1628,1.8112487,1.8112487
58,216,1.7998576,1.7998576
59,451,1.7840347,1.7840347
60,284,1.7838149,1.7838149
61,51,1.7803804,1.7803804
62,377,1.75987,1.75987
63,392,1.7493544,1.7493544
64,1952,1.7445806,1.7445806
65,1306,1.7363137,1.7363137
66,69,1.7194128,1.7194128
67,140,1.7077597,1.7077597
68,455,1.7021036,1.7021036
69,212,1.69205,1.69205
70,20,1.6907655,1.6907655
71,65,1.6838917,1.6838917
72,382,1.6834141,1.6834141
73,410,1.6786042,1.6786042
74,901,1.6634706,1.6634706
75,297,1.6564757,1.6564757
76,465,1.6563393,1.6563393
77,34,1.6501932,1.6501932
78,409,1.6401893,1.6401893
79,9,1.6211149,1.6211149
80,137,1.6089996,1.6089996
81,1516,1.6074033,1.6074033
82,57,1.6035833,1.6035833
83,811,1.6023159,1.6023159
84,246,1.5985934,1.5985934
85,202,1.594492,1.594492
86,501,1.5903496,1.5903496
87,369,1.5890722,1.5890722
88,291,1.5729321,1.5729321
89,843,1.549983,1.549983
90,458,1.5287935,1.5287935
91,1934,1.5144973,1.5144973
92,265,1.5082588,1.5082588
93,47,1.506744,1.506744
94,488,1.4994689,1.4994689
95,909,1.4905926,1.4905926
96,319,1.4892206,1.4892206
97,564,1.4627227,1.4627227
98,266,1.4543489,1.4543489
99,499,1.4315456,1.4315456
100,744,1.4218731,1.4218731
