rank,feature_idx,coefficient,abs_coefficient
1,61,6.1392465,6.1392465
2,39,5.2453775,5.2453775
3,111,5.026405,5.026405
4,129,4.9909434,4.9909434
5,123,4.5204644,4.5204644
6,420,4.2832127,4.2832127
7,86,4.0612993,4.0612993
8,284,3.8242493,3.8242493
9,54,3.749712,3.749712
10,65,3.5995882,3.5995882
11,932,3.488786,3.488786
12,1235,3.3361857,3.3361857
13,211,3.206049,3.206049
14,68,3.001651,3.001651
15,385,2.7080204,2.7080204
16,241,2.6657612,2.6657612
17,52,2.2124119,2.2124119
18,7,2.1937916,2.1937916
19,1672,2.0994825,2.0994825
20,6833,2.0530283,2.0530283
21,96,1.8846275,1.8846275
22,98,1.7873732,1.7873732
23,41,1.7803559,1.7803559
24,79,1.7456592,1.7456592
25,136,1.6491013,1.6491013
26,12,1.6079539,1.6079539
27,97,1.5250225,1.5250225
28,74,1.4498018,1.4498018
29,1928,1.4172403,1.4172403
30,1631,1.4034897,1.4034897
31,142,1.3930712,1.3930712
32,1503,1.3806816,1.3806816
33,169,1.3608236,1.3608236
34,327,1.3473393,1.3473393
35,16,1.2753814,1.2753814
36,1195,1.2308103,1.2308103
37,121,1.222144,1.222144
38,1221,1.1890908,1.1890908
39,154,1.1854821,1.1854821
40,116,1.1763477,1.1763477
41,1661,1.1525868,1.1525868
42,7948,1.1483618,1.1483618
43,427,1.1050607,1.1050607
44,990,1.0916582,1.0916582
45,4689,1.0593013,1.0593013
46,591,1.0501491,1.0501491
47,168,1.0326198,1.0326198
48,1164,1.0194002,1.0194002
49,55,0.9624071,0.9624071
50,357,0.9522009,0.9522009
51,4419,0.8517167,0.8517167
52,1161,0.82423323,0.82423323
53,435,0.77250916,0.77250916
54,90,0.72554237,0.72554237
55,126,0.7173118,0.7173118
56,1072,0.7155588,0.7155588
57,391,0.6664421,0.6664421
58,1410,0.6262544,0.6262544
59,486,0.6201115,0.6201115
60,7694,0.61440784,0.61440784
61,112,0.60480136,0.60480136
62,6,0.5848979,0.5848979
63,1876,0.5759436,0.5759436
64,1299,0.5563329,0.5563329
65,453,0.5543737,0.5543737
66,4489,0.5005996,0.5005996
67,979,0.4686465,0.4686465
68,394,0.46520486,0.46520486
69,1733,0.45308718,0.45308718
70,8169,0.43034938,0.43034938
71,1929,0.4109913,0.4109913
72,1940,0.3992671,0.3992671
73,103,0.3943752,0.3943752
74,104,0.36208162,0.36208162
75,347,0.35362294,0.35362294
76,72,0.34918895,0.34918895
77,32,0.3482065,0.3482065
78,313,0.34790412,0.34790412
79,275,0.307236,0.307236
80,114,0.28610814,0.28610814
81,5308,0.2663526,0.2663526
82,307,0.253943,0.253943
83,73,0.25325015,0.25325015
84,25,0.23986709,0.23986709
85,124,0.23389994,0.23389994
86,33,0.2299096,0.2299096
87,655,0.22613712,0.22613712
88,207,0.21738112,0.21738112
89,132,0.21352051,0.21352051
90,3096,0.16977267,0.16977267
91,149,0.1678224,0.1678224
92,1834,0.1673959,0.1673959
93,2514,0.1497096,0.1497096
94,2024,0.14604005,0.14604005
95,737,0.13989057,0.13989057
96,484,0.12729974,0.12729974
97,723,0.122242145,0.122242145
98,1458,0.12153771,0.12153771
99,2673,0.1204944,0.1204944
100,4106,0.09317068,0.09317068
