rank,feature_idx,coefficient,abs_coefficient
1,420,10.801713,10.801713
2,97,8.774717,8.774717
3,211,5.959005,5.959005
4,32,4.3791924,4.3791924
5,284,4.3742437,4.3742437
6,6,4.159529,4.159529
7,16,3.9041688,3.9041688
8,54,3.346456,3.346456
9,68,3.0992885,3.0992885
10,453,2.833195,2.833195
11,123,2.5845246,2.5845246
12,4419,2.0137758,2.0137758
13,327,1.9196088,1.9196088
14,86,1.7993023,1.7993023
15,124,1.7591311,1.7591311
16,1503,1.6488783,1.6488783
17,331,1.2331173,1.2331173
18,129,1.2116483,1.2116483
19,154,1.1825937,1.1825937
20,1494,1.1608989,1.1608989
21,7,1.1021143,1.1021143
22,112,1.0093229,1.0093229
23,1235,0.9360028,0.9360028
24,2514,0.9167014,0.9167014
25,591,0.88372827,0.88372827
26,121,0.8512309,0.8512309
27,12,0.7243087,0.7243087
28,357,0.6934369,0.6934369
29,111,0.6493478,0.6493478
30,1940,0.62951684,0.62951684
31,486,0.6249523,0.6249523
32,3789,0.5026593,0.5026593
33,92,0.49647975,0.49647975
34,435,0.4595674,0.4595674
35,41,0.43765268,0.43765268
36,142,0.4061666,0.4061666
37,61,0.39096713,0.39096713
38,762,0.37565342,0.37565342
39,196,0.36407012,0.36407012
40,73,0.35760984,0.35760984
41,1707,0.35341087,0.35341087
42,385,0.34341395,0.34341395
43,823,0.34247267,0.34247267
44,136,0.338491,0.338491
45,1458,0.3192212,0.3192212
46,1145,0.31854236,0.31854236
47,90,0.29356825,0.29356825
48,307,0.27592823,0.27592823
49,169,0.2678827,0.2678827
50,103,0.26545656,0.26545656
51,7216,0.2612095,0.2612095
52,96,0.24452579,0.24452579
53,2001,0.22144607,0.22144607
54,394,0.20228167,0.20228167
55,391,0.17881422,0.17881422
56,1728,0.17698969,0.17698969
57,349,0.15152232,0.15152232
58,239,0.14441837,0.14441837
59,153,0.13813458,0.13813458
60,1997,0.1249969,0.1249969
61,352,0.11495488,0.11495488
62,1195,0.10813977,0.10813977
63,1221,0.08985436,0.08985436
64,39,0.08065924,0.08065924
65,655,0.06133283,0.06133283
66,1906,0.04878446,0.04878446
67,33,0.04815731,0.04815731
68,427,0.046947353,0.046947353
69,52,0.040470824,0.040470824
70,132,0.021926373,0.021926373
71,25,0.020074168,0.020074168
72,1646,0.015695957,0.015695957
73,65,0.008995765,0.008995765
74,1072,0.0072385827,0.0072385827
75,2739,0.0,0.0
76,2734,0.0,0.0
77,2735,0.0,0.0
78,2810,0.0,0.0
79,2736,0.0,0.0
80,2809,0.0,0.0
81,2737,0.0,0.0
82,2808,0.0,0.0
83,2738,0.0,0.0
84,2807,0.0,0.0
85,2778,0.0,0.0
86,2740,0.0,0.0
87,2806,0.0,0.0
88,2733,0.0,0.0
89,2741,0.0,0.0
90,2804,0.0,0.0
91,2742,0.0,0.0
92,2743,0.0,0.0
93,2744,0.0,0.0
94,2803,0.0,0.0
95,2745,0.0,0.0
96,2746,0.0,0.0
97,2805,0.0,0.0
98,2811,0.0,0.0
99,2732,0.0,0.0
100,2816,0.0,0.0
