rank,feature_idx,coefficient,abs_coefficient
1,29,18.761509,18.761509
2,1,12.888779,12.888779
3,25,12.509516,12.509516
4,35,11.907576,11.907576
5,60,11.217021,11.217021
6,26,10.883874,10.883874
7,49,10.706386,10.706386
8,5,9.382852,9.382852
9,417,8.643447,8.643447
10,133,8.275269,8.275269
11,246,7.6219463,7.6219463
12,28,7.479228,7.479228
13,16,7.3069243,7.3069243
14,13,6.840403,6.840403
15,40,6.717165,6.717165
16,752,6.551916,6.551916
17,10,5.999166,5.999166
18,53,5.980931,5.980931
19,253,5.1245146,5.1245146
20,567,5.096241,5.096241
21,50,5.072854,5.072854
22,196,4.938093,4.938093
23,46,4.5764976,4.5764976
24,41,4.142712,4.142712
25,275,3.9806814,3.9806814
26,69,3.8022254,3.8022254
27,483,3.6588697,3.6588697
28,164,3.640409,3.640409
29,355,3.6343234,3.6343234
30,286,3.6063147,3.6063147
31,729,3.570348,3.570348
32,54,3.350803,3.350803
33,37,3.2931554,3.2931554
34,702,3.292831,3.292831
35,158,3.2119284,3.2119284
36,31,2.9633915,2.9633915
37,2,2.8490596,2.8490596
38,766,2.7095737,2.7095737
39,666,2.5819867,2.5819867
40,58,2.5692399,2.5692399
41,97,2.5579755,2.5579755
42,114,2.555207,2.555207
43,479,2.5046694,2.5046694
44,236,2.4557612,2.4557612
45,123,2.4306514,2.4306514
46,368,2.430037,2.430037
47,131,2.4280608,2.4280608
48,663,2.340428,2.340428
49,653,2.320981,2.320981
50,664,2.2449644,2.2449644
51,975,2.24399,2.24399
52,44,2.2028751,2.2028751
53,880,2.1963897,2.1963897
54,612,2.1495018,2.1495018
55,57,2.1015291,2.1015291
56,201,2.071497,2.071497
57,19,2.0084422,2.0084422
58,140,1.9047842,1.9047842
59,636,1.8406385,1.8406385
60,43,1.8072733,1.8072733
61,4,1.7910452,1.7910452
62,1007,1.7040768,1.7040768
63,155,1.6142973,1.6142973
64,280,1.5888904,1.5888904
65,306,1.5606561,1.5606561
66,407,1.4996876,1.4996876
67,146,1.4415829,1.4415829
68,84,1.3981545,1.3981545
69,166,1.3834592,1.3834592
70,42,1.3774768,1.3774768
71,709,1.3748698,1.3748698
72,581,1.2593704,1.2593704
73,62,1.2471988,1.2471988
74,558,1.2415797,1.2415797
75,811,1.2378014,1.2378014
76,207,1.2024635,1.2024635
77,228,1.1924009,1.1924009
78,388,1.1736401,1.1736401
79,602,1.1502656,1.1502656
80,142,1.1229006,1.1229006
81,200,0.9788578,0.9788578
82,6,0.9782579,0.9782579
83,185,0.9605777,0.9605777
84,56,0.9564596,0.9564596
85,18,0.955458,0.955458
86,868,0.9186629,0.9186629
87,7,0.91594577,0.91594577
88,48,0.90504295,0.90504295
89,145,0.8960339,0.8960339
90,825,0.8648865,0.8648865
91,988,0.8334241,0.8334241
92,67,0.83287144,0.83287144
93,926,0.8263964,0.8263964
94,38,0.79769945,0.79769945
95,128,0.7945701,0.7945701
96,769,0.7889942,0.7889942
97,162,0.787825,0.787825
98,266,0.76314557,0.76314557
99,126,0.7558202,0.7558202
100,939,0.731195,0.731195
