rank,feature_idx,coefficient,abs_coefficient
1,7,8.565622,8.565622
2,90,8.400213,8.400213
3,135,8.136697,8.136697
4,11,7.311284,7.311284
5,20,7.258837,7.258837
6,335,6.5953093,6.5953093
7,39,6.374383,6.374383
8,112,5.5448847,5.5448847
9,228,5.436742,5.436742
10,273,5.3693514,5.3693514
11,57,5.230113,5.230113
12,320,4.602145,4.602145
13,9,4.4301286,4.4301286
14,30,4.4219007,4.4219007
15,684,4.406985,4.406985
16,1,4.2810163,4.2810163
17,140,4.1542325,4.1542325
18,68,3.973104,3.973104
19,3,3.925696,3.925696
20,1008,3.9037285,3.9037285
21,1000,3.856263,3.856263
22,41,3.795381,3.795381
23,35,3.7404435,3.7404435
24,61,3.6543655,3.6543655
25,373,3.5911865,3.5911865
26,218,3.5811813,3.5811813
27,108,3.5765138,3.5765138
28,156,3.5330658,3.5330658
29,2,3.4862282,3.4862282
30,46,3.43965,3.43965
31,225,3.4087608,3.4087608
32,637,3.3827255,3.3827255
33,67,3.3015335,3.3015335
34,191,3.2821476,3.2821476
35,229,3.2535813,3.2535813
36,106,3.2189248,3.2189248
37,136,3.1895585,3.1895585
38,4,3.1694927,3.1694927
39,58,3.1660774,3.1660774
40,266,3.1394665,3.1394665
41,321,3.0690632,3.0690632
42,683,3.0330787,3.0330787
43,23,3.0195312,3.0195312
44,177,2.9923995,2.9923995
45,75,2.9847627,2.9847627
46,303,2.9404645,2.9404645
47,59,2.8415372,2.8415372
48,99,2.825461,2.825461
49,213,2.6977258,2.6977258
50,1017,2.6629217,2.6629217
51,21,2.6574218,2.6574218
52,493,2.6539884,2.6539884
53,13,2.6252182,2.6252182
54,110,2.571653,2.571653
55,762,2.5685668,2.5685668
56,82,2.5623498,2.5623498
57,806,2.5311193,2.5311193
58,0,2.5041966,2.5041966
59,77,2.4794703,2.4794703
60,928,2.4718807,2.4718807
61,71,2.453706,2.453706
62,666,2.439939,2.439939
63,685,2.4317565,2.4317565
64,202,2.4249482,2.4249482
65,624,2.4237072,2.4237072
66,650,2.4193153,2.4193153
67,871,2.3994923,2.3994923
68,5,2.3735533,2.3735533
69,374,2.371311,2.371311
70,92,2.3391469,2.3391469
71,183,2.3251777,2.3251777
72,168,2.292153,2.292153
73,316,2.290352,2.290352
74,133,2.2612224,2.2612224
75,188,2.2557902,2.2557902
76,10,2.2407832,2.2407832
77,298,2.2153592,2.2153592
78,185,2.2105641,2.2105641
79,417,2.1916165,2.1916165
80,70,2.1712997,2.1712997
81,567,2.1626627,2.1626627
82,962,2.1479204,2.1479204
83,179,2.1458814,2.1458814
84,199,2.1415854,2.1415854
85,409,2.1408935,2.1408935
86,824,2.1273293,2.1273293
87,655,2.1255283,2.1255283
88,16,2.1070986,2.1070986
89,910,2.1016045,2.1016045
90,917,2.0988166,2.0988166
91,201,2.0930972,2.0930972
92,251,2.0723736,2.0723736
93,94,2.0607054,2.0607054
94,969,2.0425158,2.0425158
95,125,2.0395434,2.0395434
96,43,2.0325942,2.0325942
97,37,2.0214164,2.0214164
98,103,2.002617,2.002617
99,72,1.9509894,1.9509894
100,892,1.9404157,1.9404157
