rank,feature_idx,coefficient,abs_coefficient
1,3,8.268472,8.268472
2,57,5.321672,5.321672
3,24,-5.2133226,5.2133226
4,251,4.7057543,4.7057543
5,44,-4.0377603,4.0377603
6,56,4.018137,4.018137
7,182,-3.940326,3.940326
8,80,-3.649261,3.649261
9,167,-3.5265152,3.5265152
10,88,-3.4076054,3.4076054
11,148,-3.3735323,3.3735323
12,330,-3.3187323,3.3187323
13,237,-3.2204988,3.2204988
14,813,-3.0971932,3.0971932
15,74,-3.0423863,3.0423863
16,917,-3.0366452,3.0366452
17,83,2.950265,2.950265
18,30,-2.9316127,2.9316127
19,16,2.929272,2.929272
20,514,2.913046,2.913046
21,164,-2.8103054,2.8103054
22,968,-2.761751,2.761751
23,5,-2.7436004,2.7436004
24,470,2.6403062,2.6403062
25,316,-2.634775,2.634775
26,462,2.6327994,2.6327994
27,42,-2.629169,2.629169
28,50,2.4784632,2.4784632
29,438,-2.478014,2.478014
30,663,-2.4711018,2.4711018
31,111,2.4651554,2.4651554
32,62,-2.3920584,2.3920584
33,55,-2.264311,2.264311
34,220,-2.2584767,2.2584767
35,60,-2.246609,2.246609
36,71,2.2194066,2.2194066
37,854,-2.2077506,2.2077506
38,23,-2.1877148,2.1877148
39,155,-2.1554322,2.1554322
40,84,-2.1510124,2.1510124
41,10,2.1404195,2.1404195
42,126,-2.1238353,2.1238353
43,196,-2.0914626,2.0914626
44,369,2.0468807,2.0468807
45,8,1.9494071,1.9494071
46,32,-1.922715,1.922715
47,634,-1.8810865,1.8810865
48,506,1.8516358,1.8516358
49,527,1.8339078,1.8339078
50,612,1.8177061,1.8177061
51,328,-1.8173507,1.8173507
52,86,-1.8053828,1.8053828
53,265,1.7998768,1.7998768
54,595,1.7473592,1.7473592
55,260,-1.6849067,1.6849067
56,545,1.6720676,1.6720676
57,133,1.6708573,1.6708573
58,14,1.669458,1.669458
59,229,-1.6599213,1.6599213
60,20,-1.636435,1.636435
61,355,-1.6167036,1.6167036
62,547,1.6123867,1.6123867
63,177,-1.5971105,1.5971105
64,119,1.5551038,1.5551038
65,17,1.5286257,1.5286257
66,102,-1.5225992,1.5225992
67,68,-1.516873,1.516873
68,85,-1.506338,1.506338
69,654,1.495364,1.495364
70,664,-1.4947177,1.4947177
71,684,1.4870229,1.4870229
72,646,-1.4743825,1.4743825
73,233,-1.4733073,1.4733073
74,48,-1.4499464,1.4499464
75,124,-1.4351267,1.4351267
76,864,1.432819,1.432819
77,392,-1.4313294,1.4313294
78,49,1.4092618,1.4092618
79,158,1.3816886,1.3816886
80,929,1.3741462,1.3741462
81,205,1.3722805,1.3722805
82,775,1.3370392,1.3370392
83,157,1.3274177,1.3274177
84,425,-1.3040427,1.3040427
85,877,-1.3020849,1.3020849
86,557,-1.3002516,1.3002516
87,105,1.2573955,1.2573955
88,143,-1.2565684,1.2565684
89,92,-1.2400255,1.2400255
90,626,1.2181419,1.2181419
91,216,-1.2154438,1.2154438
92,594,-1.2142652,1.2142652
93,954,-1.2034154,1.2034154
94,803,1.1776171,1.1776171
95,988,-1.170638,1.170638
96,974,1.1368645,1.1368645
97,61,1.1326538,1.1326538
98,543,1.1161138,1.1161138
99,745,-1.1129794,1.1129794
100,162,1.1081423,1.1081423
