rank,feature_idx,coefficient,abs_coefficient
1,42,9.391652,9.391652
2,80,7.0839806,7.0839806
3,55,4.6007123,4.6007123
4,759,4.4580374,4.4580374
5,875,4.025525,4.025525
6,438,3.5175536,3.5175536
7,543,3.211989,3.211989
8,164,3.1807446,3.1807446
9,67,3.1542966,3.1542966
10,5,3.0429542,3.0429542
11,53,3.0121608,3.0121608
12,893,3.0085754,3.0085754
13,45,2.993508,2.993508
14,10,2.9691145,2.9691145
15,0,2.9602852,2.9602852
16,386,2.8297753,2.8297753
17,50,2.6268623,2.6268623
18,545,2.6259766,2.6259766
19,62,2.5838242,2.5838242
20,30,2.5108974,2.5108974
21,662,2.500937,2.500937
22,24,2.467396,2.467396
23,124,2.4406374,2.4406374
24,233,2.4284515,2.4284515
25,199,2.4281802,2.4281802
26,877,2.4132516,2.4132516
27,266,2.4067955,2.4067955
28,3,2.395565,2.395565
29,105,2.3568664,2.3568664
30,129,2.3203757,2.3203757
31,197,2.270265,2.270265
32,102,2.2549686,2.2549686
33,13,2.2200606,2.2200606
34,1009,2.1950858,2.1950858
35,988,2.1431956,2.1431956
36,506,2.129987,2.129987
37,251,2.0873091,2.0873091
38,63,2.0798485,2.0798485
39,226,2.0779293,2.0779293
40,71,2.0656648,2.0656648
41,123,2.039658,2.039658
42,120,1.999698,1.999698
43,11,1.9971225,1.9971225
44,846,1.9852804,1.9852804
45,854,1.9510883,1.9510883
46,427,1.8828138,1.8828138
47,134,1.8452598,1.8452598
48,595,1.834362,1.834362
49,29,1.8287407,1.8287407
50,762,1.8132764,1.8132764
51,17,1.8116829,1.8116829
52,7,1.8101481,1.8101481
53,294,1.7983925,1.7983925
54,114,1.7734798,1.7734798
55,167,1.7723429,1.7723429
56,153,1.7529305,1.7529305
57,57,1.7473104,1.7473104
58,186,1.7408609,1.7408609
59,18,1.7107239,1.7107239
60,556,1.6984241,1.6984241
61,1017,1.6894715,1.6894715
62,43,1.6811802,1.6811802
63,41,1.6788803,1.6788803
64,818,1.6773647,1.6773647
65,16,1.6683567,1.6683567
66,178,1.6599473,1.6599473
67,525,1.6556515,1.6556515
68,23,1.6381916,1.6381916
69,531,1.6300813,1.6300813
70,222,1.6222618,1.6222618
71,32,1.6160908,1.6160908
72,923,1.5858766,1.5858766
73,90,1.5565897,1.5565897
74,60,1.5432357,1.5432357
75,101,1.5402635,1.5402635
76,229,1.5316111,1.5316111
77,15,1.51695,1.51695
78,174,1.501405,1.501405
79,47,1.5010198,1.5010198
80,290,1.4978245,1.4978245
81,12,1.4726299,1.4726299
82,31,1.4655856,1.4655856
83,611,1.4559485,1.4559485
84,434,1.4543539,1.4543539
85,674,1.4480956,1.4480956
86,145,1.4426333,1.4426333
87,148,1.438134,1.438134
88,196,1.435851,1.435851
89,128,1.4284397,1.4284397
90,999,1.4007117,1.4007117
91,115,1.3983575,1.3983575
92,49,1.3952073,1.3952073
93,83,1.3888906,1.3888906
94,512,1.3867548,1.3867548
95,59,1.3638296,1.3638296
96,663,1.3331785,1.3331785
97,234,1.3279171,1.3279171
98,713,1.3117744,1.3117744
99,242,1.3106843,1.3106843
100,642,1.3080627,1.3080627
